{'短评内容': '电视有点问题，其他都还好', '短评打分': 5}
{'短评内容': '非常的好，干净卫生', '短评打分': 5}
{'短评内容': '6666666666666666666666666666666666666666666666666666真的真的很不错', '短评打分': 5}
{'短评内容': '还不错，设施齐全', '短评打分': 5}
{'短评内容': '环境还不能，设施齐全', '短评打分': 5}
{'短评内容': '不错啊，酒店不错，女朋友喜欢', '短评打分': 5}
{'短评内容': '不写不行吗', '短评打分': 4}
{'短评内容': '周围有的远，后面不知道啥吵闹，门口隔音效果不好，其他基本OK。', '短评打分': 5}
{'短评内容': '环境好，地利佳，服务好，便利', '短评打分': 5}
{'短评内容': '环境干净，生活便利，好店', '短评打分': 5}
{'短评内容': '离公司很近，安静', '短评打分': 5}
{'短评内容': '一如既往的好 以后还会选择这里', '短评打分': 5}
{'短评内容': '环境不错，干净卫生，空间适中，如家如家。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还是不错的，干净，环境好', '短评打分': 5}
