{'短评内容': '可以加床，早餐好', '短评打分': 5}
{'短评内容': '非常干净好', '短评打分': 5}
{'短评内容': '酒店给我一种温馨的感觉，放下一天奔波的疲惫，躺在舒服的大床上，整个人都放松了，酒店的环境和服务都非常好，值得推荐！', '短评打分': 5}
{'短评内容': '不多说好', '短评打分': 4}
{'短评内容': '不错。送果盘。礼物。来汉中必须住的', '短评打分': 4}
{'短评内容': '地方不错的，出差，性价比好', '短评打分': 5}
{'短评内容': '服务周到，环境良好。价格便宜！', '短评打分': 5}
{'短评内容': '服务非常好，位置好。', '短评打分': 5}
{'短评内容': '环境服务都不错，暖气足，早餐也很丰盛，还有夜宵赠送，给个赞', '短评打分': 5}
{'短评内容': '经常住，不过最近没有反现了，是怎么回事', '短评打分': 4}
{'短评内容': '不错服务好', '短评打分': 4}
{'短评内容': '一周住了三晚，还是性价比不错的哦', '短评打分': 4}
{'短评内容': '前台对待入住客人不热情，房间卫生不好，早餐太单调', '短评打分': 1}
{'短评内容': '挺好的挺好的挺好的挺好的挺好的挺好的挺好的', '短评打分': 5}
{'短评内容': '汉中福临酒店很舒适，服务好', '短评打分': 3}
{'短评内容': '成功入住福临酒店1010房间……', '短评打分': 3}
{'短评内容': '酒店非常干净，位置也适中，环境好，特别是停车方便，下次还会入住的', '短评打分': 5}
{'短评内容': '酒店非常干净，位置也适中，环境好，特别是停车方便，餐厅用餐方便，下次还会入住的', '短评打分': 5}
{'短评内容': '酒店非常干净，位置也适中，环境好，特别是停车方便，下次还会入住的。 ', '短评打分': 5}
{'短评内容': '中央空调放到最低风速也比较吵，关了中央空调倒是安静了，但是又觉得冷。卫生间没有干湿分离，洗完澡整个卫生间都是水。早餐种类比较少。整体来说，三星还是达不到。', '短评打分': 1}
{'短评内容': '还可以。设施与服务都一般般，也没有太大的问题。', '短评打分': 5}
{'短评内容': '房间小地毯脏卫生间的卫生一般酒店附近没甚么好吃的', '短评打分': 1}
{'短评内容': '和同等价位的如家，锦江相比还有很大的差距', '短评打分': 1}
{'短评内容': ' 卫生还行，但位置比较偏，价格偏贵，可以免费停车', '短评打分': 5}
{'短评内容': '不建议大家入住该酒店，住三天，所给发票均是假发票，后打电话去前台，均答复不知道，问找谁，答复不知道。害人不浅。', '短评打分': 1}
{'短评内容': '很好，房间很干净，很优雅，还给送早餐，性价比挺高。', '短评打分': 5}
{'短评内容': '挺不错的，下大雨把衣服弄脏了，这边还给提供洗衣服务，烘干后叠的很整齐再给送来。非常感谢。菜品不错。在新修ktv,以后玩的地方更多了。', '短评打分': 5}
{'短评内容': '朋友推荐过来的，果然很好。一下高速就入住了，很方便。\n服务态度很好。菜品不错，可以考虑到个人地方口味。\n退房的时候，把手机充电器掉在客房抽屉了，已经出发了，有员工跟着给送过来，太感谢了。', '短评打分': 5}
{'短评内容': '热水很快，服务态度很好。进到房间发现空调已经被打开了，立即觉得很舒服。\n停车场保安指引很负责，对新手很友好。\n\n前台结账略慢。', '短评打分': 5}
