{'短评内容': '性价比高，交通便捷，现正重新裝修。', '短评打分': 4}
{'短评内容': '不错的酒店，性价比可以，下次继续保持。', '短评打分': 5}
{'短评内容': '衣食住行都方便', '短评打分': 5}
{'短评内容': '服务态度一般', '短评打分': 5}
{'短评内容': '很便宜。。', '短评打分': 5}
{'短评内容': '不错，价格便宜，服务也好', '短评打分': 5}
{'短评内容': '很好，交通便利，唯一不足就是整个房间只有一个是空余的插座可以用。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境可以', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '价格对质量是超值的质素，干净，简单，安全', '短评打分': 3}
{'短评内容': '还可', '短评打分': 5}
{'短评内容': '还可', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '很不错的酒店，到佛山出差必须入住的酒店。前台服务人员还是有星级酒店的素质的，让人感觉不错。值得入住的', '短评打分': 5}
{'短评内容': '酒店是老牌，设施有点陈旧，房间在通风，有霉味，不好，KTV晚上很吵。', '短评打分': 4}
{'短评内容': '差评 有事不能前往 已经沟通多次还是不让取消 垃圾酒店 没有一点人性化 迟早被淘汰', '短评打分': 1}
{'短评内容': '挺好的就是房间光线暗了。', '短评打分': 4}
{'短评内容': '又是七樓！', '短评打分': 5}
{'短评内容': '旋宫酒店地处佛山祖庙路繁华地段，广佛地铁丶公共交通便利，客房设施齐全，整洁卫生，餐饮娱乐齐全。楼顶旋转餐厅，品茶早点会客，一钟点鸟瞰全城四处，故名旋宫也，乃旅游出差，婚庆寿宴，会议聚会，休闲度假好去处。', '短评打分': 5}
{'短评内容': '房间整洁，设施齐全，旋转餐厅，鸟瞰全城，餐饮娱乐，美味佳肴，一应俱全，左有寺院，右有教堂，旅游购物，此乃佳处。', '短评打分': 5}
{'短评内容': '还好吧，还不错。价格尚可。', '短评打分': 1}
{'短评内容': '总台的服务员的态度真的不行，个人感觉。出行方便。', '短评打分': 1}
{'短评内容': '酒店客房还是比较理想。但由于入住的是桑拿房，所淋浴的地方也在桑拿间内使得感觉位置不够用转身也有一定的难度！！', '短评打分': 5}
{'短评内容': '桑拿房不错，如果是干蒸的话那就更好了，总体很干净，很好', '短评打分': 5}
{'短评内容': '好评，很好很干净很大气，吃的也不错，性价比高', '短评打分': 5}
{'短评内容': '佛山旋宫性价比很好装修也不锖慼谢芝龙给我定好的房,下次一定再来住再一次感谢芝龙网', '短评打分': 5}
{'短评内容': '房间很脏，玻璃台上有很多灰尘，设备老旧特别是电视机的遥控器严重失灵。三星酒店貌似达不到\n', '短评打分': 1}
{'短评内容': '价格比较合适出差旅游住宿很不错，地理位置很好在市中心距离祖庙很近步行10分钟。', '短评打分': 5}
{'短评内容': '房间体现老式星级风范，配套比较齐全，大，装修虽旧缺不显落后，窗户能看见佛山老建筑群，性价比高，桑拿房正。到佛山实属首选', '短评打分': 5}
{'短评内容': '无热水，无feeling，很无奈。绝对不会在区', '短评打分': 1}
{'短评内容': '老牌的三星酒店。装修和格局都有些老气\n离地铁站有些远，离商业区比较近，周边吃饭购物都很方便\n带桑拿的房间还是挺不错的，价格也说得过去', '短评打分': 5}
{'短评内容': '性价比很低啊，恰逢广交会期间，一直住的平谦没房了，是在没办法才住该酒店，没有什么让自己满意的地方。', '短评打分': 1}
{'短评内容': '.很好', '短评打分': 3}
{'短评内容': '不错，前台的服务态度很好，不过可能是我住在一边，感觉房间结构不是很舒服。PS：赠送的小吃很好吃啊。', '短评打分': 5}
{'短评内容': '位置不错， 服务人员态度很好。 但是房间有怪味，不好开窗。设施陈旧，走道狭窄， 饭店环境脏乱。不推荐', '短评打分': 1}
{'短评内容': '：旋宫酒店不错，房内有桑那房很好。', '短评打分': 3}
{'短评内容': '不错的酒店，地理位置、房间都还可以。只是早上起来有点不好打车。', '短评打分': 5}
{'短评内容': ' 好', '短评打分': 3}
{'短评内容': '  不错，比较好', '短评打分': 5}
{'短评内容': '住过几次了，楼上楼下吃东西不贵，房间又有桑拿，不错', '短评打分': 5}
{'短评内容': '酒店有点旧，在吃饭方便比较方便，购物也方便。', '短评打分': 5}
{'短评内容': '这个房价有桑拿非常不错，美中不足的是不提供免费矿泉水要5元一支', '短评打分': 5}
{'短评内容': '在佛山这家酒店位置好，值得推荐！', '短评打分': 3}
{'短评内容': '时常住了，感觉不错，虽然闹市区但是很安静。\n特别是二楼餐厅做的饭菜特别的好吃，而且很实惠。', '短评打分': 5}
{'短评内容': 'good', '短评打分': 3}
{'短评内容': '酒店位置佳，祖庙及购物中心就在周边。\r\n洗手间装修的不错，室内设施一般。', '短评打分': 5}
{'短评内容': '整体还不错，就是设施比较旧了。\r\n服务员态度不错，电视也不怎么样。', '短评打分': 5}
{'短评内容': '最主要是地理位置好好。很方便。一出门就有公交车出往个个地方。附近购物吃饭都很方便。下次来还是会住这。', '短评打分': 5}
{'短评内容': '不错，在闹市区十分方便且比较安静，18楼旋转餐厅可边就餐边观赏全市风景。', '短评打分': 5}
{'短评内容': '老酒店，装潢比较成旧，服务到还可以。特别是浴室里面有桑拿，劳累一天回酒店可以蒸一下也不错。', '短评打分': 5}
{'短评内容': '环境太成就啦，太差啦', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '总体来讲基本还好，值得推荐的是客房卫生间装有整体桑拿浴室，在现在南方房间没有暖风情况下比较适合北方客人居住。', '短评打分': 5}
{'短评内容': '楼层服务人员不太好找，总看不到他，价格还好', '短评打分': 3}
{'短评内容': '各方面都很满意 不错 推荐', '短评打分': 5}
{'短评内容': '酒店性价比还可以，挺方便的，环境也不错', '短评打分': 3}
{'短评内容': '设施比较旧了，但还是比较便宜的，另外酒店是旋转餐厅', '短评打分': 3}
{'短评内容': '酒店管理不严格，随便有人进进出出的感觉安全性做的不好，服务卫生很不错位置出行交通方便，价格合理适中卫生服务也还算达标，就是酒店的管理不好。', '短评打分': 1}
{'短评内容': '总的来说,还是不错的,3星级的酒店也这标准了。虽说04年11月有装修过，但所住的11楼看不出是新装修的，设施方便倒是不错。', '短评打分': 5}
