{'短评内容': '早餐是面包，牛奶，鸡蛋', '短评打分': 5}
{'短评内容': '普通大床房设施太简陋陈旧了', '短评打分': 4}
{'短评内容': '餐厅不错  早餐可以', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房子偏小，有餐厅，有停车场，安静舒适。就是设施略旧，卫生间的台阶太高，给家里来的老人订的，老人进出不方便。', '短评打分': 5}
{'短评内容': '房间很舒适，客服很好，赞', '短评打分': 5}
{'短评内容': '设施太陈旧，该更新了', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '只能用凑合', '短评打分': 3}
{'短评内容': '设施太旧了', '短评打分': 3}
{'短评内容': '位置好，门口吃饭的很多', '短评打分': 5}
{'短评内容': '环境不错，卫生挺好，早餐也不错', '短评打分': 5}
{'短评内容': '酒店设施挺好，环境不错，卫生也行，还有早餐，比较方便', '短评打分': 5}
{'短评内容': '卫生不行', '短评打分': 4}
{'短评内容': '房间卫生不错。周边交通方便，吃饭的地方也多。开业时间长了，设施有点老旧。', '短评打分': 4}
{'短评内容': '服务态度很好，设施很一般，毛巾、浴巾显得很陈旧。与网上介绍的情况有一定的差距。', '短评打分': 5}
{'短评内容': '楼道和房间里杀虫剂气味都比较大，房间卫生一般，床上用品不够洁净，房间里电流声比较大。卫生间比较简陋，房间设施比较陈旧。不过酒店离搭去新郑机场的地方比较近。不过其实住在濮阳哪都不算太远，因为濮阳本身就不大。', '短评打分': 1}
{'短评内容': '价格有点小高  能便宜到100左右就好了', '短评打分': 5}
{'短评内容': '性价比较高，离机场大巴站很近，但附近餐饮较少。', '短评打分': 5}
{'短评内容': '卫生条件不错,早餐也挺好', '短评打分': 3}
{'短评内容': '服务很好，晚上楼道内很吵，不知道在干什么。', '短评打分': 5}
{'短评内容': '干净温馨,实惠,免费宽带给大家也带来了方便,服务人员热情.\n', '短评打分': 5}
{'短评内容': '酒店的服务很好，卫生也很好，性价比很高。', '短评打分': 5}
{'短评内容': '酒店环境挺好的，下回还会来住…', '短评打分': 5}
{'短评内容': '房间靠马路的一面很吵，想调换一下，说没有了，感觉卫生间小，卫生一般', '短评打分': 5}
{'短评内容': '酒店的位置不错,挺方便出行的,不过在卫生条件上还需要再提高一些.其它各方面还可以.', '短评打分': 5}
{'短评内容': '按办事方便来说，还是不错的 ', '短评打分': 5}
{'短评内容': '位置不错，离联华购物广场不远，去购物很方便。', '短评打分': 5}
{'短评内容': '服务态度很好，办理住退房手续较快，很为宾客着想，很亲切！', '短评打分': 5}
{'短评内容': '卫生干净，服务周到，总体来说很满意。', '短评打分': 5}
{'短评内容': '宾馆的客房装修的很温馨，床上用品很不错，睡在上面很舒服。', '短评打分': 5}
{'短评内容': '服务员很热情，对待客人的问题都会很认真的处理，给我的感受很好。', '短评打分': 5}
