{'短评内容': '可以。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还可以，能带孩子，有停车场。早餐一般。', '短评打分': 4}
{'短评内容': '酒店很不错。就是早餐很坑。', '短评打分': 4}
{'短评内容': '还可以，设施较旧，老酒店', '短评打分': 3}
{'短评内容': '地理位置挺好，风景不错，有窗户，床挺舒服，配置还可以，性价比挺高，包早餐，就是起不来没去吃，不知道怎样，就是卫生间马桶很脏，都是黄的，不敢用，热水壶里面也很脏，也好像坏了，想喝热水都没有；总体还算不错，性价比挺高。', '短评打分': 5}
{'短评内容': '房间还可以，价格实惠', '短评打分': 5}
{'短评内容': '床很舒服，房间很千净', '短评打分': 5}
{'短评内容': '不错，就是床硬了一些', '短评打分': 4}
{'短评内容': '挺好的，位置还可以，出行比较方便', '短评打分': 5}
{'短评内容': '位置还可以，在老城区', '短评打分': 5}
{'短评内容': '经济实惠，有很多候鸟老人。出行的话就只能打车了，附近吃的地方不多，有点偏僻，而且机场大巴也不是停靠在那里了。', '短评打分': 4}
{'短评内容': '早上没热水，晚上到十一点才有水洗澡，', '短评打分': 3}
{'短评内容': '房间挺干净，位置很好，性价比高。', '短评打分': 1}
{'短评内容': '干净，便捷，快速，舒适', '短评打分': 3}
{'短评内容': '酒店是老牌子了，下了机场大巴终点站走过去还要一段路，打车就不是问题了。出门右转到贵州路有家大排档不错，本地口味，便宜又好吃。', '短评打分': 3}
{'短评内容': '酒店整体状况不错，位置就在北部湾西路与云南路交叉口处，很醒目好找，交通也很方便。卫生条件不错，设施有些偏旧，淋浴房的下水不是很通畅，服务很周到，也很耐心，价格超实惠，总体来讲还是很值得推荐的，满意。', '短评打分': 5}
