{'短评内容': '老旧，房间太冷，卫生差，以后不会再住了', '短评打分': 2}
{'短评内容': '满意！非常满意！下次还会住在这里的！ ', '短评打分': 5}
{'短评内容': '满意！非常满意！酒店在居民小区里，晚上环境很安静，周边吃的用的也很方便。宾馆里面环境还不错，基础设施也比较齐全，前台很热情，微笑给办了住宿，进了房间，放眼看去很干净！服务很好,给前台打电话多要了一套洗漱用具，也很及时得给送来了。总之一句话，很满意！下次还会住在这里的！ ', '短评打分': 5}
{'短评内容': '很好！在市区、价格公道。', '短评打分': 5}
{'短评内容': '宾馆环境不错，服务也不错，繁华都市中不可多得的幽静之住所，很不错，点赞。', '短评打分': 5}
{'短评内容': '总体不错，老宾馆', '短评打分': 5}
{'短评内容': '水壶不知道脏兮兮的还能不能用，空调竟然漏水，条件真的挺老旧的，到处黑乎乎的感觉……大家看照片吧……可能是跟培训机构有合作的关系，要不入住率真的很难保证吧。', '短评打分': 2}
{'短评内容': '一般吧，设施有点旧', '短评打分': 3}
{'短评内容': '很老的酒店了', '短评打分': 3}
{'短评内容': '酒店还可以', '短评打分': 4}
{'短评内容': '大床房很好，服务也热情', '短评打分': 5}
{'短评内容': '前台服务员冷若冰霜 酒店设施太旧了', '短评打分': 3}
{'短评内容': '冶金宾馆大名鼎鼎，通过携程关注很久，这次出差，发现这个宾馆离会议地点很近，交通也可以，周围是住宅区，毕竟安静，而且加上之前很多培训也在这家宾馆举办过，于是毫不犹豫的选择这里。入住那天，天公不作美，寒风秋雨，冻得够呛。办理入住后，发现这毕竟是一家老酒店了，地毯清洁不是很及时，房间内部的床也是咯吱咯吱的响，早晨想洗个澡，十几分钟后才有热水。喝不惯济南的自来水，晚上打电话给前台问有没有自费的矿泉水，服务', '短评打分': 3}
{'短评内容': '冶金宾馆大名鼎鼎，通过携程关注很久，这次出差，发现这个宾馆离会议地点很近，交通也可以，周围是住宅区，毕竟安静，而且加上之前很多培训也在这家宾馆举办过，于是毫不犹豫的选择这里。入住那天，天公不作美，寒风秋雨，冻得够呛。办理入住后，发现这毕竟是一家老酒店了，地毯清洁不是很及时，房间内部的床也是咯吱咯吱的响，早晨想洗个澡，十几分钟后才有热水。喝不惯济南的自来水，晚上打电话给前台问有没有自费的矿泉水，服务', '短评打分': 3}
{'短评内容': '一般情况吧，宾馆还是有点老，有点不像三星级酒店了', '短评打分': 3}
{'短评内容': '总体看还成，在燕子山小区内，比较僻静', '短评打分': 5}
{'短评内容': '山东冶金宾馆的客房服务太差，卫生情况太差，请将要入住的朋友慎重选择，而且还不可以刷卡消费！', '短评打分': 3}
{'短评内容': '老式酒店，交通还方便，性价比还可。早餐早早就结束了。', '短评打分': 5}
{'短评内容': '三星标准，还可以。房间比一般快捷酒店大，比较老式，早餐8点就基本结束。', '短评打分': 3}
{'短评内容': '挺好的！绝对的三星！比那些快捷酒店好了不是一点半点！！！', '短评打分': 5}
{'短评内容': '还不错，感觉还行，但热水不热，还需要改进', '短评打分': 5}
{'短评内容': '地方偏僻，服务也不好，价格也不低，软硬件的也没感觉像是三星级的', '短评打分': 1}
{'短评内容': '设备陈旧.服务一般.餐饮较好.住宿价格偏高', '短评打分': 3}
{'短评内容': '第二次入住了，环境不错很安静。交通食宿都挺方便的。好评。', '短评打分': 3}
{'短评内容': '我个人觉得冶金宾馆不错，虽然是老宾馆但感觉很整洁。周围环境安静。就是被子太薄啊，我是11月初去住的', '短评打分': 3}
{'短评内容': '已入住冶金宾馆，在居民小区里，环景比较安静，有阳台，卫生间小点，其他还行', '短评打分': 3}
{'短评内容': '酒店位置太偏，标间只含单早。由于酒店装修被要求换房间。', '短评打分': 1}
{'短评内容': '挺好的，设施旧点吧。但起码是个三星级，还管早餐，挺经济。就是不太好找。', '短评打分': 5}
{'短评内容': '还算干净整洁，服务也可以，有院子停车，比较安静', '短评打分': 5}
{'短评内容': '离火车站太远,不能订火车票,房间较小,位置较偏.', '短评打分': 3}
{'短评内容': '＋单人间房间太小了', '短评打分': 3}
{'短评内容': '还算不错，比我预想中要好，略偏僻，不好找，不过没有机会再来了。', '短评打分': 5}
{'短评内容': '条件和卫生太一般 还不如那些商务酒店 早餐没有什么东西吃', '短评打分': 1}
{'短评内容': 'yiban', '短评打分': 3}
{'短评内容': '很干净，环境安静，房间像还可以，价格不高便宜。', '短评打分': 5}
{'短评内容': '还不错就是房间隔音效果不是太好 望改进 谢谢', '短评打分': 5}
{'短评内容': '服务态度很好!满意!', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '不错，空间很大', '短评打分': 3}
{'短评内容': '暖气、早餐都很好！打扫不及时', '短评打分': 3}
{'短评内容': '位置不错，服务也可。只是里面的被褥有点惨不忍睹，说实话有点破。要不是看在环境还行，也比较安全的份上我就不推荐了。希望以后能及时更新被褥。', '短评打分': 5}
{'短评内容': '房间不大，但安排的很合理，空调效果非常好，数字电视加上网，淋浴间设计不错。维一不好的地方是没有纯净水，需要喝自来水，水太硬。', '短评打分': 3}
{'短评内容': '有两点希望改进：1、门口的文化东路正在修路，交通不是很方便，这点没有跟客户说明，对客户的出行有一定的影响 2、单间都在阴面，这个和预定前的说法不一致，不知道是哪方面出现了问题。不过总体来说，还是不错的，地理位置和住宿环境还是很好的', '短评打分': 5}
{'短评内容': '服务一般', '短评打分': 3}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
