{'短评内容': '酒店可以推荐的', '短评打分': 4}
{'短评内容': '设施太老了，还好已经在装修改造了。', '短评打分': 4}
{'短评内容': '物有所值！价格实惠！', '短评打分': 5}
{'短评内容': '环境好服务好', '短评打分': 5}
{'短评内容': '非常不错的酒店', '短评打分': 5}
{'短评内容': '还不错的酒店，早餐也很好，总之很好啦，好好好好好好好好好好好好好好好好好好好好好好好好 好好好好好极了', '短评打分': 5}
{'短评内容': '可以的', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '适合商务，不方便', '短评打分': 4}
{'短评内容': '万豪不必说，自然是星级酒店标准。服务好、环境好，每次点名指定要住的酒店。地理位置也不错，一切都不用担心。', '短评打分': 5}
{'短评内容': 'bu cuo ', '短评打分': 5}
{'短评内容': 'bu cuo ', '短评打分': 5}
{'短评内容': '离机场距离近', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境不错，交通方便，性价比高', '短评打分': 5}
{'短评内容': '酒店在虹桥路中心区域，好多老外喜欢住这家酒店，硬件不错，应该算是最靠近虹桥机场的五星级酒店，交通便利，服务到位。房间设施齐全，很干净，下次还会来。值得推荐！', '短评打分': 5}
{'短评内容': '房间小，卫生间异味很臭，设施老，电视机竞然还是老款那种老电视，是我住过万豪系列最差的一间。以后再也不会入住这间酒店。', '短评打分': 2}
{'短评内容': '如果不是因为公司就在附近，真不会再次选择万豪，设施旧服务一般。  最无语的是这次一共订了4个房，正常退房查房完成预授权付款开了发票，客户都回了新加坡快一个月后，万豪前台打电话来说有一个房间有消费了房间里红酒价值几百块，我晕！请问查房时怎不说，就算当时漏了，都一个月了！怎么证明是哪天的客人喝的！  如果是客房除了工作失误，一个五星级酒店竟然好意思找一个月前的客人要，这不是笑话吗！  还让我去打电话问', '短评打分': 3}
{'短评内容': '非常不错的一家商务型酒店，位置也很方便，距离虹桥机场只需20分钟的车程。服务到位。一如既往上海出差时的首选酒店,', '短评打分': 5}
{'短评内容': '非常不错的一家商务型酒店，一如既往上海出差时的首选酒店,服务到位。位置也很方便，距离虹桥机场只需20分钟的车程。 \n\n', '短评打分': 5}
