{'短评内容': '酒店闹中取静，房间很干净，布置的也很温馨，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住。', '短评打分': 5}
{'短评内容': '6房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉', '短评打分': 5}
{'短评内容': '环境挺好的', '短评打分': 5}
{'短评内容': '怎么说呢 手机进去没信号而且很脏', '短评打分': 5}
{'短评内容': '还可以吧，很清静', '短评打分': 5}
{'短评内容': '真的太差', '短评打分': 2}
{'短评内容': '脏乱差', '短评打分': 1}
{'短评内容': '都一般吧', '短评打分': 3}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '这家宾馆去年5月8号我住过，从飞机场打的过去要68元，在一个旧车站的旁边，是一层楼的地面瓦房，条件超级差，房间里面的电视都不能播放，纯脆是摆设，连开水都没有，还没有农家的瓜棚好，是我这辈子见过最差的旅馆，从那里打的到北京火车南站还要58元', '短评打分': 0}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '脏乱差!地方偏僻，服务态度恶劣!', '短评打分': 1}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '位置太偏了，晚上去的话，打的都不愿意去，只有坐黑车，通州农村啊。。。', '短评打分': 3}
{'短评内容': '其实酒店各方面挺好，也便宜，但位置太偏，交通不方便', '短评打分': 3}
{'短评内容': '卫生条件不错', '短评打分': 5}
