{'短评内容': '干净，方便，安静，暖和', '短评打分': 5}
{'短评内容': '很好，房间很干净，网络很好，前台很热情，携程预订没有早餐，所以不做评论。以后去包头出差首选入住酒店。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务很周到', '短评打分': 5}
{'短评内容': '位置优越，商圈周边。', '短评打分': 4}
{'短评内容': '房间挺大位置也不吵，服务还不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '如家包头两店多次预定，服务周到，但包百这个店貌似标准与神华不同，还好店员会积极变通，感到满意。', '短评打分': 5}
{'短评内容': '住了好几次了，很不错', '短评打分': 5}
{'短评内容': '出差临时下榻，还不错', '短评打分': 5}
{'短评内容': '很好  很棒   环境挺好', '短评打分': 5}
{'短评内容': '基本还是可以，服务还行，基本交通卫生等都还可以，下次还会再考虑，基本还是可以，服务还行，其他环境也基本可以', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '交通便利', '短评打分': 5}
{'短评内容': '洗手盆下水不畅', '短评打分': 4}
{'短评内容': '还不错，', '短评打分': 4}
{'短评内容': '酒店还行，位置方便。', '短评打分': 5}
{'短评内容': '干净，实惠！', '短评打分': 4}
{'短评内容': '地理位置优越。吃饭购物方便。前台接待。客服人员都不错。', '短评打分': 5}
{'短评内容': '以前来住过很多次，没有电梯是硬伤。这次发现新装电梯了，很方便。前途服务还是不错，比附近的“某庭”好多了！', '短评打分': 4}
{'短评内容': '不错的酒店。里面卫生很好、服务态度也不错、总体还不错、下次还会去住。', '短评打分': 5}
{'短评内容': '还算比较不错的酒店！！！！！！！！下次再来！！', '短评打分': 5}
{'短评内容': '味道处理的不好，在房间有味道。不过周围倒是挺便利的。', '短评打分': 5}
{'短评内容': '位于包头市中心，逛街非常方便，距离包头维多利商厦、包头王府井、包头百货很近，交通也十分方便，四通八达，虽然在闹市区，但闹中取静，挺安静的。服务很好，很安全。唯一不足是没有电梯。望改进。', '短评打分': 5}
{'短评内容': '环境设施略失望，给如家掉价了，卫生也不咋地。', '短评打分': 1}
{'短评内容': '唯一的问题是没有电梯，如果客人有很多行李会比较不方便！', '短评打分': 5}
{'短评内容': '房间不是很大，隔音也不太好。不过住的还是挺舒服的。距离包百也近。挺好', '短评打分': 5}
{'短评内容': '房间不大，不过床和枕头都很舒服，给人一种家的感觉', '短评打分': 5}
{'短评内容': '因公出差，预定时注明大床房，到店后只有标准间和无窗的大床房（窗户面向酒店的走廊，没有明窗，预定时没有做特殊标注），最后住的是有明窗的标间，但实际一天不见阳光，入住多天一直未予调换大床房，房间隔音效果差，空调噪音大，还算干净卫生——', '短评打分': 1}
{'短评内容': '不错的酒店，离包百很近的。环境也一般般。。。说的过去的。。。经常住这里的。。。', '短评打分': 5}
{'短评内容': '如家正常的品质，就是位置不太好找，比较隐蔽', '短评打分': 5}
{'短评内容': '还不错，经济实惠，有早餐，服务周到，客气，房间干净', '短评打分': 5}
{'短评内容': '地理位置：离商业中心，包百、王府井和美食街很紧，紧挨钢铁大街。\n房间条件：标准的快捷酒店配置，质量=价格！\n早餐：不怎么习惯！', '短评打分': 5}
