{'短评内容': '老板很热情', '短评打分': 3}
{'短评内容': '民宅在东栅景区内，晚9:30分后可免景区门票', '短评打分': 4}
{'短评内容': '很想知道早餐怎么样？马上就去吃！', '短评打分': 5}
{'短评内容': '酒店距离西栅景区很近，酒店格局也很有特色，推荐入住，前台服务也很好，是和朋友一起去的，适合出游入住。', '短评打分': 4}
{'短评内容': '店家服务很好，态度热情，可以接送出行，很方便。', '短评打分': 5}
{'短评内容': '挺好！', '短评打分': 4}
{'短评内容': '不错，老板娘很亲切！', '短评打分': 4}
{'短评内容': '老板人很热情，房间干净安静，赞一个', '短评打分': 5}
{'短评内容': '服务挺好的，刚好遇上淡季，住店的只有我们一户，店家很热情。不足之处是热水供应有点不正常，断断续续的。', '短评打分': 5}
{'短评内容': '店家人很好，客栈干净。值得入住。', '短评打分': 5}
{'短评内容': '老板十分热情，中午提醒外出，也帮我考虑了行程，晚上还到景点接回来，太给力了，好评是必须滴。。。', '短评打分': 3}
{'短评内容': '店主十分热情，来接，而且主动帮我考虑如何游玩好。原定的房给人要了…（有人要几个房，要求连房）老板免费升成豪华房，超给力…以后有完一定再来…', '短评打分': 3}
{'短评内容': '店家人很好，管接管送，住的地方在东栅里面，所以需要晚上九点以后才能进去，要提前就去的话就得出门票不划算的。店家给了很多建议，希望下次还会有机会再去，这个天去有点晒……下次换个时间去……', '短评打分': 5}
{'短评内容': '老板的服务是真心无可挑剔，车站的接送、早上好吃的早点、晚上还在门口等我们，周到得都有点让我们不好意思了。住宿的房间很大很干净，有独立卫生间，闹中取静，美美地睡了一觉，很舒心。', '短评打分': 5}
{'短评内容': '还不错的家庭旅馆，发板很热情！', '短评打分': 3}
{'短评内容': '老板服务比较周到，房间也很干净。地点离染坊挺近，去东栅很方便。没买门票混入了两三个景点，感觉各种馆看不看都行，总之东栅门票是省下了~~然后夜游西栅~~总之整体还是不错的，小细节就忽略吧~', '短评打分': 5}
{'短评内容': '是真的民宿，房东也住在里面的。\n跟西栅的民宿不同，西栅的是统一管理，东栅的这家，是真的民宅。\n因为是晚上进入才能免门票，大叔开了摩托车来接，回去的路上没有路灯，黑漆漆的。\n房间床很大。当然，跟连锁酒店相比，是不同感觉的。\n住的离扎染那景点挺近的，但因为没有门票，所以很多景点是不能进去的~所以，就在巷子和码头这些公共环境溜达，不过，也够了。', '短评打分': 1}
{'短评内容': '民宿大叔的服务态度很好，住了两天，住在景区里省了一百元的门票，从到乌镇开始大叔都接送，省了很多时间，回去时还帮我们买好车票，真的很窝心，还包我们早餐，是稀饭油条还有很多配菜，很有在家吃早餐的感觉，像家人一样对待我们，真的很好，还会给我们安排最好最省钱的游乌镇的方案，住得地方也很舒适，整洁，下次乌镇还会去住！强烈推荐！还有大叔在景区内有自己的茶楼，还带我们到里面休息，请我们喝青梅汁，真的很好喝，还买', '短评打分': 5}
{'短评内容': '老板家房间不多，但对客人非常热情细心，干净整洁，而且每天有晒被子哦！离景区很近，处在后巷很安静，周末玩好西栅后老板特地接我们过去，结束了还送我们到乌镇汽车站。还有为我们准备的早餐也非常丰盛和温馨。非常推荐！', '短评打分': 5}
{'短评内容': '不建议住在景区里面，毕竟民宿的品质不太稳定，而且看景点也要门票的，以后会选连锁的酒店', '短评打分': 5}
{'短评内容': '张老板人特别好，接送我们不说，教我们如何玩转东栅、西栅，还可以去他那喝茶看戏。住的地方灰常不错，跟大城市里的酒店媲美。此次乌镇游非常愉快，也感谢张老板帮我们买票，经后去乌镇还会去那里住。', '短评打分': 5}
{'短评内容': '因为是第一次自己出门不知道民宿，之前没看清楚不知道民宿是在东栅里面，晚上九点前进去是要买票的，所有有点纠结，但是后来老板跟我们解释了半天弄懂了，我们大概是3点多到乌镇，老板来接我们跟我们解释了下，这时候进去不合算，建议我们先去西栅，行李帮我们先拿回去，然后大概9点的时候来西栅接我们回去，民宿在景区里面刚开始还有点怕因为走的路有点偏僻。但是老板人真心很好。我们晚上进去，不用门票，早上只要不看那些需要', '短评打分': 5}
{'短评内容': '老板人很好，住在那感觉跟家里一样。房间也很干净。', '短评打分': 5}
{'短评内容': '谢谢老板非常热情的招待，晚上还冒雨开着摩托把我们从西栅接回来，老板早上还煮了早点，挺有风味，推荐', '短评打分': 5}
