{'短评内容': '酒店太旧，设施太差，便宜无好货的真实反映！', '短评打分': 1}
{'短评内容': '分厂不错 下次还将入住分厂不错 下次还将入住分厂不错 下次还将入住分厂不错 下次还将入住分厂不错 下次还将入住分厂不错 下次还将入住分厂不错 下次还将入住分厂不错 下次还将入住分厂不错 下次还将入住分厂不错 下次还将入住分厂不错 下次还将入住分厂不错 下次还将入住分厂不错 下次还将入住分厂不错 下次还将入住分厂不错 下次还将入住', '短评打分': 5}
{'短评内容': '金狮100连锁宾馆，日照海滨二路店，服务员美女的态度很好，房间卫生一般话，倒是很安静，安全程度也可以，总之一句话，还算可以吧', '短评打分': 1}
{'短评内容': '房间设施及酒店服务质量太差，接受投诉人员态度及处理还算可以，以后不会再入住，很失望。', '短评打分': 3}
{'短评内容': '隔音效果差，卫生环境一般，服务态度较好', '短评打分': 3}
{'短评内容': '冲着金狮100连锁品牌，其他不作评述，性价比还是可以的。', '短评打分': 5}
{'短评内容': '设施老旧；服务几乎没有；房间内到处是灰尘，而且蚊蝇乱飞；卫生间脏的堪比公厕；本应由酒店提供的一次性用品也要另外付费购买，美其名曰：一次性用品不卫生……。尤其令人窒息的：不能上网！！！\n本来预定住三天，和衣苦熬了一夜。第二天一早赶快逃……', '短评打分': 1}
{'短评内容': '离火车站打车起步价6块，到了门口有点犹豫，进去一看彻底傻眼，楼倒是挺大的房间也不少，人气看样子不高，进去房间一看彻底崩溃了，墙显得很久，卫生间地上也不知道什么反正显得跟废弃的屋子一样，全屋子只有床看着比较新，重点是还不便宜，周末330，虽然已经交了钱并且不给退但考虑再三还是没住', '短评打分': 1}
{'短评内容': '环境不是很好，酒店服务不是很到位，也没有人主动收拾房间卫生！', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '地点偏远~~房间也 不怎么样~卫生间连个门都没有~房间 一股霉味  不好~~~', '短评打分': 1}
