{'短评内容': '被子有烟味', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '老宾馆了  设施有点老旧点！其他还行  ', '短评打分': 4}
{'短评内容': '酒店很不错，我们订的是158/间带早餐的房间。这个价位很满意', '短评打分': 5}
{'短评内容': '三星级酒店，有停车场，位置离汽车站不远，我们住的是二楼的房间，168带早餐那种。这个价位个人感觉很不错了', '短评打分': 4}
{'短评内容': '一般化房间小', '短评打分': 3}
{'短评内容': '性价比较高，房间舒适，还提供早餐，好地方', '短评打分': 5}
{'短评内容': '新装修，除了味道大，其他都很好。', '短评打分': 5}
{'短评内容': '位置很好，在珲春办事，住的还可以，价格很好！', '短评打分': 5}
{'短评内容': '来珲春出差的，酒店离办事的地方很近，出行很方便，房间看起来挺大的，干净整洁，性价比较高。计划明年夏天跟家里人一起去，还会选择这里', '短评打分': 5}
{'短评内容': '房间卫生还可以，房间设施不是很全，浴室都是冷水，不能洗澡！', '短评打分': 3}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '位置优秀，服务差点，老国企企业，卫生设备陈旧，下次不会再住了。', '短评打分': 2}
{'短评内容': '宾馆条件一般，周边出行还算便捷。', '短评打分': 4}
{'短评内容': '酒店在当地算是数一数二,地理位置在市中心,出行较方便\n房间整齐,服务态度也不错\n网上预订还是很合算', '短评打分': 5}
{'短评内容': '相当不错的一个酒店，三星标准，二星价位，宽敞舒适，服务超好。去珲春入住此酒店是一个不错的选择。', '短评打分': 5}
