{'短评内容': '代公司订的', '短评打分': 5}
{'短评内容': '代公司订的', '短评打分': 5}
{'短评内容': '服务素质不是有待提高，是需要从零开始培养。                              ', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '卫生干净,服务好', '短评打分': 5}
{'短评内容': '.........................................', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '床是两张单人床合并起来的。', '短评打分': 5}
{'短评内容': '酒店硬件设施还好，但是设计上存在一些问题，使用起来不是很便利', '短评打分': 4}
{'短评内容': '。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间不错，就是酒店四周啥都没有，不太方便！', '短评打分': 4}
{'短评内容': '应该是永川最好的酒店，房间大，视线好，比较安静，早餐也是很棒的。我基本上每次过来出差和旅游都住这个酒店。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '酒店不错，挺好的。就是有点霉味儿', '短评打分': 5}
{'短评内容': '酒店房间，周围环境还都不差，经常住这家酒店', '短评打分': 5}
{'短评内容': '比较舒适', '短评打分': 4}
{'短评内容': '舒适，方便。服务不错', '短评打分': 5}
{'短评内容': '去了永川多次了！住过不同的酒店！这个酒店是住过最好的！不错', '短评打分': 5}
{'短评内容': '很好的酒店，前台也漂亮的很', '短评打分': 5}
{'短评内容': '酒店环境不错，周边比较安静，离人人乐比较近，秒杀价还是可以的。', '短评打分': 5}
{'短评内容': '酒店环境不错，秒杀价比较便宜', '短评打分': 5}
{'短评内容': ' 酒店设施还可以,但以五星来看还是差很多,娱乐不多.', '短评打分': 5}
{'短评内容': '条件还不错。', '短评打分': 3}
{'短评内容': '非常的好，很新，服务业很不错，早餐也丰富，值得推荐。', '短评打分': 5}
{'短评内容': '不错，非常好的酒店！感觉很好，服务也很好', '短评打分': 5}
{'短评内容': '非常的好，很新，服务业很不错，早餐也丰富，值得推荐。', '短评打分': 5}
{'短评内容': '环境很好，比较安静。', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '环境还不错、服务也行吧！', '短评打分': 3}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '该酒店各方面条件都不错。', '短评打分': 3}
{'短评内容': '房间还蛮大不错', '短评打分': 3}
{'短评内容': 'OK', '短评打分': 3}
{'短评内容': '很赞的一家酒店，门童的服务超好，我随便问了一下酒店是否有机场大巴，他很快打电话到房间给我提供非常详细的信息。', '短评打分': 5}
{'短评内容': '酒店不错，门迎还有个美女，哈哈，以后来还会住这里', '短评打分': 5}
{'短评内容': '比较安静，环境可以  下次还会入住  总的比较满意', '短评打分': 5}
{'短评内容': '硬件不错，软件三星', '短评打分': 3}
{'短评内容': '永川最好的酒店了吧，服务挺好的。\n早餐地方有点小呢', '短评打分': 5}
{'短评内容': '豪华房408的价格很实惠，毕竟是5星级的，房间空间很大，但下水道小有问题，值得推荐。', '短评打分': 5}
{'短评内容': '还不错。在永川已经很好了。\n\n哦，面的收费不对，不过我也不计较了。', '短评打分': 5}
{'短评内容': '很高兴永川能拥有五星级的酒店，虽然设施服务还是有差距，但还是很值得一住。', '短评打分': 5}
{'短评内容': '前台工作人员态度不够热情.而且硬件配置也不够档次.整体来讲酒店还是有待提高.', '短评打分': 1}
{'短评内容': '非常不错~~区县酒店中算最好的了。值得推荐~', '短评打分': 5}
{'短评内容': '酒店各方面条件还是不错的，而且性价比很高，住着感觉还是比较物有所值的.条件很好.', '短评打分': 5}
{'短评内容': '酒店位置还行 房间也很满意装修我也很喜欢挺有特点，价格还不错。服务也很周到。环境是挺不错。', '短评打分': 5}
{'短评内容': '酒店在永川新区，离高速路出口很近。因不在商业区，附近没有较大的商场和饭店，所以不是很方便。房间很大，设施都是新的，很不错。自助早餐种类少了点。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '硬件和软件条件都不错.就是用餐不是很方便.位置很好很方便出行,我本人感觉整体来讲还不错.', '短评打分': 5}
{'短评内容': '酒店环境不错，位置是很好找，房间的卫生设施都不错，价格还是很好，性价比不错。不过服务还是挺一般的。', '短评打分': 5}
{'短评内容': '酒店的欧式设计风格，环境舒适宽敞，配置也很全。', '短评打分': 5}
{'短评内容': '我觉得酒店的性价比还是很不错的，环境舒适配置很好。', '短评打分': 5}
{'短评内容': '房间的布局设计都比较豪华，环境舒适的酒店。', '短评打分': 5}
{'短评内容': '酒店的位置挺好的出行也很方便，标示也很明显。', '短评打分': 5}
{'短评内容': '服务很不错的酒店，环境也很好，超乎我的想象。', '短评打分': 5}
