{'descr': '比较干净，条件能说的过去。', 'star': 4}
{'descr': '感觉来看病的挺多的 每天打扮的花枝招展的出去玩总有点格格不入 但是在二环内这个价钱对于刚工作没钱的我们来说不错了 没有独立卫生间但是港真 北京好干燥 没有一直要洗澡的欲望', 'star': 4}
{'descr': '还可以了算是便宜实惠得了', 'star': 5}
{'descr': '还可以吧，算是便宜的了。', 'star': 3}
{'descr': '附近环境不好，房费含挺高。', 'star': 3}
{'descr': '不好，床小，没有卫生间，不能住，再也不去了', 'star': 5}
{'descr': '老板娘服务态度非常好', 'star': 5}
{'descr': '家庭旅店，环境差了点，北京嘛，没办法', 'star': 3}
{'descr': '虽然过去半年了，但是想想当时就很气愤。我不知道是不是北京的旅馆都这样，明明屋里放了三张床，偏偏要说是四人标准间，也是开了眼了。可能我来自村里，孤陋寡闻吧。和老板说，老板就很愤怒的对我说，别和我说这些，为了给你们挪房子，他今晚都没地方睡了。最后返现的时候还说酒店没有我们这个人，非让我说我们的房间号，幸好当时我记住了自己的房间号要不连返现都要不回来，也是醉了。', 'star': 1}
{'descr': '差差差，土匪，黑社会开的店', 'star': 1}
{'descr': '真心不怎么样，周边全是搬迁废墟，就像地震过后的场景，房间看起来也脏脏的感觉，公用卫生间很臭，说有公共浴室，我没见！只是离天坛医院真是很近，就一个拐角，看病能将就住，我看那附近吃的、住的都是同等级，所以吧也没什么可挑剔的', 'star': 2}
{'descr': '位置很好，条件一般，天坛医院旁边', 'star': 3}
{'descr': '卫生太差被子都是黑的一抖掉灰，房间还没过道温度高，另外不隔音墙，不过老板态度很好，在北京100来块也就这样的了', 'star': 2}
{'descr': '只能说破破破差差差，这种破招待所居然要90块 前台服务的老妈子素质也很差  居然交了押金不承认  最后调了监控录像才认账  医院门口60块一天的多的是  奉劝大家不要去 携程也不要助纣为虐收录这些野鸡招待所', 'star': 1}
{'descr': '离天坛医院很近', 'star': 3}
{'descr': '还不错，环境还好了，老板娘还好。', 'star': 3}
{'descr': '酒店的条件真的很糟糕，公共饮水机上还有蟑螂，各种条件差，不过在市区中心，这个价格也只有这样养的条件了，建议有条件的，还是不要住这里了', 'star': 1}
{'descr': '破破烂烂的宾馆，相当有北京特色。。。交通不是很便利，没有地铁，性价比也不高，同类的宾馆在前门也很多，不如去那', 'star': 5}
{'descr': '地理位置挺靠里，前面到处都是小宾馆早知道就不提前预定了。\n典型的小招待所，不过一分钱一分货啦。', 'star': 1}
{'descr': '干净、安静', 'star': 4}
{'descr': '十已入住还可以，能洗澡，还能做饭！意外', 'star': 3}
{'descr': '十已入住还可以，能洗澡，还能做饭！意外', 'star': 3}
{'descr': '住处虽然简单，但还算干净整洁。提供能洗澡，有蚊香，还算可以了。主要是离我要去的地方近，方便。', 'star': 3}
{'descr': '住处虽然简单，但还算干净整洁。提供能洗澡，有蚊香，还算可以了。主要是离我要去的地方近，方便。', 'star': 3}
{'descr': '＋宾馆有粉刷粘墙面，有些味道', 'star': 3}
{'descr': '＋宾馆有粉刷粘墙面，有些味道', 'star': 3}
