{'短评内容': '住N次了，很好', '短评打分': 5}
{'短评内容': '这个酒店不错。服务态度好。效率很高。干净卫生。虽然不是资料里写的离东站那么近，不过地铁公交打车都还方便。', '短评打分': 5}
{'短评内容': '服务挺好', '短评打分': 5}
{'短评内容': '蛮好的，房间大，停车场也大，嗯设施和环境，服务都感觉跟不上的样子，要改善就能提高一个档次！其他都很好！', '短评打分': 5}
{'短评内容': '房间卫生良好，服务态度好。', '短评打分': 5}
{'短评内容': '房间还可以。设施一般了，感觉旧了点。房间通风一般，刚开门有点味道。早餐还行，能满足基本需求没问题，门前有停车场。', '短评打分': 4}
{'短评内容': '房间宽敞，光线充足。', '短评打分': 5}
{'短评内容': '服务挺好的，隔音再好点就好了', '短评打分': 4}
{'短评内容': '酒店设施旧了点，但干净卫生，房间不是太隔音', '短评打分': 5}
{'短评内容': '很好，干净清洁安静！', '短评打分': 5}
{'短评内容': '好好好好好好，非常好，超级好。要不到台的好。', '短评打分': 5}
{'短评内容': '还可以，就是没有早餐', '短评打分': 5}
{'短评内容': '还算不错比较满意', '短评打分': 5}
{'短评内容': '订单未完成，客服及时处理，赞个', '短评打分': 5}
{'短评内容': '匆忙的刚到南宁，就订了，房间还可以，蛮大的，价格比前台优惠不少，总体来讲，值！', '短评打分': 5}
{'短评内容': '还可以吧，房间够大，给升级成商务单人房，家具有些陈旧了，但是卫浴和床品是新的，还比较舒服，可惜毛巾改换换了，非常影响体验的，前台很热情，在这个价位算可以的，早餐很单一，之前评论里面哪个说早餐好的？', '短评打分': 5}
{'短评内容': '京东春节不打烊，速度给力，真心方便！', '短评打分': 5}
{'短评内容': '京东春节不打烊，速度给力，真心方便！', '短评打分': 5}
{'短评内容': '不错，比想象中好，而且服务员很热情', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间很干净，早餐也不错很卫生因为赶火车提前去吃服务周到。就是房间太大了电脑太卡的。下次还住这里。忘了拍照', '短评打分': 5}
{'短评内容': '酒店条件还可以，距离琅东汽车站不远', '短评打分': 4}
{'短评内容': '该酒店总体感觉不错，对得起入住价格。', '短评打分': 4}
{'短评内容': '还行吧，位置比较好找，临街，走一点路就有超市和吃的', '短评打分': 5}
{'短评内容': '到办事的地方较远，周围吃的不多，交通不便', '短评打分': 5}
{'短评内容': '酒店位于琅东高速路出口旁边，汽车站旁边，交通最是便利不过了，设施配套也很上档次，价格也合理，服务热情，房间干净。', '短评打分': 5}
{'短评内容': '酒店位于琅东汽车站旁，高速路入口旁边，坐车出行很方便；距离高铁东站也不远。酒店设施还算比较新，住的也比较舒服，旁边还有饭店，很方便。', '短评打分': 5}
{'短评内容': '酒店位于琅东汽车站旁边，步行5分钟就到了；距离高铁东站也不远，打车15分钟可达。对于乘坐早班汽车和火车的人来讲很方便。自驾的话停车也方便，免费的。', '短评打分': 5}
