{'descr': '前台服务态度好，大厅也不错，就是难找了点', 'star': 3}
{'descr': '不错的，性价比很高，值得推荐', 'star': 3}
{'descr': '还可以，就是房间味道略大', 'star': 3}
{'descr': '挺不错的，，，，，也挺实惠', 'star': 3}
{'descr': '还可以吧，环境一般般', 'star': 3}
{'descr': '位置在市内，前面是乐购超市，出去算是方便。顺着中南路向东走大概500米有一家大荣世家饭店，是无锡本地风味，菜很不错而且还不贵。设施有些旧了，服务因为我们到的晚走的又早所以没什么感受不能随便评论，我定的这间大床房朝南，是落地的大玻璃，可惜打不开没有窗，住起来有些闷热。空调和排气扇又像拖拉机一样的响没法开。话说回来酒店价格还算便宜如果对舒适度要求不高的话还能住的。', 'star': 3}
{'descr': '地段可以', 'star': 3}
{'descr': '没洗衣房，没洗衣粉，没拖鞋！老式电视，前台小姐抽烟，毛巾上还有女人的长发，洗脸盆的塞按下去后再也弹不起来，唯一的优点是，无线网很快，就将了一个晚上吧！', 'star': 3}
{'descr': '酒店服务不如以前', 'star': 3}
{'descr': '不能开发票 很郁闷', 'star': 4}
{'descr': '真的很不错、干净、虽然特价房没有窗户、但是很喜欢', 'star': 3}
{'descr': '太老旧 没窗户 隔音不好 厕所好小  电梯都没有 周边设施还可以', 'star': 1}
{'descr': '附件有超市，有停车场，如果是在附件办事的，那么可以一住。该有的都有了。', 'star': 5}
{'descr': '处在闹市区，很干净，服务也很周到。出门购物游玩均比较方便。', 'star': 5}
{'descr': '特价房不推荐，隔音效果很差，隔壁咳嗽都能听见，而且没窗，空气很混浊。', 'star': 3}
{'descr': '房间还可以，就是早上过道里的声音太吵了。', 'star': 5}
{'descr': '一般，一楼的感觉很像地下室的感觉，我住的这间有个非常不舒服的地方，房门对着床，感觉没什么安全感。不过还是比较干净的。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '环境不错，很清静，房间也很舒服的。服务态度也很好。                                            ', 'star': 5}
{'descr': '环境不错，比较安静，不过有的房间的设施要检查一下好坏，这次的电视机不能看，不过也没有麻烦工作人员维修', 'star': 5}
