{'短评内容': '早餐很好吃，品种多。床也很舒服，加床不现实了吧！', '短评打分': 5}
{'短评内容': '这个酒店比较靠谱，环境可以，就是交通和附近吃的不是很方便。', '短评打分': 5}
{'短评内容': '酒店干净卫生，服务到位。直得推荐。', '短评打分': 5}
{'短评内容': '挺不错的环境', '短评打分': 5}
{'短评内容': '房间比较温馨', '短评打分': 3}
{'短评内容': '只能说一般般吧，', '短评打分': 5}
{'短评内容': '挺舒服的，环境挺好', '短评打分': 5}
{'短评内容': '上个礼拜天跑了趟高速来回150公里，家还是不错的！[微笑]我在家园草房间里面看到过两个女的亲过来亲过去的！', '短评打分': 5}
{'短评内容': '住的舒服，又干净', '短评打分': 5}
{'短评内容': '价格还可以', '短评打分': 3}
{'短评内容': '很好！也挺卫生的', '短评打分': 5}
{'短评内容': '来住家园好多次了，附近吃饭方便，对面就是世贸纺织城、南国小商品城，现在就在门口做了一架人行天桥直达酒店，不用再绕很远。酒店也有免费停车，24小时保安，大叔还很热情。前台服务依旧不错，效率很高。做卫生的大姐都认识我了，很热情。房间空间很大，布置的很舒服，用品上档次。现在最喜欢这里的早餐了，酒店现在做自助早餐，实属难得，出品十几样，都很精致，主食、蔬菜、水果、咸菜等等搭配很好。经济型的价格、星级的装修', '短评打分': 5}
{'短评内容': '有免费停车，很方便。装修不错，大堂气派，房间新。服务很好，服务员都很热情礼貌。晚上周边很热闹，楼下小吃很多。有免费自助早餐，品种不多但出品不错，有主食、杂粮、青菜、咸菜、饮品等等，餐厅在楼顶，外面就是花园，环境很好。正好酒店棋牌开业让住客免费体验，可惜咱人不够数，哈哈，看了下条件不错，下次约朋友过来，嘿嘿。。。', '短评打分': 5}
{'短评内容': '服务很好，房间大，配套设施好。有麻将房正好跟朋友一起玩玩不用出去另找，秀贴心的送了果盘。晚上吃宵夜很方便，就在楼下就有很多。房间有四星级的感觉，热水很快很舒服。wifi信号比较多，可以任意连接，早餐跟上次有改进不少，从布置到出品都进步很多，服务员大姐依然很热情。性价比很好的一次住宿。', '短评打分': 5}
{'短评内容': '隆恩，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '很好，，，，，，，，，，，，，', '短评打分': 5}
