{'短评内容': '本来定的大床，经过剩下双人房，沙发太脏太脏', '短评打分': 4}
{'短评内容': '太次了～而且携程比到店还贵', '短评打分': 1}
{'短评内容': '如果能用垃圾来形容，我想说这个酒店是个垃圾堆。1.很脏 2.风格很九十年代县城风格 3.很脏', '短评打分': 1}
{'短评内容': '各方面都不错，住着挺满意的', '短评打分': 5}
{'短评内容': '跟酒店宣传的差太多太多。', '短评打分': 1}
{'短评内容': '一般般，条件不好！屋子里有点味道，床不是很舒服，屋子挺大，电视古老！一般般，条件不好！屋子里有点味道，床不是很舒服，屋子挺大，电视古老！', '短评打分': 4}
{'短评内容': '比較陈旧，此价格有点贵', '短评打分': 5}
{'短评内容': '环境比较一般！携程推荐临时订的，也还好！没有想象中的差，', '短评打分': 3}
{'短评内容': '电视坏了N次，我也是醉了，写着的45平方的房间最多也就25平方吧。', '短评打分': 4}
{'短评内容': '不错，就是空间有点小，而且打扫的不太干净', '短评打分': 5}
{'短评内容': '还可以啊，不错。根据情况来定吧。', '短评打分': 3}
{'短评内容': '性价比比较低 网络极差 没有宽带 卫生间极小', '短评打分': 3}
{'短评内容': '一直住那', '短评打分': 5}
{'短评内容': '经济。实惠。干净。卫生。拿货的话很近。', '短评打分': 3}
{'短评内容': '  酒店位置还好，吃饭买东西都很方便，房间设施有些年头了，空调有点滴水，联系前台说是冷凝水，正好滴在床头的，卫生有待提高，不过价格在这个寸土寸金的地方还算公道', '短评打分': 4}
{'短评内容': '蒽，感觉还不错，一分钱一分货', '短评打分': 3}
{'短评内容': '：太偏了', '短评打分': 3}
{'短评内容': '太小，偶尔住下还可以。不太适合出差居住。不推荐', '短评打分': 1}
{'短评内容': '空气不好…不够卫生…价格一般', '短评打分': 3}
{'短评内容': '交通方便', '短评打分': 3}
{'短评内容': '环境和价格都不错', '短评打分': 3}
{'短评内容': '藏在大楼中的8楼，没有明显招牌，很不容易才找到，关键是地毯很脏，房间内设施陈旧，被子床单等卧具和毛巾破烂，就像抹布，还有蟑螂、有网络接口却没网线，问前台时他来一句：一般都是客人自带的，我晕...好像是我在为他服务一样，态度差得不行。188的价格性价比极低，不会再入住，连发票都是其他酒店的，什么酒店嘛，长这么大没试过这么差得酒店。', '短评打分': 1}
{'短评内容': '非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好', '短评打分': 5}
{'短评内容': '设施一般，房间较小，地板渗水，仍有待于改进', '短评打分': 5}
{'短评内容': '成功入住酒店', '短评打分': 3}
{'短评内容': '很接近地国贸站但位置不好找。 大楼正在装修， 楼层显得设备不足，应该暂停营业一下；直至完工才收客。', '短评打分': 1}
{'短评内容': '离罗湖口岸比较远，条件只能说是将就，位置不太好找', '短评打分': 1}
{'短评内容': '环境只能说过得去，主要是性价比比较高，在罗湖那边，这个价格的、地段又好的酒店确实很难找。', '短评打分': 5}
{'短评内容': '不好.不好.沒有大江南好', '短评打分': 3}
{'短评内容': '酒店一般,和介绍差别大,来要甚重。', '短评打分': 3}
{'短评内容': '地点非常好，离火车站和老街都很近，就是房间小，有些吵，还不太好找。对条件要求不高的朋友可以选择。', '短评打分': 5}
