{'短评内容': '还好就是房子小了点，不过住的还是舒适的。', '短评打分': 5}
{'短评内容': '不错的酒店， 里面装修非常清爽， 周边购物吃饭非常都方便， 要是早晨提供早餐就更好了！！！                            ', '短评打分': 5}
{'短评内容': 'Hotel is very clean and nice', '短评打分': 5}
{'短评内容': '卫生和服务态度较好', '短评打分': 3}
{'短评内容': '价廉物美，空调、数字电视都不错，但春节期间吃饭不方便。', '短评打分': 5}
{'短评内容': '就像我刚才说的，如果对安静要求不高的，性价比来说，这个酒店还是推荐的，呵呵。', '短评打分': 5}
{'短评内容': '干净还是蛮干净的，但房间门实在是不敢恭维，等于没有。晚上外面的声音让人受不了。如果习惯安静的，应该不适合在这里住。', '短评打分': 1}
{'短评内容': '还是蛮干净的，但房间的门做的简单了点，导致楼道走人的声音感觉比较大。', '短评打分': 5}
{'短评内容': '位置离高速公路还是有些远不过周围生活配套设施还是挺齐全，性价比还不错，服务也性。房间装修的也挺好的。', '短评打分': 5}
{'短评内容': '感觉很舒适 很宽敞 房间很干净 服务也不错 有机会再来', '短评打分': 3}
{'短评内容': '设施较新，性价比高，实惠的经济型酒店，就是没早餐', '短评打分': 5}
{'短评内容': '经济实惠，就是没有早餐不太方便，交通还行，周边设施比较多', '短评打分': 5}
{'短评内容': '性价比较高，就是交通不是很方便，在花桥有点偏，不过周围设施很方便，吃的东西也多，超市也比较多', '短评打分': 5}
{'短评内容': '感觉酒店很干净 服务也很好 所有设施都很齐全 周边环境也很好 窗外风景也不错 可以考虑下次再来', '短评打分': 5}
