{'短评内容': '酒店前台人员服务特别不好，先要好评却乱分配房间，与实际不符，第一次给这个酒店差评，特别失望，希望能改进', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '太一般', '短评打分': 3}
{'短评内容': '', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '差劲，店里这个房间90京东卖117.住进去水池子也堵，洗澡的也堵，耽误了好几个小时，差评', '短评打分': 1}
{'短评内容': '没有入住，不可取消，浪费了', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '。。。。。。挺好的', '短评打分': 5}
{'短评内容': '整体来说还可以！', '短评打分': 4}
{'短评内容': '环境不错，就是洗漱用品还要收费', '短评打分': 5}
{'短评内容': '环境服务都挺好', '短评打分': 5}
{'短评内容': '卫生间浴门渗水，流到座便下，脚下滑。', '短评打分': 3}
{'短评内容': '还可以吧，特色房间', '短评打分': 5}
{'短评内容': '没免费的牙刷用品', '短评打分': 4}
{'短评内容': '枕头有点高', '短评打分': 4}
{'短评内容': '老公说好好好好', '短评打分': 5}
{'短评内容': '给家人订的房间，他们评价都不错。 下次还会选择。', '短评打分': 4}
{'短评内容': '定好了，因为有事情没去住，擦，不知道怎么能退~白瞎了！哎~', '短评打分': 5}
{'短评内容': '定好了，因为有事情没去住，擦，不知道怎么能退~白瞎了！哎~', '短评打分': 5}
