{'短评内容': '还行吧。凑合住。', '短评打分': 5}
{'短评内容': '不错性价比高', '短评打分': 5}
{'短评内容': '环境挺好，位置都挺方便，下次还来住', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 4}
{'短评内容': '就是没有早餐，房间还可以', '短评打分': 5}
{'短评内容': '房间很好很干净', '短评打分': 5}
{'短评内容': '第二次入住了酒店位置好', '短评打分': 5}
{'短评内容': '前台的话梅糖很好吃。房间很舒心不错。', '短评打分': 5}
{'短评内容': 'haode很好okokokokokokokokokok', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '在那里应该算好的了，旁边有公园，环境还不错。', '短评打分': 4}
{'短评内容': '还可以，离出差地方近', '短评打分': 4}
{'短评内容': '还可以，离出差地方近', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '对得起这个价格 装修风格还可以 就是感觉前台的服务一般', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错，价廉物美，商务出行，实惠。', '短评打分': 4}
{'短评内容': '不错，商务出行，价廉物美，值得入住。', '短评打分': 4}
