{'短评内容': '京东的东西不错，购买方便', '短评打分': 5}
{'短评内容': '非常方便，也便宜，只是忘记开发票，后来经过客服指引解决了', '短评打分': 5}
{'短评内容': '停车很方便，我这个特价房不含早餐，房间够大，重新装修过的，环境很好，价格合适，出差旅游的好选择，下次还会再来。', '短评打分': 5}
{'短评内容': '房间卫生不错，灯光明亮，停车方便，但取车经常读不出车牌号。有闪住就好了', '短评打分': 4}
{'短评内容': '还算满意，客房内部设备挺好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '没有早餐比较遗憾！', '短评打分': 4}
{'短评内容': '房间很大，但是卫生情况需要改善，旧酒店翻新的，所以有的设施比较旧，总体还算可以，但我觉得没有门闩这一点非常不好', '短评打分': 5}
{'短评内容': '酒店卫生有待提高', '短评打分': 4}
{'短评内容': '酒店卫生友待提高', '短评打分': 4}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '酒店不错，很好好。停车方便非常好，不错，隔壁也很多东西吃。出入方便。很好很好。不错不错。值得一住，价格也很好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '差，现场价格都比团购价低', '短评打分': 1}
{'短评内容': '半个假窗，加半个根本打不开的内层窗', '短评打分': 5}
{'短评内容': '不错，二楼有吃的，可以。', '短评打分': 5}
{'短评内容': '重新装修过，一般', '短评打分': 3}
{'短评内容': '重新装修过，还是一般', '短评打分': 3}
