{'短评内容': '子生，交通方便，以后还会入住。', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '不错，屋里卫生挺干净的，没有早餐，附近有餐馆！', '短评打分': 5}
{'短评内容': '不贵服务态度好', '短评打分': 4}
{'短评内容': '真一般', '短评打分': 3}
{'短评内容': '什么都一般般', '短评打分': 2}
{'短评内容': '服务好，设施一般', '短评打分': 5}
{'短评内容': '酒店预定的时间错了，然后没入住，款也扣了，也协调不了~好亏，不知道咋评论，先给五分', '短评打分': 5}
{'短评内容': '酒店预定的时间错了，然后没入住，款也扣了，也协调不了~好亏，不知道咋评论', '短评打分': 4}
{'短评内容': '怎么说呢，归纳几点:「朋友让一定要评价的」不太好的地方  1、不说别的，卫生间的玻璃门竟然关不上！关不上！2、被子一股子的味道，潮的很   3、空调开了一晚上房间也没暖和起来，不知道咋回事，我们开的还是26度的  然后再说说还不错的地方:1、周边环境不错，不怎么吵闹 2、离我们要去的利星很近，比较方便 3、wifi速度很快 「二哈」', '短评打分': 4}
{'短评内容': '房间还不错，条件好', '短评打分': 4}
{'短评内容': '环境不错，老板为永嘉人，热情周到。', '短评打分': 5}
{'短评内容': '这酒店非常的不错，下次还来', '短评打分': 5}
{'短评内容': '酒店环境很满意', '短评打分': 5}
{'短评内容': '酒店很安静，很好', '短评打分': 5}
{'短评内容': '总体还行，就是设施有点久，不错不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '还好，房间虽小，但是挺干净的。设备也全，还有网线～不过我房间的毛巾居然是破的…', '短评打分': 3}
{'短评内容': '酒店还可以，虽然靠马路，但是不是很吵，推荐一下', '短评打分': 5}
{'短评内容': '环境不错，就是有些难找。总体还不错。可以入住。', '短评打分': 5}
{'短评内容': '这个酒店一般，房间比较小，马马虎虎还过得去吧', '短评打分': 5}
{'短评内容': '酒店很好,性价比很高,订了两天,周日降价直接就给降了,很厚道.', '短评打分': 5}
{'短评内容': '＋还可以，离西湖较近', '短评打分': 3}
{'短评内容': ' 蛮好的。。。。。。和如家也差不多。。。。。值得入住', '短评打分': 5}
