{'短评内容': '浴巾都变色了，体验很一般', '短评打分': 3}
{'短评内容': '住过好多次了，停车方便，位置好', '短评打分': 5}
{'短评内容': '环境不错，非常安静，值得推荐', '短评打分': 5}
{'短评内容': '非常安静，服务不错，值得推荐', '短评打分': 5}
{'短评内容': '酒店服务态度很，', '短评打分': 5}
{'短评内容': '给媳妇定的，说还行，不好也不坏，给4个星', '短评打分': 5}
{'短评内容': '谁的减肥减肥减肥咖啡奶茶南非可能解放军第四个年头承诺开发经费能否克服饥饿饥饿减肥咖啡减肥吧看到开发经费被讹客服回复大军家的减肥减肥基督教的减肥咖啡君风景减肥减肥减肥减肥减肥减肥办法就是冷暖美的风景粉嫩的减肥减肥减肥减肥减肥吧觉得减肥不管我叫陈旭单家独户次饭不符合次减肥减肥计划放假放假我的减肥减肥绝对不想喝喝酒的减肥吧佛山奶粉可以收到咖啡年度嗯哪的那些经典记得那次东南西北你的本身大男大女机械化学校还不下班经过几百个环节南宁市将神经细胞你都记得那次被牺牲咖啡奶茶呢你的咖啡不错吧大家都回答不代表参加广开言路一个你烦恼妇女解放南方北方决定把代表大会的绝大部分建设局和降低体内脱口秀内设减肥那些那些被草莓你都看过你赶快给你发咖啡奶茶呢看到你发金额咖啡能否看到你被讹你烦恼疯狂嗯陈小部分见过你', '短评打分': 5}
{'短评内容': '最邋基的酒店预定平台，本人京东年消费10万+。飞猪旅行F3会员，第一次京东订酒店，无法退无法换，无法联系商家，出现任何问题无法挽救只有买家承担风险。一次吃亏上当的选择，希望能提醒大家以后别在京东订酒店，是真啦急\n。', '短评打分': 1}
{'短评内容': '酒店比较老，设备比较旧', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '他位置不太好价格可以', '短评打分': 5}
{'短评内容': '还不错还不错还不错', '短评打分': 5}
{'短评内容': '安静卫生干净', '短评打分': 5}
{'短评内容': '干净卫生安静', '短评打分': 5}
{'短评内容': '房间很干净', '短评打分': 5}
{'短评内容': '一直很信赖锦江之星 五星级的服务 环境好干净', '短评打分': 5}
{'短评内容': '环境好 有停车位 经常来的', '短评打分': 5}
{'短评内容': '价格合理，各方面条件都不错', '短评打分': 4}
{'短评内容': '设施没有全季好。环境有点旧。服务很好。', '短评打分': 5}
{'短评内容': '地点太偏太黑了 几个人晚上一起回来都害怕 = = 房间也不大', '短评打分': 4}
{'短评内容': '锦江的环境一直很好，推荐', '短评打分': 5}
