{'descr': '价位决定品质', 'star': 3}
{'descr': '很满意，还给免费升级了。谢谢', 'star': 5}
{'descr': '一直住这里', 'star': 5}
{'descr': '朋友住的，说挺干净的，具体情况不知道，位置不错，周边配套设施很多，饭店，洗浴，娱乐场所等等。可以尝试一下。', 'star': 4}
{'descr': '这次入住非常满意，服务很好，还给我们升级了房间，非常感谢', 'star': 5}
{'descr': '早餐很好，房间很干净', 'star': 5}
{'descr': '挺好的主要就是赶紧，一早上靠大街那边有点吵', 'star': 5}
{'descr': '很干净，下次还会光顾的', 'star': 5}
{'descr': '临街的房间有点吵，晚上停车不容易', 'star': 5}
{'descr': '停车费劲，房间有点小，而且还有台阶，网络不好，电视小小的', 'star': 5}
{'descr': '还可以吧，如家一直都这样，没啥太突的，电视简陋了点', 'star': 5}
{'descr': '网上预定很方便，价格合理，电视有点太小了，房间卫生还可以，毛巾干净', 'star': 5}
{'descr': '很满意    环境也很好', 'star': 5}
{'descr': '环境不错 房间挺干净的', 'star': 5}
{'descr': '交通便利，挺干净的，还算不错', 'star': 4}
{'descr': '很好，便宜舒适', 'star': 5}
{'descr': '非常棒的酒店，每月过来出差都住这家，真是到家的感觉，干净、卫生，打扫卫生及时，特别提出前台服务员人长的漂亮服务特别好，赞一个！', 'star': 5}
{'descr': '就是80年代的旅店，脏，走廊地毯，房间地面，墙面。乱，晚上走廊都是吵闹声，特别后半夜。差，服务态度不好。', 'star': 2}
{'descr': '酒店地理位置很好，就在北广场，我们早上到的比较早，也给安排了房间，但是这个房间是最旁边的，小电视，wifi不好使，当时没太在意，先出去玩了一天，晚上回来发现空调也不好使，开始说是没有开，4小时开一会，后来出去发现走廊都比屋里凉快，而且空调风很大，再次联系，有个师傅过来看确认空调坏了，晚上11点多了，说给我们换个房间，本来不想折腾，但是太热就换了，这个房间在中间，空调好，大电视，wifi也好，之后就', 'star': 5}
{'descr': '酒店地理位置很好，就在北广场，我们早上到的比较早，也给安排了房间，但是这个房间是最旁边的，小电视，wifi不好使，当时没太在意，先出去玩了一天，晚上回来发现空调也不好使，开始说是没有开，4小时开一会，后来出去发现走廊都比屋里凉快，而且空调风很大，再次联系，有个师傅过来看确认空调坏了，晚上11点多了，说给我们换个房间，本来不想折腾，但是太热就换了，这个房间在中间，空调好，大电视，wifi也好，之后就', 'star': 5}
{'descr': '周边方便，设施还可以。态度谦和。', 'star': 3}
{'descr': '服務很一般，房間也很一般，價錢便宜。', 'star': 3}
{'descr': '房间是个奇形怪状的尖角而且屋内有台阶，我也是醉了。其它的没什么。。。。前台和客房、餐厅人员都不错。。。', 'star': 4}
{'descr': '这次是帮亲戚定的，内部很干净。房间大，服务号，周边配套齐全。非常好。', 'star': 5}
{'descr': '不错的酒店，就是没有wifi', 'star': 3}
{'descr': '酒店位置很好，周边商户很多出行吃饭娱乐都很方便。前台服务态度不好，总是耷拉脸，好像欠他钱似的。有待改进。', 'star': 5}
{'descr': '环境还可以，被褥还算干净。发现两只潮虫，也算正常了!门口就粥店，吃早餐方便！整体还算不错。', 'star': 5}
{'descr': '酒店服务员态度很热情,酒店条件不错.', 'star': 3}
{'descr': '兴工街沈辽东路如家酒店环境好干净服务员态度很好', 'star': 3}
{'descr': '房间干净卫生，标准的如家品质。\n热水水量足，热度够，非常舒服。\n附近交通和吃饭都比较傲方便，值得入住。\n上次入住，提了点意见，后来酒店经理还专门打电话回访，工作很到位。\n这次要提的是，毛巾和浴巾有点破旧了。\n', 'star': 5}
{'descr': '酒店不错，地段很好，交通便利，房间设施都挺不错的，浴室，要是有浴缸就更好了。', 'star': 5}
{'descr': '酒店还可以，位置还算方便，就是早餐不方便。', 'star': 5}
{'descr': '还不错，性价比较高，位置也便利。我也是在网上看见推荐才预定的酒店。我比较满意\n', 'star': 5}
{'descr': '房间大小和床很合适，隔音较好，并水也很好', 'star': 5}
{'descr': '房间很大，比其他如家都大，价格贵了10块钱，也行，就是感觉挺空的。。其他都不错', 'star': 5}
{'descr': '房间很干净，也很暖和，这个值钱很值~~~', 'star': 5}
{'descr': '经济实惠！入住方便！交通便利。挺好的！你 住一晚就知道了！', 'star': 5}
{'descr': '房间整体来说还不错，就是浴巾比较脏!可以入住', 'star': 5}
{'descr': '服务很好', 'star': 3}
{'descr': '沈阳如家的服务非常好 房间还算比较宽敞 卫生环境非常好 而且距离工交车站非常近 特别是206 值得推荐啊', 'star': 5}
{'descr': '房间宽敞明亮/网络速度非常的好 电视节目精彩繁多  而且还可以点播节目 虽然住在六楼 水仍然很旺盛啊 服务员态度非常的好 有种回家的感觉哦', 'star': 5}
{'descr': '沈阳沈辽路店 新开的店 房间光线非常的好 前台服务特别的热情 周到 很亲切', 'star': 5}
{'descr': '前台服務到位也貼心,專業素質高.房間內布置標準,浴室水壓強洗澡很過癮.', 'star': 5}
{'descr': '很不错,房间很大，服务员很热情,见面都会问好!位置也很不错,边上的粥店味道很好，可以尝试一下.................', 'star': 5}
{'descr': '设施可以。服务人员也很热情。我们中午到达，前台很快就安排入住。但是，整个酒店禁烟管理不严，大厅烟味很重，房间气味难闻，希望能加以改进。', 'star': 5}
{'descr': '设施可以。服务人员也很热情。我们中午到达，前台很快就安排入住。但是，整个酒店禁烟管理不严，大厅烟味很重，房间气味难闻，希望能加以改进。', 'star': 5}
