{'短评内容': '停车场还不错，设施一般', '短评打分': 4}
{'短评内容': '环境不好，空调坏的', '短评打分': 4}
{'短评内容': '环境不好，空调坏的', '短评打分': 4}
{'短评内容': '酒店地段有一点点偏僻，酒店早餐比较少，不过也能吃饱，卫生条件不好不满意，不是特别干净，睡一觉起来浑身痒，可能这个价格就这样吧', '短评打分': 3}
{'短评内容': '订标间送了2份自助早餐，有红薯白粥、粉面、豆浆、鸡蛋、小馒头、蔬菜、蘑菇、榨菜这些，有时候有油条、鸡蛋饼，就提供早餐这点真的方便。酒店后面有免费停车场，保安大爷人很好，酒店隔壁和周边是军区的地盘感觉挺安全的，我们住的靠山那面客房关上窗很安静。不足的地方就是装修显得有点老旧了，卫生间的地板和墙面有些擦洗不掉的污渍，还有就是灯实在太暗了，全部打开感觉都暗暗的。第一晚携程预订的价格一百多感觉超值，谁知道', '短评打分': 3}
{'短评内容': '房间大干净舒适，地理位也不错，旁边有饭馆，紧挨军区大院，安静，离火车站也近方便出行，建议来这里入住，好，信任京东', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境不错，离机场比较近，出行方便，推荐入住！', '短评打分': 4}
{'短评内容': '非常不错！非常不错！非常不错！非常不错！非常不错！非常不错！非常不错！非常不错！非常不错！非常不错！非常不错！非常不错！非常不错！非常不错！', '短评打分': 4}
{'短评内容': '非常不错！非常不错！非常不错！非常不错！非常不错！非常不错！非常不错！非常不错！非常不错！非常不错！非常不错！非常不错！非常不错！非常不错！', '短评打分': 4}
{'短评内容': '总体来说还是非常不错的，值得推荐。早点种类不多但搭配合理，吃的舒服。但是环境和服务比较好，安静。停车也很方便。', '短评打分': 5}
{'短评内容': '环境和服务都比较好，房间安静、舒适，价格也合适，有停车场，进出停车都很方便，早点种类不多但搭配合理，吃的舒服，豆浆特好吃。', '短评打分': 5}
{'短评内容': '挺好的吧，很不错噢，', '短评打分': 3}
{'短评内容': '经常选择的好地方……', '短评打分': 3}
{'短评内容': '周超环境很好，安静，方便停车，性价比可以！', '短评打分': 4}
{'短评内容': '酒店坐落在贵州省军分区大操场旁，闹中取静，环境还不错。房间比较大，特别是大床房，床足够大，落地窗，采光好，比较舒适。早餐不算丰富，但还算实惠。附近吃东西稍微麻烦点，要走几分钟路才看到餐馆。最大的优势是每天早上不用闹钟，省军区嘹亮的军号声早上８点钟会准时吹响，从不间断。', '短评打分': 5}
