{'短评内容': '很一般的酒店，主要原因是因为要住近一点的酒店', '短评打分': 2}
{'短评内容': '价格实惠，房间设备齐全以后还会来住', '短评打分': 5}
{'短评内容': '网上酒店介绍时没有提示是无窗房，预订者需注意，房间卫生间有下水道反味，入住者需将脸盆下水封闭，早餐还可以。', '短评打分': 3}
{'短评内容': '酒店小巧方便，环境不错，适合出差居住。', '短评打分': 5}
{'短评内容': '方便的入住，环境有待改善，早餐丰富。', '短评打分': 3}
{'短评内容': '很好，就是房间不隔音，对门好吵', '短评打分': 3}
{'短评内容': '大家上课我看什么', '短评打分': 4}
{'短评内容': '订的原是单间，到店说是没有单间，给了标间。这点不是很好外，其他算可以。', '短评打分': 3}
{'短评内容': '还行蛮好', '短评打分': 5}
{'短评内容': '还算不错，离办事地点最近的一家', '短评打分': 4}
{'短评内容': '总体感觉还行，宾馆的员工还是挺有礼貌的。举个小例子，宾馆两员工立于电梯前（已按了电梯按钮），恰逢我也需要使用电梯。然后他们就很有礼貌的把电梯然给了我，他们转乘下一部。虽然只是一个小细节，可以看出对员工的教育还是到位的。相比之下，餐厅的大厨就相形见绌了。我从一楼上五楼，大厨须从二楼下一楼。电梯在二楼停靠时，明知电梯是上行，还是硬把厨房用的，沾满水迹、油迹的小车推进不来就不宽裕的空间来。上到五楼再下一', '短评打分': 1}
{'短评内容': '酒店有点偏，不过很安静，装修也还不错，挺新的', '短评打分': 5}
{'短评内容': ',住的条件不错,就是离马路近了,晚上有点吵', '短评打分': 3}
{'短评内容': '房间清洁，就是水道堵，部分标准房设计局促，早餐丰盛', '短评打分': 5}
{'短评内容': '感觉不错，下次我还会定。', '短评打分': 3}
{'短评内容': '价格便宜，晚餐还可以，环境尚可，缺点是位置有点偏，打车比较困难', '短评打分': 5}
{'短评内容': '1. 不明白为什么前台小姐对顾客总是冷淡和不耐烦！\n\n2. 西餐厅除了沙发和装饰像西餐厅，其他跟大排档差不多，嘈杂、混乱！\n\n3. 服务员不知道你坐在桌旁是要用餐，必须大声招呼才能得到服务！', '短评打分': 1}
{'短评内容': '环境还行，餐厅的水平高，饮食住宿都比较满意。旁边工地施工，晚上有点吵。', '短评打分': 3}
{'短评内容': '整体感觉还可以 还是比较物美价廉的 就是房间小了 不整洁 ', '短评打分': 5}
{'短评内容': '新开业酒店，服务还不太完善，设施大概达到3星水平。按目前的价位，还不错。', '短评打分': 5}
{'短评内容': '全新装修，床具、洁具都蛮好的，比较舒适，早餐也比较丰盛，性价比较高。', '短评打分': 5}
{'短评内容': '在附近办事。还算对得起价格。但空调不给力。西餐厅做的煲仔饭做的挺好的。', '短评打分': 5}
{'短评内容': '总的来说不错了，不过说是四星，应该没有，各方面的标准没有达到啊', '短评打分': 5}
{'短评内容': '酒店比较新，还行，就是周围的交通不太方便', '短评打分': 5}
