{'短评内容': '锦江是我爱我家，我会长来了，推荐朋友住，点赞', '短评打分': 5}
{'短评内容': '在清晖园旁边，有公交站，可以去很多地方，交通非常方便，卫生干净保持锦江之星的一贯风格，服务态度蛮热情', '短评打分': 5}
{'短评内容': '位置很好，选了靠近庭院的比较安静，床还蛮干净', '短评打分': 5}
{'短评内容': '房间旧，周围吵，早餐简单，东西要抢，八点半下去没东西吃了，等半小时才拿几个鸡蛋出来让你们抢', '短评打分': 4}
{'短评内容': '酒店位置极好，出门就是步行街和清晖园。房间也很大，有个大阳台。推荐', '短评打分': 5}
{'短评内容': '毛巾很旧很脏，超时一小时多收我半天房费!', '短评打分': 1}
{'短评内容': '地理位置方便，房间舒适，工作人员服务态度好，下次再来', '短评打分': 5}
{'短评内容': '京东酒店值得信赖，优 惠更多，酒店本身一般般，快捷酒店也不能要求更多。', '短评打分': 5}
{'短评内容': '酒店不错，就是没暖气，太冷了。', '短评打分': 5}
{'短评内容': '位置不错，步行街丁字路口。房间给的是山景房，安静。', '短评打分': 5}
{'短评内容': '酒店内部环境很好，地理环境方便，只是步行街上的店铺实在是太吵了，晚上11点多还在放劲爆的音乐，难以入眠', '短评打分': 4}
{'短评内容': '在步行街里面，外墙装修粉红色，很清新的感觉，经济实惠，值得推荐', '短评打分': 5}
{'短评内容': '卫生干净，服务态度好，总体来说值得入住', '短评打分': 5}
{'短评内容': '还不错，刚进入有点味道，开抽风就好了', '短评打分': 4}
{'短评内容': '可能是特价房的原因，房间比较小，有点旧，有些味道。门锁没法用卡打开，进出都要叫服务员开门。', '短评打分': 4}
{'短评内容': '比较老的酒店，设施比较差，以前是城市客栈', '短评打分': 3}
{'短评内容': '常住的酒店，便宜衛生，地點方便是最重要的賣點，設立在華蓋路步行街，這街是佛山順德區一個主要的購物熱點，很多東西都可以在這裡買到，而且最著名的一間民信雙皮奶甜品店正是設立在這街上，每天品嚐美食的人很多，而從酒店行去只消一分鐘，十分方便快捷，所以每次往順德必在這裡居住。', '短评打分': 4}
{'短评内容': 'not bad', '短评打分': 4}
{'短评内容': '比用价位靠近的七天条件好，位置非常方便就在步行街内。', '短评打分': 5}
{'短评内容': '信价比不错，离清晖园特近，顺德高铁站打车过来21元，周围吃的很方便，游清晖园住这非常好', '短评打分': 3}
{'短评内容': '環境不錯！比想像中好很多！', '短评打分': 3}
{'短评内容': '环境不错，很干净，性价比高，就在步行街的中段位置，到哪里都很方便。酒店对出那条路直走就是清晖园了，往左拐比较兴旺，走一段路有很多吃的店，坐车打的很方便，也很便宜。', '短评打分': 5}
{'短评内容': '设施不错，环境很不错，也很安静。早餐内容少了一些，', '短评打分': 5}
{'短评内容': '酒店在很繁华的步行街上，闹中取静，离清晖园很近，步行就能到达！酒店门口小吃有，但是正规吃饭的饭店到是不多。虽然有停车位，但是停车场较小停车位也很少，回酒店晚了就没有位置停车了！！', '短评打分': 5}
{'短评内容': '酒店外观很洋气也让人感觉舒适，周围环境很适合休闲旅游，处于步行街中央，打的不易坐摩托车方便。周围有一些小吃摊档（不过不一定很卫生），吃饭可以出门口往右走到街口的“粤味一厨”，广东口味的人应该都会找到满意的食物。最最重要的是，离清晖园很近，门口的方向直走过去就到，有空一定要游一下，中国十大名园，广东四大名园之首，名不虚传。\n高级双人房装修比较大方简洁，年轻人应该比较适应，不过屋里只有一张椅子，放行李', '短评打分': 5}
{'短评内容': '酒店位置非常好，就在步行街里面。\n但是房间的空调实在太差了，非常吵。无法入睡。希望能够改善！', '短评打分': 5}
{'短评内容': '房间残旧，噪音大！设施太旧！不建议入住。同样的价钱步行街口的如家条件装修比这好多了。', '短评打分': 1}
{'短评内容': '环境挺好，在步行街很方便，唯一缺点就是空调有点吵，不知道是不是普遍现象', '短评打分': 5}
{'短评内容': '这酒店地理位置很好。城轨站打的十五分钟就到。就在步行街中间。在酒店门口都能看到清晖园。要找美食的人都很多选择。到处都很好味。民信双皮奶。凤廚顺德菜。口了口能私房菜。李禧记。酒店的双床大房感觉很大。单人大房还可以。不过特价房就小一点。很干净。就是大堂很少很热没有空调。早餐都还可以。要求不要跟五星酒店比。', '短评打分': 5}
{'短评内容': '不错的选择，环境不错，卫生也蛮干净，就是淋浴的水温有些低，水量太小。', '短评打分': 5}
{'短评内容': '酒店位置好，楼下就是步行街，吃双皮奶很方便，房间隔音效果一般，楼下店铺开门营业时会有较大的声音', '短评打分': 5}
{'短评内容': '服务很好，地方很清静，很适合商旅人士！', '短评打分': 5}
{'短评内容': '每次来顺德都住这，交通方便，楼下就是步行街。', '短评打分': 5}
{'短评内容': '还好，酒店就在华盖步行街，方便购物，算是一个景点，不好之处就是热水不够热，还有就是电视该换液晶啦。', '短评打分': 5}
{'短评内容': '很干净，环境很好，一出门口就是步行街。很方便。。。免费的早餐也很不错。总的讲，我很满意，下次我也会选择你的。。', '短评打分': 5}
{'短评内容': '空调嘈，退房慢，洗澡水压不够，性价比不高啊', '短评打分': 3}
{'短评内容': '还可以吧，一般般。', '短评打分': 3}
{'短评内容': '酒店外观很漂亮，很有异国风情。两边街道都非常热闹，基本上什么都有的买。交通便利，去觅食的话都不会离得很远。就是酒店的床比较硬。', '短评打分': 5}
{'短评内容': '城市客栈清晖店，整洁舒适，闹中带静，服务质量还过得去，有机会再去的话还会入住。', '短评打分': 3}
{'短评内容': '房间不错。第二次入住了', '短评打分': 3}
{'短评内容': '地点非常方便。离清晖园和西山庙很近。房间还不错。希望早餐的种类再多些', '短评打分': 5}
{'短评内容': '顺德店感觉很好，干净舒服，地理环境，交通方便', '短评打分': 5}
{'短评内容': '挺满意的，不过电视有点老式，还有没风筒不太方便。', '短评打分': 5}
{'短评内容': '迷你房超小。隔音一般', '短评打分': 3}
{'短评内容': '入住方便，酒店提供住3晚送一晚。可惜网上预订不享受该政策。入住时间长的话还不如柜台办理享受余送优惠。', '短评打分': 5}
{'短评内容': '感觉挺不错的吧，这次住的。上次也是住迷你间，不过那个是没有窗子的，很闷很难受，而且空调有点坏坏的。不过这次住的间有个窗子，让我觉得很舒服，而且还有一个衣柜，虽然房间空间不大，但是各样俱全了，而且离商业街很近，一出门就能逛街了，还能享受闹市中的安静，很不错哦\n', '短评打分': 5}
{'短评内容': '在步行街和清晖园旁边，闲暇可以参观一下清晖园。早饭没有去年丰盛了。', '短评打分': 5}
{'短评内容': '店装修很好，房间很大。位于步行街旁边。购物方便', '短评打分': 5}
{'短评内容': '房间偏小，环境不错', '短评打分': 3}
{'短评内容': '比较清静，但是入住豪华单人房面积于与实际不符，严重怀疑是普通单人房收豪华单人的价格，我另外订的豪华双人房环境好多啦', '短评打分': 3}
{'短评内容': '订了豪华双人房，原来是单人房改造的，房间内没有纸巾（卫生间里有），没有暖气，盖了两张被子半夜冻醒，凄凉。九点半早餐只剩下粥水。下次不会再来！', '短评打分': 1}
{'短评内容': '交通便利，周边是商业街，门口就是华盖路步行街，早饭丰富。', '短评打分': 5}
{'短评内容': '房间设施简陋，豪华大床跟外面的小宾馆特价房一样，大堂很小', '短评打分': 3}
{'短评内容': '不错，酒店房间也不错。只是位于步行街，房间有点吵杂', '短评打分': 5}
{'短评内容': '闹中取静，感觉非常不错！以后还是会来这！', '短评打分': 5}
{'短评内容': '房间太小；太冷；没有暖气；卫生间有股味道；总体一般', '短评打分': 5}
{'短评内容': '很喜欢这家,便宜实惠,服务不错.....', '短评打分': 5}
{'短评内容': '很喜欢这家,每次都住.一如既往地好!!!!!!喜欢这家的早餐!', '短评打分': 5}
{'短评内容': '价格便宜，环境舒适，酒店服务还算满意，拿东西的速度有待提高，建议客栈提高隔音设施', '短评打分': 5}
{'短评内容': '外面街上有点吵 房间内空气比较闷 洗手间没有风筒 其他挺好的', '短评打分': 5}
{'短评内容': '交通方便，就在步行街上，有免费的地下停车场，房间较大，但豪华房还是临街，略吵了一点。', '短评打分': 5}
{'短评内容': '酒店很干洁，很舒服。', '短评打分': 3}
{'短评内容': '交通方便，环境优雅、整洁，价钱合理，值得推荐！下次去顺德还是选择城市客栈。', '短评打分': 5}
{'短评内容': '酒店位置挺便利，就是有点吵闹，', '短评打分': 3}
{'短评内容': '不错~只是感觉有点旧~设施有点老化~有代更新改造~', '短评打分': 5}
{'短评内容': '还可以。环境可以，噪音不大。我觉得最不好的是冬天没暖气，这很不方便，请考虑改进这一硬件设施。', '短评打分': 5}
{'短评内容': '房间不准许开空调，冷感冒了。', '短评打分': 3}
{'短评内容': '酒店安靜舒適，位於步行街，很方便。客房乾淨，空間較大，但水溫不是很高，有點涼。', '短评打分': 5}
{'短评内容': '还好，在市中下，楼下就是好方便的步行街!', '短评打分': 5}
{'短评内容': '客栈的位置、环境和卫生都不错，还是住得比较舒服的。\n就是步行街比较嘲\n但是点过后就安静了\n已经是第二次来了\n以后还会选这里。', '短评打分': 5}
{'短评内容': '挺好的，酒店设施不错，但是唯一不好就是没有风筒', '短评打分': 5}
{'短评内容': '出差在大良一直住在这里，性价比最好。推荐。', '短评打分': 5}
