{'短评内容': '价格偏贵 可能是因为旺季吧', '短评打分': 5}
{'短评内容': '位置还可以，不过房间太小，很多还没窗户。', '短评打分': 3}
{'短评内容': '酒店内空气不怎么好，房间偏潮湿。其他还可以，价位偏高了些', '短评打分': 5}
{'短评内容': '去承德旅游，住了3晚上。印象最好的就是服务特别热情周到很有耐心，去哪里都会介绍的详细。宾馆也很干净，周围坐车什么的也很方便。性价比高，以后要再去承德的话还会来住的~', '短评打分': 5}
{'短评内容': '房间设施还是比较新的，也比较干净，整体印象还好。不足之处：不能信用卡结账;卫生间有味。', '短评打分': 5}
{'短评内容': '. 酒店不错。', '短评打分': 3}
{'短评内容': '位置很好找 很干净 要求基本满足 因提前打电话说了要窗 所以给了一间豪华房 虽然空调有些问题 但很快给送来了冷风机 早饭中餐种类较齐全 只是房间内没有行李架不是很方便 下次还会光顾', '短评打分': 5}
{'短评内容': '旅游点的酒店有点贵，是商场大空间隔出来的。不能刷卡，发票也不想给开。小气。服务态度还比较满意。', '短评打分': 5}
{'短评内容': '很干静，服务态度很好！', '短评打分': 3}
{'短评内容': '酒店位置还算好找，离避暑山庄很近，走路的话得15分钟吧，酒店大部份房间是没有窗户的，我挑了一间有窗户的，房间较小，但比较干净，洗浴龙头有点堵，水流很小，房间不是很隔音，房间电话是坏的，没有无线网络，不过服务员的服务和态度非常好，同类酒店的话，价格不算便宜了，也许是在旅游城市的原因，早餐还可以，晚上也许是酒店用紫外线杀菌的原因，有一股很怪的味道，总体说还可以吧。', '短评打分': 5}
{'短评内容': '首先，酒店味道不好闻，我们房间的马桶还是坏的，空调也是坏的。说是中央空调在维修。其次，早餐时候我们在肉花卷里吃出塑料膜。最后没有发票。\n优点是，服务员态度很好', '短评打分': 1}
{'短评内容': '很干净 房间大 服务态度也很好  有早餐 地段繁华 离避暑山庄很近 好评好评！！！', '短评打分': 5}
{'短评内容': '房间太小，其他都很满意', '短评打分': 3}
{'短评内容': '还算是方便，环境很不错，房间很大，很干净，服务态度也都很好，需要什么东西都会给你送过去，早餐很好吃哦！', '短评打分': 5}
{'短评内容': '这个点评有点纠结，酒店新开，配套设施不错，很干净，装修也不错。但是酒店没有说明无窗户，其实是大部分的房间都没有，还有就是做为商务酒店，没有体现商务性，有桌子无椅子，有网口，但是网口位置在床边，很不方便，网线短，网速也一般，隔音也不是很好，前台服务人员不专业，不能刷卡。但是位置不错，交通也方便，酒店经理不错。所以做为去旅行的人可能会好一些。', '短评打分': 5}
{'短评内容': '这个酒店好像是新开业的，房间非常整洁，很干净。卫生间感觉小了点，但热水很暖很足，还是比较满意的。特别提出好评的是枕头，是荞麦皮和羽绒两面的，和我在家用的一样，嘿嘿，感觉非常舒服！好评！', '短评打分': 5}
{'短评内容': '好象是刚装修不久，设施都是新的，房间很大，很干净，卫生不错，服务员态度也好，交通很便利，停车方便，下次去玩儿还住这里', '短评打分': 5}
