{'短评内容': '酒店一直很好', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '酒店临河，可远看龟山的大转经筒。周边吃得不少，可凭喜好选择。房间装修西式，配的沐浴露、洗发液看着不错，文字提示全部采购于沃尔玛。', '短评打分': 4}
{'短评内容': '酒店离古城停车场也就不到二公里，但交通方便，停车方便，也清净。房间不错，厕所很大，超喜欢。就是床稍微小了点', '短评打分': 4}
{'短评内容': '酒店很干净去周边古城很近', '短评打分': 5}
{'短评内容': '各方面都不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '商旅出差不错的选择，环境很好，周边配套设施齐全', '短评打分': 5}
{'短评内容': '房间太小、一般', '短评打分': 3}
{'短评内容': '整体环境还可以，服务也还不错，周边配套设施齐全。', '短评打分': 5}
{'短评内容': '房间不错，就是浴室的花洒坏了，洗澡有点漏水。建议店家修修，wifi网速给力', '短评打分': 3}
{'短评内容': '5分，性价比非常好，酒店设施新，干净，舒适，服务周到，强烈推荐有需要入住的亲们，是一家让人住着非常放心的酒店！', '短评打分': 5}
{'短评内容': '很满意啊。干净整洁，性价比高，非常的舒适，服务态度也很好。去的很晚，一直给留房，感觉很暖人心，是一家非常棒的酒店！', '短评打分': 5}
{'短评内容': '酒店环境不错，地理位置很好，房间有地热及空调，24小时WIFI，设施豪华，服务人员担心我高原反应，还友好提示，值得入住。', '短评打分': 5}
{'短评内容': '酒店装修的很温馨，洗手间特别的干净，床品很新很暖和，总台的服务也很给人温暖的感觉。而且价位还不高！是这个假期最大的惊喜！', '短评打分': 5}
{'短评内容': '在香格里拉地区来讲，很不错的酒店。这里的早餐是我这次云南之行住过的酒店里是最丰富的，好吃不好吃，个人的口味不同，不好讲。房间够大，干净。唯一有点遗憾，同事住的房间热水不是很好，但是我住的房间热水就很足', '短评打分': 5}
{'短评内容': '酒店不错，干净早餐很丰富，推荐入住', '短评打分': 3}
{'短评内容': '酒店服务挺好的，但是够不上四星级。不过价格也在那摆着。', '短评打分': 5}
{'短评内容': '卫生，装修还可以。就是上网速度慢，马桶离洗手盆太近，我估计身体胖的有点不舒服。酒店提供一日3餐，我们是去旅游，早出晚归，没吃过。', '短评打分': 3}
{'短评内容': '服务很热情，房间虽有点小但干净整洁，被子都是羽绒的，很暖和。房间有电脑能上网，遗憾的是没有wifi，早餐虽普通但还算可口能吃饱。虽在古城外但离古城很近走路10分钟就到了，旁边就有个相当不错的藏餐厅很不错，从洗衣袋上看是个准四星，小400一天的费用还是合理的，据说平时200左右，那会很超值。赞一个！', '短评打分': 5}
{'短评内容': '价格高了点但房间很干净（在香格里拉算不错了），大床房很床很小，早餐在藏区算不错了，周围环境很好，有很多餐厅和KTV。在北京的话这样的房间应该在200-280', '短评打分': 5}
{'短评内容': '在香格里拉能有这样性价比高的酒店很难得，房间很新，卫生间也不错。', '短评打分': 5}
{'短评内容': '酒店性价比相当高，早餐也相当不错，下次去一定还会住那里', '短评打分': 5}
{'短评内容': '不错，房间很舒适，离中心很近，早餐很丰盛，配有电脑，热水舒服，卫生好…床垫很软，环境安静。不足的地方是没有接送服务，房费不包括一天三餐…', '短评打分': 5}
{'短评内容': '这是住的性价比最高的酒店，就像酒店说的四星装潢、四星服务、2星价格，早饭也不错。客房里浴霸、加湿器、电脑、吹风机都有，住了很舒服。', '短评打分': 5}
{'短评内容': '新开的酒店，环境与设施还可以，免费的早餐比较丰盛，价格比较实惠，下次来还住', '短评打分': 5}
