{'短评内容': '设施齐全，房间小。位置好。周边比较热闹。性价比不是很高。', '短评打分': 5}
{'短评内容': '屋里空间很小 不过挺干净的 附近交通还可以  网速也不错\n', '短评打分': 5}
{'短评内容': '实在不怎么样，房间超小，寒冷的冬天里空调也不给力。尤其预订的是有免费宽带的，到房间里虽然有网线却被告知不能上网。本来第二天一早就要换酒店的，不期而至的一场雪挡住了我。', '短评打分': 1}
{'短评内容': '酒店不是太好，房间太小而且隔音效果也不是太好，地理位置还可以但是挨着加油站周围环境不是太好，价格还算可以，服务态度一般。', '短评打分': 1}
{'短评内容': '总体感觉不错，房间有点小', '短评打分': 3}
{'短评内容': '我国庆去西安玩 住了5天  这是我住到最贵而且是最差的一晚上  一个单间178  价格也就不说了  可能国庆 大家都涨价   但是房间确实非常小 设施非常久 马桶的盖还是坏的  隔音效果不好   在路边  早上一大早就被路上的车吵醒了  晚上借了把吹风还是烂的   我国庆住过三个酒店 这真的是最差 而且是最贵的晚上  在如家170一晚上 比这个好一百倍  我另外住的一家是享家酒店  也非常好  位', '短评打分': 1}
{'短评内容': '很不错，一如既往的支持！每次都安排朋友们在这里住，很经济实惠！', '短评打分': 3}
{'短评内容': '+房间还行就是小，服务好！', '短评打分': 5}
{'短评内容': '经常在这里住，感觉很不错，价钱也可以接受，洗澡水很好。', '短评打分': 5}
{'短评内容': '位置非常好，太好了，就在十字路口边上，房间隔音很差，所以需要安静的人事要考虑一下，总的来说性价比还可以，要求不高的可以入住。', '短评打分': 1}
{'短评内容': '房间不隔音，有点吵', '短评打分': 5}
