{'短评内容': '环境很好，服务态度好，就是空调差', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '酒店时间太久，设施老化', '短评打分': 3}
{'短评内容': '环境不错，价格便宜，网速也可以，住的很舒适，很满意，周围设施齐全，晚上出去，周边也有很多吃的，很方便！', '短评打分': 5}
{'短评内容': '环境还好，', '短评打分': 4}
{'短评内容': '卫生和设备都蛮好，性价比好，', '短评打分': 5}
{'短评内容': '屋里味道好难闻', '短评打分': 3}
{'短评内容': '还是不错的，一次性订了好几天好几个房间，不错的，服务态度啥的也都没的说，不错哦，交通方面也很好，只是酒店设施可以改善一下了……', '短评打分': 4}
{'短评内容': '宾馆给人的感觉还是有档次的，价位这么低，可能是由于修地铁的原因吧。3号地铁修好了一定会提价的。', '短评打分': 5}
{'短评内容': '环境不值这个价钱，与图片极度不符！', '短评打分': 3}
{'短评内容': '一般一般般吧唧一般般吧台里昂和尚的确很快就要到达目的地是', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '不行房间太老，而且设施也太成旧', '短评打分': 3}
{'短评内容': '虽然有点拥挤，但是有个大窗户，我还是满喜欢的，没想到还有个壁挂电视，虽然只能收看两个台，以前住其它房间都是台式的，老家伙了！', '短评打分': 3}
{'短评内容': '房间一般。。和介绍的完全不一样。。这个价也就这样了。。白天门口相当不好打车。。', '短评打分': 1}
{'短评内容': '合肥宇昂不错', '短评打分': 3}
{'短评内容': '还行，就是地方偏僻了点，打车不好打，。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店空调不太好', '短评打分': 3}
{'短评内容': '交通便利，服务周到，但房间内一些装璜需要维修', '短评打分': 3}
{'短评内容': '酒店图片和介绍的完全一样，服务很好，早餐符合这个价格。下次还会住的。', '短评打分': 3}
{'短评内容': '空间很大，地毯也很好。\n早餐还得改进一下最好，种类比较少。', '短评打分': 5}
{'短评内容': '还好吧..设施不是特别人性化..我希望酒店可以对室内装潢结构优化下..', '短评打分': 5}
{'短评内容': '挺好的。', '短评打分': 3}
{'短评内容': '酒店不错，房间宽敞，服务员很礼貌，价格还很实惠，下次来合肥还会住', '短评打分': 5}
{'短评内容': '整体感觉不错，早餐很丰盛。。。下次有机会还会选择这家', '短评打分': 5}
{'短评内容': '最大的缺陷就是没备用洗澡用的拖鞋，卫生间较滑，不安全。还有就是单人间连一个桌子都没有很是不方便。其他到感觉比较好。', '短评打分': 5}
{'短评内容': '环境不错，就是门锁不是太靠打开，门卡貌似接触不良。', '短评打分': 5}
{'短评内容': '环境整体还不错!。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置还行，周边也算方便。房间也算还可以。就是公共区域感觉有点变扭，不太像个酒店。不知道像什么。哦，对了隔音效果差，有天就是被人家开会的声音吵醒的。', '短评打分': 5}
{'短评内容': '24小时热水，环境不错，不过灯光有点昏暗', '短评打分': 5}
{'短评内容': '前台服务还可以啊，就是洗漱间地板很滑啊，害我朋友滑了一跤啊。', '短评打分': 5}
{'短评内容': '卫生间，超级的小，小得我都看不下去了，早上刷个牙，都要侧身下，不然洗不了', '短评打分': 1}
{'短评内容': '+酒店很新、干净,性价比高.卫生间稍小.总体感觉不错.', '短评打分': 5}
{'短评内容': '酒店环境还不错~~位置还行~~就是晚上吵了点~~空调声音大了点~~', '短评打分': 3}
{'短评内容': '离车站打车不算远，房间挺好，就是有些气味，估计是装潢时间不长的缘故吧', '短评打分': 3}
{'短评内容': '酒店还行~位置不错~服务也不错~就是房间在路边~晚上比较吵~而且空调声音比较大', '短评打分': 5}
{'短评内容': '卫生间空间小，房间隔音差，电视只能收看10几个频道且图像也差，位置不好，想找好一些的饭店或者快餐店都不好找', '短评打分': 1}
{'短评内容': '一般一般，十分一般。有餐厅，食物一般，但是很方便', '短评打分': 5}
{'短评内容': '  房间设施还是比较新的,酒店应该是新开不久,房间还有一股装修过的异味.前台服务还是不错,就是房间的空调太差了,设成17度还是感觉热,另外就是楼层通道没有开空调,只要一出房间就象进了蒸笼,估计是住的人少为了节电所以没把通道空调打开.', '短评打分': 5}
{'短评内容': '酒店环境和周围环境都非常好，很满意', '短评打分': 5}
{'短评内容': '位置不算偏，从火车站打车过去9-10元，不加燃油费2块钱。环境设施都还可以，只是有些气味，后来喷了些空气清新剂。周围不远就有很多餐馆，还算方便，早餐比较单调。', '短评打分': 5}
{'短评内容': '这家酒店的性价比还是蛮不错的，值得推荐一下。', '短评打分': 5}
{'短评内容': '价格优惠,卫生不错,环境也不错设施齐全,住的很舒服', '短评打分': 3}
{'短评内容': '位置比较偏，距离我办事的地方比较远一些.不过卫生和设施条件还不错，不过我还是觉得不方便出行.', '短评打分': 1}
{'短评内容': '环境优雅 性价比高', '短评打分': 5}
{'短评内容': '干净舒适，性价比也不错，住的挺满意的。', '短评打分': 5}
{'短评内容': '房间布置的挺优雅的，也很干净，住的还挺舒适。', '短评打分': 5}
{'短评内容': '酒店远离喧哗，感觉周边很安静，内部布置也挺温馨，休息的很好。', '短评打分': 5}
{'短评内容': '性价比还是不错的，除了位置稍微有点偏，不过很安静！', '短评打分': 5}
