{'短评内容': '还行   就是设施老点   卫生间太小  沙发看不出干净与否  周围交通方便   吃喝选择较多', '短评打分': 4}
{'短评内容': '在开发区的一个高层住宅小区里，就是家庭旅馆的感觉。一个大开间，面积大，电视网络都不错，小区里生活便利，高层也比较安静。床品一般，房间有异味。', '短评打分': 4}
{'短评内容': '老板人很好 屋内设施很贴心', '短评打分': 5}
{'短评内容': '真的非常好，房间超级大，干净卫生，非常值得入住，经济实惠。下次还会入住', '短评打分': 5}
{'短评内容': '房间不错，很合适一家人住', '短评打分': 5}
{'短评内容': '真的特别好特别好！！！房间很大，设施也很全，重要的是很干净！', '短评打分': 5}
{'短评内容': '还可以吧好在价位低，觉得性价比也还可以的，周围什么都有，吃的都很方便，还可以再卖，外卖，有机会再去吧', '短评打分': 4}
{'短评内容': '房间设施不错，楼下停车不方便，吃饭还可以，周边有几个饭店。楼下有超市，在家庭式酒店公寓里还算不错的。', '短评打分': 5}
{'短评内容': '酒店很不错，内部干净，整洁，交通方便，周边配套设施也比较齐备，购物，餐饮都很方便。以后还会继续入住的。', '短评打分': 4}
{'短评内容': '酒店很不错，内部干净，整洁，交通方便，周边配套设施也比较齐备，购物，餐饮都很方便。以后还会继续入住的。', '短评打分': 4}
{'短评内容': '已经住了很多次了，酒店配置很好，商务出行还是很适合的，交通也很方便，以后还会再次入住的。周边配套很方便', '短评打分': 4}
{'短评内容': '已经住了很多次了，酒店配置很好，商务出行还是很适合的，交通也很方便，以后还会再次入住的。周边配套很方便', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '每次都住着，性价比很好。', '短评打分': 5}
{'短评内容': '性价比高，一直住这家。', '短评打分': 4}
{'短评内容': '一直住这，性价比高，周边餐饮也多', '短评打分': 4}
{'短评内容': '去年住很干净 今年床单发黄了哟', '短评打分': 5}
{'短评内容': '住的日式，整体来说比快捷酒店要好的多，因为新建的小区，物业问题没有解决，住的两天晚上6点左右都停了将近一小时电，很麻烦；另外公寓不提供餐饮，在附近的餐馆基本都不能提供发票，因此适合旅游不适合差旅。', '短评打分': 5}
{'短评内容': '日式房间很有感觉啊~以后有机会去大连玩还想来这里~', '短评打分': 5}
{'短评内容': '酒店内部装修不错，外面环境一般。总体不错。值得推荐！', '短评打分': 5}
{'短评内容': '住过很多次了， 好的没话说。~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': 'jiudianweixinkaiyejiudian,sheshihenxin,fuwutaiduhenhao,zhidezaiciruzhu.', '短评打分': 5}
{'短评内容': '酒店环境很好，服务非常热情。只是暂时电视频道较少，值得推荐。', '短评打分': 5}
{'短评内容': '房间很不错，比快捷酒店强好多。网速也很给力。必须好评', '短评打分': 3}
{'短评内容': '房间很温馨，很干净，房间设施也很齐全，装修风格很喜欢，下次还会再来！', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '环境好。 交通便利， 网速很快，服务也很周到。', '短评打分': 5}
{'短评内容': '希望不会再遇到这回的事了。 服务态度十分不好。最主要是的竟然没有房间了。去的别的地方住的。 我希望只是巧合。 不希望有下次。 之前的两次好评希望不会让我后悔。', '短评打分': 5}
{'短评内容': '很不错的公寓，干净，有家的感觉。 服务也很好。', '短评打分': 5}
{'短评内容': ' 干净，卫生，网速快。交通便利。很好。', '短评打分': 3}
{'短评内容': '很好  很温馨有家的温馨  网速很给力，下回还会选择', '短评打分': 5}
{'短评内容': '环境非常好...真的住着非常舒心', '短评打分': 3}
{'短评内容': '感觉非常棒。新开的公寓式酒店，还可以做饭。装修也非常不错。比起同价位的酒店。这应该是最好的了。', '短评打分': 5}
