{'短评内容': '到店交通好', '短评打分': 5}
{'短评内容': '很实惠', '短评打分': 5}
{'短评内容': '环境不好，噪音太大，光线暗', '短评打分': 1}
{'短评内容': '隔音不好，就在机场附近，好吵！', '短评打分': 3}
{'短评内容': '很干净，很', '短评打分': 5}
{'短评内容': '经济实惠，出行方便，周边环境很安静，下次还来。', '短评打分': 5}
{'短评内容': '床单很脏 灯光昏暗 空调基本没效果 房间电话也没有 无线网络也连不上 卫生间很小 水龙头很不给力 房间隔音差 基本一晚上没睡着 不要相信图片', '短评打分': 2}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '带孩子晚上到达，明明楼上有房间却只给安排在一层，霉味加厕所味，想着凑乎一夜。夜里听着有悉悉索索的声音，心里觉得是不是老鼠，一直没睡，想换房又担心孩子己睡着。没想到终于让我看到一尺多长的大老鼠顺着窗帘爬上房顶的灯带，长这么大只见过电视节目里的米老鼠，吓个半死，去前台要求换房，又叫醒熟睡的孩子收拾东西换了房间再睡。恶梦一样的一晚，虽离机场近，但再不会住了。', '短评打分': 1}
{'短评内容': '个人觉得还可以吧…不错。', '短评打分': 3}
{'短评内容': '很实惠 很超值 离机场很近 出门有公交站 有商店什么的很方便', '短评打分': 3}
{'短评内容': '条件一般 地理位置比较好', '短评打分': 3}
