{'短评内容': '有停车位，，', '短评打分': 5}
{'短评内容': '早餐很好，20多种，离台儿庄古城很近，有停车场，室内宽敞，干净卫生，服务人员服务态度很好，很热情，适合各位来旅游居住。', '短评打分': 5}
{'短评内容': '房间的卫生就是脏乱差，前台服务态度一般，不过停车场工作人员很负责', '短评打分': 3}
{'短评内容': '离古城很近 不错', '短评打分': 5}
{'短评内容': '服务态度很好，设备设施这个价格我也能接受，唯一接受不了屋里面居然有蝼蛄虫子。', '短评打分': 4}
{'短评内容': '酒店位置很好找，跟着导航走，停车场很大，方便停车。', '短评打分': 3}
{'短评内容': '相对于一个县城来说就算不错了', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '住的很舒心', '短评打分': 5}
{'短评内容': '酒店位置不错，但房间和服务一般。', '短评打分': 3}
{'短评内容': '价钱可以 ，设备有点老旧，仿的锦江之星', '短评打分': 4}
{'短评内容': '误认为“锦江之星”预定了台儿庄的锦华之星。酒店地处市中心距古城2公里。酒店客房面积较大，设施较陈旧。', '短评打分': 3}
{'短评内容': '环境位置都不错，价位也合理，有机会还会住的', '短评打分': 5}
{'短评内容': '第一次用携程  感觉非常好用  点赞', '短评打分': 5}
{'短评内容': '服务挺好，就是酒店设施没跟上', '短评打分': 5}
{'短评内容': '地理位置还可以的，但房间设置一般，马桶堵，地板起鼓，对付着做一晚上。', '短评打分': 3}
{'短评内容': '干净实惠，的确值得入住！', '短评打分': 3}
