{'短评内容': '空调效果不行，冷', '短评打分': 4}
{'短评内容': '环境很好，床很舒适，卫生干净，但是没有提供洗簌用品，也未提供所谓的欢迎水果', '短评打分': 5}
{'短评内容': '还行，益阳这个地方可以了', '短评打分': 4}
{'短评内容': '有过几次入住了，这里出行便利，酒店里面的房间还不错，够宽敞，入住感觉可以，前台接待服务态度好，给好评！', '短评打分': 5}
{'短评内容': '早餐还可以，房间很大，位置赞，停车方便。', '短评打分': 5}
{'短评内容': '酒店位置不错价格合理', '短评打分': 5}
{'短评内容': '酒店位置不错，价格合理', '短评打分': 5}
{'短评内容': '商务出差，很棒，经常住。商务出差，很棒，经常住。商务出差，很棒，经常住。商务出差，很棒，经常住。商务出差，很棒，经常住。', '短评打分': 5}
{'短评内容': '住了一晚上', '短评打分': 4}
{'短评内容': '酒店环境户型还不错', '短评打分': 5}
{'短评内容': '环境较好，还不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很不错的选择 下次继续', '短评打分': 5}
{'短评内容': '性价比不错，交通方便', '短评打分': 5}
{'短评内容': '每次出差都订这里 不错', '短评打分': 5}
{'短评内容': '位置方便，装修尚好，服务很好，房间很安静。', '短评打分': 4}
{'短评内容': '位置方便，装修尚好，服务很好，房间很安静。', '短评打分': 4}
{'短评内容': '位置方便，装修尚好，服务很好，房间很安静。', '短评打分': 4}
