{'短评内容': '很温馨的房间', '短评打分': 5}
{'短评内容': '经济实惠哦', '短评打分': 5}
{'短评内容': '位置在国道旁，晚上不知道吵不吵，不知道可不可以加床，还有就是比较正规吧，朋友来也要登记，感觉比较安全。', '短评打分': 5}
{'短评内容': '', '短评打分': 4}
{'短评内容': '没有早餐哦，环境优雅', '短评打分': 5}
{'短评内容': '别看这条评论，没什么用的，我只是为了凑够十个字才来评论的，', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈就哈哈哈哈哈哈好', '短评打分': 5}
{'短评内容': '蚊子太多，问前台男孩子拿蚊香，前台男孩子说天气热了是有蚊子的，太垃圾了，太垃圾了', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '我没住过', '短评打分': 1}
{'短评内容': '东西收到了，很好哦，很喜欢，点赞个!', '短评打分': 5}
{'短评内容': '东西收到了，很好哦，很喜欢，点赞个!', '短评打分': 5}
{'短评内容': '002的服务态度真好', '短评打分': 5}
{'短评内容': '不错不错，就是热水太热了', '短评打分': 5}
{'短评内容': '总体还行，就是设施比较旧了', '短评打分': 5}
{'短评内容': '酒店离办事地点近，房间宽敞卫生，前台妹妹甜美热情，周围环境不错，性价比比较高，总体相当满意，下次还会考虑入住。', '短评打分': 4}
{'短评内容': '还好，感觉卫生做得比较好', '短评打分': 4}
{'短评内容': '考试用的…还可以吧', '短评打分': 3}
{'短评内容': '还行吧，经济实惠，环境也不错，交通也方便，不知道是不是网上预订的原因安排了中间一排的房间，两边不透气', '短评打分': 5}
{'短评内容': '一般般吧！就那个样！WiFi信号弱', '短评打分': 3}
{'短评内容': '尚可', '短评打分': 4}
{'短评内容': '可以，，，，，，，便宜的', '短评打分': 4}
{'短评内容': '这个酒店床还凑活 被子有洞 不够干净 墙角黑糊糊 墙皮脱落 洗澡下水道不通畅 客房服务员还可以 就是有个前台 叫杨菊 态度十分不好 我住店我消费 自己记错了tmd还怪我一天定了2回 tmd自己没记录对 像我欠她钱似的 根本没把客人放在眼里什么j8前台 不过另外一个小女生还是很不错的 跟7天连锁简直不是一个档次 人家才叫服务 还叫快8 是山寨的速8吧！！！下次打死都不来了 ，而且我头天住了，还说我未', '短评打分': 1}
{'短评内容': '感觉很好就是有点不隔音!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
