{'短评内容': '房间很大很干净', '短评打分': 5}
{'短评内容': '想不到京东还有订房！更加的是优惠力度比任何软件都便宜！！！！', '短评打分': 5}
{'短评内容': '一句话，酒店的环境和房间的设施非常棒，定的是豪华房，可能是酒店没房的原因吧，居然给我升级到了一个行政套房，价格差好几百的，可能是大舒适的原因吧搞得一晚都睡不着觉。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好好好啊哈哈哈哈哈.....好好好啊哈哈哈哈哈……真就为凑字数而写那么多.唉.........。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '高州酒店上上之选，来就住这里，环境优美，占地面积较大，饮食方便，服务周到，隆重推荐。', '短评打分': 5}
{'短评内容': '酒店环境超好，设施完善，就是服务员的素质有待提高', '短评打分': 5}
{'短评内容': '五星级酒店这么低的价格，认真抵住，', '短评打分': 5}
{'短评内容': '一点都不好，说是温泉酒店，白天到下午三点才能温泉，晚上十点到的酒店，专门订的温泉票房都不能用！环境一般般！', '短评打分': 2}
{'短评内容': '还不错！ 不愧为高州最高档次的酒店。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间绝对好过东莞的5星，想不到高州的酒店可以好到这样的程度，下次还要过去，价格比较优惠', '短评打分': 5}
