{'短评内容': '房间好大， 附近很多餐馆， 像单身公寓， 入口在后面比较难找， 离顾很近', '短评打分': 4}
{'短评内容': '房间很多， 有洗衣机，附近很多餐馆， 不过入口在后面， 比较难找，离关口很近', '短评打分': 4}
{'短评内容': '不过不失', '短评打分': 3}
{'短评内容': '房间很大，装修一般，墙纸起包，卧室灯坏，说要明天叫人维修，说可以换到5楼，但是比这个807还差一些。厨房都比卧室亮。卧室阳台玻璃窗无法锁死，窗外可以打开窗户爬进来。房间大门看着都不知道是否安全。民宿类型。拿同行朋友的话：这是你预订过最差的住宿。周边吃东西方便，小吃，烧烤，水果滩出门20米就有，前后都有24小时便利店，交通还便利，出门30米到公交站。小广告也多。不是已经携程支付过款了，退不了钱，不然', '短评打分': 4}
{'短评内容': '比我想像的差些', '短评打分': 3}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '就是位置难找，其他都很好的，不过厕所感觉卫生一般般，设备比较齐全，住18楼风景好好，很近关押，很方便，有下次都还会继续来。', '短评打分': 4}
{'短评内容': '挺好的，都很方便，老板人也不错，交通也方便，', '短评打分': 5}
{'短评内容': '服务不好', '短评打分': 4}
{'短评内容': '说白了其实就是家庭旅馆，房间还好，老板服务态度很好，地理位置不错，步行到拱北口岸只需5分钟，唯一的缺点就是旅馆没有什么标志在路边，比较难找，如果坐公交车倒是很便利。', '短评打分': 5}
{'短评内容': '在海珠大厦附近，很好找，到拱北口岸也很近，位置满义!\n\n房间卫生较差，洗水间干湿不分，水倒处淌，下水道口一堆黑色垃圾，脏很。\n床大，但床会吱吱响，睌上一翻身噪的不得了。\n有厨房，楼下有莱巿场，东西很便宜可自己做!', '短评打分': 1}
{'短评内容': '环境不错，有阳台有厨房有冰箱，十足公寓，性价比很高的，离拱北海关也近，总是比较满意。', '短评打分': 5}
