{'短评内容': '很垃圾', '短评打分': 1}
{'短评内容': '第二次，要了一个11楼的，很好', '短评打分': 5}
{'短评内容': '设施比较旧，环境很好', '短评打分': 4}
{'短评内容': '设施比较旧，环境不错！', '短评打分': 4}
{'短评内容': '设备比较久，环境很不错！', '短评打分': 4}
{'短评内容': '酒店不错哦。', '短评打分': 4}
{'短评内容': '出差情侣入住都很合适，房间比较干净……周围配套设施比较齐全……就是离火车站比较远，不是太方便……不过还是会选择继续入住！', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '周围环境不错，交通方便，价格适中', '短评打分': 5}
{'短评内容': '位置OK。', '短评打分': 3}
{'短评内容': '酒店看上去不太新，入住后，除了自己烧自来水喝，其他的饮料都是要收费的', '短评打分': 4}
{'短评内容': '挺不错的，交通也很方便，以后再来', '短评打分': 3}
{'短评内容': '会哈更会哈更会哈更会哈更', '短评打分': 3}
{'短评内容': '宾馆不错就是边上太吵', '短评打分': 4}
{'短评内容': '每次来都住这酒店，位置方便 环境也不错  推荐', '短评打分': 3}
