{'短评内容': '不去哪里很方便，老板娘很好', '短评打分': 5}
{'短评内容': '房间宽敞明亮，床褥干干净净，服务员态度很好，设施齐全，价格实惠，睡的很舒服', '短评打分': 5}
{'短评内容': '房间宽大，干净卫生，服务员热情，价格实惠，性价比高，推荐入住！', '短评打分': 5}
{'短评内容': '客栈位置优越，出行方便，周边环境不错，房间卫生干净，被褥整洁，风格独特，服务员态度很好，热情周到，住的很舒心，满意。', '短评打分': 5}
{'短评内容': '前台客服服务态度很好，房间设施齐全，整个布置很温馨，房间干净整洁，很好的一次入住，老板人也不错，很热情', '短评打分': 5}
{'短评内容': '地理位置不错! 里面的装饰摆设都很有客栈的环境很好品位，很有档次的感觉! 卫生打扫得也干净! 住的很舒服!有一种宾至如归的感觉!', '短评打分': 5}
{'短评内容': '客房装饰的很好，干净整洁，设备齐全，阳光充足，床很大，很舒适，房间还有wifi,住在这里有种家的感觉，尤其是店家老板人很好，服务也周到，很满意。', '短评打分': 5}
{'短评内容': '位置还可以，找到了，客栈环境不错，房间打扫很干净，住的满意', '短评打分': 5}
{'短评内容': '很好卫生很干净', '短评打分': 5}
{'短评内容': '酒店附近交通很方便，房间大小合适，卫生干净整洁！晚上睡觉很安静，价格比线下订购要便宜！', '短评打分': 5}
{'短评内容': 'Lhotel est très bien situé. Le bâtiment traditionnel est assez beau. Notre chambre était petite, sombre (1 seule fenêtre donnant sur la cour) et assez défraîchie.Laccueil est soit désagréable soit ine', '短评打分': 3}
{'短评内容': '酒店总体不错，安静，符合丽江小镇的整体风格', '短评打分': 5}
{'短评内容': '客栈环境非常好，老板人也超好，叮嘱我们俩个女生注意事项，告诉我们怎么订划算，还送我们去景点，帮我们砍价，真的很贴心，给老板点个赞。', '短评打分': 5}
{'短评内容': '环境挺好的', '短评打分': 5}
{'短评内容': '房间 服务都比较好。', '短评打分': 5}
{'短评内容': '客栈环境舒适，很大的院子！老板也很热情，下次来接着住这里', '短评打分': 5}
{'短评内容': '客栈不错，环境很好，房间也比较干净整洁！好评l', '短评打分': 5}
{'短评内容': '酒店位于中心地带，周边挺繁华，内部设计的挺漂亮，服务人员英语说的也很好，感觉挺不错。', '短评打分': 5}
{'短评内容': '酒店挺不错，性价比很高，住的挺划算的。', '短评打分': 5}
{'短评内容': '环境很好，很干净，浴室很大，服务人员很热情，主要是价格很公道，住的很开心。', '短评打分': 5}
{'短评内容': '房间挺宽敞，也挺干净，服务也很周到，价格也不贵，住的挺舒适。', '短评打分': 5}
{'短评内容': '房间比较宽敞，尤其是浴室挺大的，卫生打扫很干净，服务很热情，住的挺舒适的。', '短评打分': 5}
{'短评内容': '第一次到丽江，客栈的环境很好。服务员态度很好。房间很宽敞。住的很划算。', '短评打分': 5}
{'短评内容': '四合院一样的客栈里边，应该是很不错的。老板和老板娘很客气，帮我们联系安排景点。有机会来丽江会再次来住的。', '短评打分': 5}
{'短评内容': '酒店位于大研古城中心位置，外观（包括院子内）不错。190的房价，房间内设备跟周边80块的一般无二，通风条件则比周边低价位房间差，因为房间内既无换气设备，窗子也打不开，夜里房间内厕所味十足。老板老板娘夫妇挺热情，号称免费载住客到景点。果不其然，第二天一早就去了拉市海茶马古道，老板相当为顾客着想地把标价380的票价替我们6个外地人砍到170。错在我们，下午去一个旅游公司咨询玉龙雪山门票的时候看到了当天', '短评打分': 1}
{'短评内容': '环境很好，闹中取静。\r\n大堂可以喝茶，每天回来以后还可以与来自不同地方的朋友交流旅游心得。老板很热情，也会帮忙推荐相应的行程。', '短评打分': 5}
{'短评内容': '在这里住得比较舒心，老板娘是个很友善的人，有什么旅游方面的问题都可以问她。米卢来的时候住在这里，原先还不知道，去了之后看见了照片才发现的。推荐大家去看看。', '短评打分': 5}
