{'短评内容': 'i非常好，已经无数次入住了', '短评打分': 5}
{'短评内容': '感觉不错，性价比较高', '短评打分': 5}
{'短评内容': '灯坏的，沐浴喷头坏的。', '短评打分': 4}
{'短评内容': '大酒店还可以，只是周边吃饭不太方便', '短评打分': 4}
{'短评内容': '含双早，早餐对于我们一时半会适应不了当地以傣族餐饮为主的人来说算是对自己的肠胃有点慰藉了。位置离市区不远，出入方便。有室外停车场。', '短评打分': 4}
{'短评内容': '房子很安静，晚餐不错', '短评打分': 5}
{'短评内容': '酒店的大堂比很多五星级酒店还好', '短评打分': 5}
{'短评内容': '泳池不错', '短评打分': 4}
{'短评内容': '酒店早餐很丰富。', '短评打分': 5}
{'短评内容': '早餐很丰富。', '短评打分': 4}
{'短评内容': '值得推荐', '短评打分': 5}
{'短评内容': '干净，卫生，整洁。', '短评打分': 5}
{'短评内容': '地理位置不好很尴尬', '短评打分': 3}
{'短评内容': '对大城市来景洪旅游的人来讲酒店位置其实不是很远，因为景洪本来就不大，如果是自己开车就非常方便，这里离中心区2-3公里，但是安静。酒店的房间干净，服务员也不错，对于现在酒店的价格早饭也没有什么可挑剔的了。总之性价比高，值。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '价格不贵，还有免费导游，不错', '短评打分': 5}
{'短评内容': '价格不贵，还有免费导游，不错', '短评打分': 5}
{'短评内容': '整体挺好的，适合自驾入住，，，，，，，，', '短评打分': 5}
{'短评内容': '酒店漂亮干净，很有特色。如果服务能跟上就会更完美了。', '短评打分': 5}
{'短评内容': '不错，算是当地最好的酒店了！早餐很丰富，风景很好，只是出行有些不方便，不过酒店有租车服务，也不算太贵200元一天，司机客气也很热情，陪着我办完事还介绍了当地特色的小吃，晚上一直陪到很晚才回去。房间里居然有赠送的煲汤，还是热的~~~很是贴心啊', '短评打分': 5}
{'短评内容': '可行,环境不错,服务态度有待于进一步提升,整体觉得相当滴不错,可以进行入住......', '短评打分': 5}
{'短评内容': '干净，安静，不错,只是离市区稍远，但随时有酒店免费车接送，也很不错。', '短评打分': 5}
{'短评内容': '很不错的酒店，床差了一点 早餐很好，还会入住的', '短评打分': 5}
{'短评内容': '酒店还是很不错的，适合自驾入住，晚上睡觉很清静。在新区，吃饭不是很方便，不过版纳不大  ，从酒店去市区也就几分钟。', '短评打分': 5}
{'短评内容': '不错，很有民族特色，房间很大还有阳台，早餐也不错，酒店的接送服务确实如评论所说有所改变，司机的态度好很多~~送到机场的时候，一直帮行李送到大厅，还帮忙办理登机。好的服务还是值得给一个好的评价。', '短评打分': 5}
{'短评内容': '不错，算是当地最好的酒店了！早餐很丰富，风景很好，只是出行有些不方便，不过酒店有租车服务，也不算太贵200元一天，司机客气也很热情，陪着我办完事还介绍了当地特色的小吃，晚上一直陪到很晚才回去。房间里居然有赠送的煲汤，还是热的~~~很是贴心啊~~~喜欢的理由也许就是因为有贴心的服务。支持一个！', '短评打分': 5}
{'短评内容': '上次来出差就住这里，这次来发现他们又重新装修了大堂，比之前更大气更有特色了。没想到一年不到就重新调整，服务也比上次来好很多！！就连接机的司机也比以前有礼貌了，希望以后还能看到！', '短评打分': 5}
{'短评内容': '很好   喜欢  就稍稍贵点   早餐  服务都不错', '短评打分': 5}
{'短评内容': '前台服务员服务态度差,一会停下电一会又停下电,传说晚上有汤送来喝,没喝到,和传说的档次差了好多.', '短评打分': 3}
{'短评内容': '本来以为酒店有接机服务是件非常好的待遇，但是负责接机的那位司机，真的太过现实了。一开始来接的时候，态度非常好，让我们包他车子，400元一天，倒是不贵，我们就决定用他车子了。中午吃饭，我们本来想要随便买点就去景点，他硬是要拉我们景龙园，进去一看就是旅游饭店，饭店里的菜贵也就不说了，然后还让我们等了半个小时，一个菜也没有上来，然后被告知只有一个厨师，到现在一个菜也没有开始做，我们离开饭店了。后来开我们', '短评打分': 1}
{'短评内容': '很好的酒店.环境优美.', '短评打分': 3}
{'短评内容': '酒店很豪华，很有风情，房间很舒适，服务真不错。', '短评打分': 5}
{'短评内容': '酒店设施非常好。 晚上还送汤和巧克力。 喜欢。 ', '短评打分': 5}
{'短评内容': '我觉得算得上 版纳  最好的酒店了吧  \n建筑是泰国风 装修也可以  达到4星标准\n酒店还好不在市中心  所以灰尘不大  也不吵\n住了一个星期   还是比较满意的 ', '短评打分': 5}
{'短评内容': '还不错，可惜性价比不是很高，位置偏远，价格稍稍偏高，但是总体来说不错，服务也很到位。。。', '短评打分': 5}
{'短评内容': '总体来说还算可以，服务态度也比较热情，每次打扫房间还会有饼干，水果等小礼物。', '短评打分': 5}
{'短评内容': '不错，我电脑不能上网了，酒店员工很耐心帮我解决问题。就是洗澡的水不是很热，洗澡有点冷。', '短评打分': 5}
{'短评内容': '古色古乡 不错的酒店 希望在酒店接机方面做的更好', '短评打分': 5}
{'短评内容': '酒店大气，设施高档，服务温馨，餐饮很好，希望电源设计人性化', '短评打分': 5}
{'短评内容': '挺有版纳风情的一家酒店，接送机场服务很好，让人感到很温馨。只是有工地稍微有点吵，下次还住那里。', '短评打分': 5}
{'短评内容': '酒店档次高，房间设施好，服务也很到位，就是价格贵了。', '短评打分': 5}
{'短评内容': '酒店设施齐全,入住感觉舒适,服务人员服务热情周到,周边环境优美.不错的一家酒店.', '短评打分': 5}
{'短评内容': '＋很不错', '短评打分': 3}
{'短评内容': '不错、不错,在国庆期间用这个价格能住到这样的酒店，相当不容易，性价比相当高，物有所值，非常好。', '短评打分': 5}
{'短评内容': '酒店不错，一开始好担心住得不好，还好，很满意！', '短评打分': 3}
