{'短评内容': '一分钱一分货吧', '短评打分': 3}
{'短评内容': '多喝水的经济学家初见成效好', '短评打分': 5}
{'短评内容': '条件太差了', '短评打分': 1}
{'短评内容': '干净整洁舒适', '短评打分': 5}
{'短评内容': '干净整洁干净漂亮', '短评打分': 5}
{'短评内容': '设备不好，空调太吵了，因为没有暖气只能开空调，吵的一晚上都睡不好', '短评打分': 4}
{'短评内容': '环境可以  京东值得信赖', '短评打分': 5}
{'短评内容': '晚上睡觉一直有水滴', '短评打分': 3}
{'短评内容': '隔音稍差，其他还好', '短评打分': 4}
{'短评内容': '第二天续住了，肯定比较满意了，楼下有庆丰包子铺，吃早餐很方便的。房间温度也不错，不会冷。再写六个字才有积分哦～', '短评打分': 5}
{'短评内容': '房间设施略旧，但是卫生整洁！', '短评打分': 5}
{'短评内容': '周边订不到什么酒店了，感觉比一般商务酒店要差一点，也没有电梯，被子看上去旧了', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '有点旧 没电梯', '短评打分': 3}
{'短评内容': '还不错，门口有庆丰包子铺哈哈哈', '短评打分': 5}
{'短评内容': '酒店环境还可以，周边也比较方便，有公交始发站。', '短评打分': 5}
{'短评内容': '还可以还可以还可以还可以', '短评打分': 5}
{'短评内容': '这什么酒店呀，真的是太差了。地方很偏僻，很难找到', '短评打分': 1}
{'短评内容': '还不错，能满足我的要求', '短评打分': 3}
{'短评内容': '还可以 周围很安静', '短评打分': 3}
{'短评内容': '单位同事出差定的酒店，还是不错的，距离机场比较近，挺方便的', '短评打分': 5}
{'短评内容': '整幢楼没有暖气，全靠空调取暖，感觉挺冷的。服务一般般。', '短评打分': 1}
{'短评内容': '酒店没有暖钅.冷，服务也不是很好，望酒店加快把暖气解决。', '短评打分': 1}
{'短评内容': '酒店的质量一般，位置距离机场大概半个小时的时间，但是性价比还是不错的，如果有机会，还是会再次选择的！', '短评打分': 5}
{'短评内容': '.服务一般，洗浴毛巾是破的、太黑像没消过毒，望改正。', '短评打分': 3}
{'短评内容': '房间很干净，地方有点偏，但是性价比还是很好的。', '短评打分': 5}
{'短评内容': 'Not good at all. Dirty and bad service. Never come back again!', '短评打分': 1}
