{'descr': '买了好几个了，质量非常好，准备再买几个，。', 'star': 5}
{'descr': '规范商务酒店', 'star': 4}
{'descr': '比周边的好太多', 'star': 5}
{'descr': '交通方便，就是无线不太好。', 'star': 5}
{'descr': '酒店太旧了', 'star': 3}
{'descr': '', 'star': 5}
{'descr': '很小的房间，下次不会再去了', 'star': 3}
{'descr': '还不错，价格也合适', 'star': 4}
{'descr': '优惠的房间是阁楼，没住。又免费给换了非阁楼的，服务态度不错。但是应该注明无窗的是阁楼', 'star': 4}
{'descr': '这个价格在邳州还算能接受吧，服务一般', 'star': 4}
{'descr': '位置好找，出行方便。', 'star': 4}
{'descr': '就那样', 'star': 5}
{'descr': '酒店很好。服务很到位。比较满意他家的服务。', 'star': 3}
{'descr': '很不错，点个赞吧，不过每次都是内窗，', 'star': 3}
{'descr': '很不错，就是这次电视空调都有点旧', 'star': 3}
{'descr': '便捷，客服人员很好', 'star': 5}
{'descr': '整体还不错呢，就是便鞋有一股很强的塑料味，好像所有如家的塑料封起来的便鞋都有，这家的餐厅是自助的，但还是很实惠的。', 'star': 5}
{'descr': '刚装修的，味道有点重，但是卫生间超级干净推荐！！\n地理位置也还好。价格比如家的会员都便宜，超级划算', 'star': 5}
{'descr': '刚装修的，味道有点重，但是卫生间超级干净推荐！！\n地理位置也还好。价格比如家的会员都便宜，超级划算', 'star': 5}
{'descr': '房间已经有点老化了，不过整体还算干净，就是一些角落都没有清扫干净。。隔音效果也不好。', 'star': 3}
{'descr': '房间已经有点老化了，不过整体还算干净，就是一些角落都没有清扫干净。。隔音效果也不好。', 'star': 3}
{'descr': '没有如家的品质，徒有其表，毛巾浴巾有头发，床单有血渍，卫生状况糟糕！', 'star': 1}
{'descr': '没有如家的品质，徒有其表，毛巾浴巾有头发，床单有血渍，卫生状况糟糕！', 'star': 1}
{'descr': '住的特价房99，房间保持如家风格，温馨简约，5楼房间对面就是服务员更衣洗漱室，还有仓库，隔音不好，服务员闲时聊天非常吵，总体对得起这个价格，值得推荐', 'star': 5}
{'descr': '住的特价房99，房间保持如家风格，温馨简约，5楼房间对面就是服务员更衣洗漱室，还有仓库，隔音不好，服务员闲时聊天非常吵，总体对得起这个价格，值得推荐', 'star': 5}
{'descr': '隔音不好 吵死了 1111111111111111111111', 'star': 1}
{'descr': '隔音不好 吵死了 1111111111111111111111', 'star': 1}
{'descr': '地段蛮好的，旁边逛的地方多，尤其里面的服务人员很热情的！', 'star': 5}
{'descr': '地段蛮好的，旁边逛的地方多，尤其里面的服务人员很热情的！', 'star': 5}
{'descr': '服务态度非常一般\n毛巾是住过所有如家里最不干净的', 'star': 1}
{'descr': '服务态度非常一般\n毛巾是住过所有如家里最不干净的', 'star': 1}
{'descr': '位置较好，环境较干净，服务员挺热情。值得推荐。', 'star': 5}
{'descr': '位置较好，环境较干净，服务员挺热情。值得推荐。', 'star': 5}
{'descr': '位置很好，不过设备有些旧', 'star': 5}
{'descr': '位置很好，不过设备有些旧', 'star': 5}
{'descr': '离火车站、汽车站、商业中心都挺近的，交通非常便利，这点挺不错的。', 'star': 5}
{'descr': '离火车站、汽车站、商业中心都挺近的，交通非常便利，这点挺不错的。', 'star': 5}
{'descr': '总体不错，在当地算好了', 'star': 5}
{'descr': '总体不错，在当地算好了', 'star': 5}
{'descr': '房间打扫的很干净，设施比较齐全，热水质量很好，热的很快，流量很大。洗的很舒适。', 'star': 5}
{'descr': '房间打扫的很干净，设施比较齐全，热水质量很好，热的很快，流量很大。洗的很舒适。', 'star': 5}
{'descr': '这里的酒店不多，尤其是这种品牌连锁的。性价比还可以，还算干净，就是房间有点小。', 'star': 3}
{'descr': '这里的酒店不多，尤其是这种品牌连锁的。性价比还可以，还算干净，就是房间有点小。', 'star': 3}
{'descr': '员工素质差，服务不好，工作效率低，最大缺点，只有电梯，没有楼梯，存在安全隐患', 'star': 1}
{'descr': '员工素质差，服务不好，工作效率低，最大缺点，只有电梯，没有楼梯，存在安全隐患', 'star': 1}
{'descr': '周边环境不错，空气很清新，交通也比较便利，服务上也很周到，感觉很贴心。', 'star': 5}
{'descr': '周边环境不错，空气很清新，交通也比较便利，服务上也很周到，感觉很贴心。', 'star': 5}
{'descr': '整体来说不错的酒店，卫生不错，性价比蛮高的，下次还会入住。', 'star': 5}
{'descr': '整体来说不错的酒店，卫生不错，性价比蛮高的，下次还会入住。', 'star': 5}
{'descr': '酒店的位置不错，小县城里这样的经济型酒店本来就不多，比起那些本地的小酒店来说是好太多了。', 'star': 5}
{'descr': '酒店的位置不错，小县城里这样的经济型酒店本来就不多，比起那些本地的小酒店来说是好太多了。', 'star': 5}
{'descr': '管理混乱,卫生差', 'star': 1}
{'descr': '管理混乱,卫生差', 'star': 1}
{'descr': '环境还可以，服务算是规范，大床房只有一条毛巾不知道为什么。', 'star': 5}
{'descr': '环境还可以，服务算是规范，大床房只有一条毛巾不知道为什么。', 'star': 5}
