{'descr': '一般就是房间有味道', 'star': 3}
{'descr': '交通很方便', 'star': 5}
{'descr': '适合去附近游玩的小情侣小住一下~', 'star': 5}
{'descr': '哎，反正很心塞，窗户锁都是坏的，一个女生，超担心不安全，门市价198，你换个锁很贵？哎，反正就心塞拉。', 'star': 3}
{'descr': '窗户锁的坏了，我住了之后才知道，续住时说要换，她说这是很好的房间了！我无语了！就这个门市价还198，好吧我无语了。厕所和沐浴房都没有门，只有一半的玻璃门，我80斤，手都撞过玻璃好多次！遥控器脏到不想说。前台有个女的挺好，另一个差评！唯一好的就是周围很多吃的！', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '性价比不错', 'star': 4}
{'descr': '被子保暖性', 'star': 3}
{'descr': '交通便利，服务周到，环境整洁', 'star': 5}
{'descr': '交通便利，服务周到，环境整洁', 'star': 5}
{'descr': '刚来住，很好!', 'star': 5}
{'descr': '不错，挺好的，就是浴巾不怎么样', 'star': 3}
{'descr': '很吵，附近装修', 'star': 4}
{'descr': '还可以…………不错不错', 'star': 3}
{'descr': '酒店比较旧。', 'star': 4}
{'descr': '交通便利，环境很好，对面就是莫愁湖公园，酒店设施齐全，蛮干净的', 'star': 5}
{'descr': '不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '房间还不错，挺温馨，就是晚上靠近街道的房间会有点吵。', 'star': 5}
{'descr': '房间狭小。卫生间跟淋浴间的门都是坏的，差点没被关在里面。情侣房里的电脑破的要死。个别房间（我订了几个房间，其中一个）门缝大的吓人，差不多有一厘米左右。房间的扣锁可以从门外轻易打开。总之肯定宾馆，肯定不去！', 'star': 1}
{'descr': '非常整洁的酒店.附近有许多饭店,吃饭也很方便.', 'star': 5}
{'descr': '  很不错的酒店，靠近莫愁湖公园，周围饮食便利店银行齐全，距离车站和地铁站稍远，房间环境很棒，很适合情侣游玩', 'star': 3}
{'descr': '房间还好吧 住的房有点吵 其他还好', 'star': 3}
{'descr': '房间空调不热找服务人员加床被子还要加收十元钱，没见过啊！', 'star': 3}
{'descr': ' 肯定之星情侣宾馆，顾名思义，晚上隔音不是很好有点小闹，但是早晨很安逸，北面的房间没有阳光，可以睡很久，哈哈', 'star': 3}
{'descr': '地理位置不错，有吃有玩有逛的。。。但是房间制热太差，空调上厚厚的灰和蜘蛛网，洗澡水一直是温的，总之不推荐', 'star': 1}
{'descr': '蛮好，比较满意', 'star': 3}
{'descr': '一般，住了一天，发现门锁是坏的，晕 后来换了个房间，临楼梯，很吵。总的来说位置不错，楼下很多吃饭的小馆子', 'star': 5}
{'descr': '还可以，干静但是不是很安静。', 'star': 3}
{'descr': '环境不错', 'star': 3}
{'descr': '总体感觉还行，环境装修过也不错，就是火锅味太重。。。。。。', 'star': 5}
{'descr': '南京肯定宾馆水西门店情侣房设施还行，服务挺周到的', 'star': 3}
{'descr': '门总打不开，客服电话也打不通。楼下有火锅店，有火锅味道。外表看得觉得蛮好，里面有很多东西好老\r\n', 'star': 1}
