{'短评内容': '非常好的住房', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境、设施、卫生比那些快捷酒店好太多了。唯一的问题：吃饭时间的停车位非常紧张，极为不满。', '短评打分': 5}
{'短评内容': '服务态度热情，出入方便，停车方便', '短评打分': 5}
{'短评内容': '房间小，有蟑螂，没有风筒，停车没到前台刷卡时，不到半个钟5元，房间在二楼，窗外即是居民生活区。最主要的是房价浮动过于忽悠，同样的房型，付了费278元，回头再刷新，出现过170+元的费用，不会考虑二次再住。', '短评打分': 2}
{'短评内容': '京东订酒店方便实惠', '短评打分': 5}
{'短评内容': '房间还算整洁，但停车很麻烦，门前停车场多个商铺共用，停满了只有等，入住当晚等了半小时才能停车，房间隔音也不行，半夜听到隔壁在拍苍老师的动作片&hellip;&hellip;无语', '短评打分': 3}
{'短评内容': '房间很舒适！安静！', '短评打分': 5}
{'短评内容': '房间非常的干净舒适！下次还入住！', '短评打分': 5}
{'短评内容': '订了10间房，老板免费升级套房让体验一下，很爽。', '短评打分': 5}
{'短评内容': '环境不错，但是晚上有点骚扰，你懂得那些！', '短评打分': 4}
{'短评内容': '还不错，前台入住的态度一般，就是门卫的很赞，五星级待遇，拿行李撑伞帮车开门等都做了，点10086个赞，', '短评打分': 4}
{'短评内容': '我一晚上没睡着', '短评打分': 1}
{'短评内容': '环境挺不错的，便宜，还有包括早餐的', '短评打分': 5}
{'短评内容': '酒店房间干净整洁，不过确实没有图片上精致……空调主机就在窗户旁边，来的时候天冷没有开空调，不算吵。', '短评打分': 4}
{'短评内容': '这里的地理位置非常好，周围的环境很好，酒店的卫生也很干净，小孩子玩得很开心，去漂流也很方便，以后还想来玩。', '短评打分': 5}
{'短评内容': '酒店还行', '短评打分': 4}
{'短评内容': '0k', '短评打分': 4}
{'短评内容': '房间还是不错的，可以选择，早餐一般', '短评打分': 5}
{'短评内容': '房间环境不错，很舒适，就是位置太偏僻。', '短评打分': 3}
{'短评内容': '环境不错，和照片的一样，装饰也很好，值得再来。', '短评打分': 5}
{'短评内容': '酒店环境不错，豪华套房很宽敞，还有麻将桌，适合多人一起玩。性价比挺高的，唯一不足之处就是寝具舒适指数不高。', '短评打分': 5}
{'短评内容': '标双的床小了点。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还不错。。。就是标双的床有点小。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '去清远漂流了3天都住在这里, 觉得很舒服. 房间不错, 但是必须要自己开车比较方便. ', '短评打分': 5}
{'短评内容': '上次来过，这次选了标准间，感觉还不错，', '短评打分': 3}
{'短评内容': '环境挺好的，不过就交通不怎么方便，', '短评打分': 3}
{'短评内容': '酒店服务员态度非常好，地理位置靠近多个景区。不足的是邻近街边，较吵。酒店早餐不是太好。', '短评打分': 5}
{'短评内容': '酒店环境不错，离旁边的小区相对有点近，有时候楼下大声些就会听到，但房间与房间之间的隔音还算好。。早餐有待改进。总的来说还算不错了。', '短评打分': 5}
{'短评内容': '环境几好！！！！确实几好！！！！朋友都都好喜欢！还有店里的服务还不错！附近的KTV和宵夜的服务员都几靓女~~~~哈哈有机会一定会继续去~~~~推荐*1', '短评打分': 5}
{'短评内容': '酒店门口有停车场，很方便，酒店环境不错，房间宽敞，挺安静的，价格蛮不错的，下次去还住那里，不过自助早餐有点失望了！', '短评打分': 5}
{'短评内容': '酒店的设施还是不错的，环境也挺安静，就是服务上还要再加强些。', '短评打分': 5}
