{'短评内容': '很好，值得一住', '短评打分': 5}
{'短评内容': '酒店位置交通方便，干净，挺好的，赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞。', '短评打分': 5}
{'短评内容': '无早餐，房间偏小。但价格实惠，讲究的话就不要定了', '短评打分': 4}
{'短评内容': '房间味道难闻，房间布局又窄又小', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '确实是布丁酒店，太小了。洗手间没有门，只用布挡一下，太不方便。适合小情侣。好在我是去旅游的，只是晚上住，又逢十一，酒店不好订，只能凑合。好在地段好，交通方便。', '短评打分': 3}
{'短评内容': '房间太小，隔音太差', '短评打分': 3}
{'短评内容': '环境可以，服务态度也好', '短评打分': 5}
{'短评内容': '环境舒适干净', '短评打分': 5}
{'短评内容': '木板隔的不隔音，但是老板娘超好', '短评打分': 4}
{'短评内容': '就是没有洗漱用品，房子太小，上次在太白立交店都有', '短评打分': 5}
{'短评内容': '房间不大，整体感觉不错，价格也很便宜', '短评打分': 4}
{'短评内容': '还不错，很满意', '短评打分': 5}
{'短评内容': '位置不错，离含光门，朱雀门都很近，跟回坊走路就二十多分钟。', '短评打分': 5}
{'短评内容': '房间比较小，但是非常干净整洁', '短评打分': 4}
{'短评内容': '房间温馨 漂亮  服务好  环境好  希望越来越好  加油 支持你们……', '短评打分': 3}
