{'短评内容': '嗯，房子挺大挺好，但是是家庭公寓，不怎么喜欢', '短评打分': 3}
{'短评内容': '说好的早餐，一开始说没有后来我找过客服后，他们给买的面包和牛奶，住宿一般吧，相对于这价格来说也就那样', '短评打分': 3}
{'短评内容': '有停车场，周围靠近家乐福，永辉超市，离珠江广场近，交通方便。', '短评打分': 5}
{'短评内容': '房间太差了、一进房间就有很大的味！房间的设施也很简陋，感觉就像很久没有人做过的房间！', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还可以！', '短评打分': 5}
{'短评内容': '非常一般的宾馆', '短评打分': 2}
{'短评内容': '标间非常舒服 房间很大很宽敞 交通便利 下楼就是家乐福 ', '短评打分': 5}
{'短评内容': '这次体验最不好了，房间都还有别人用完的安全套，艹', '短评打分': 3}
{'短评内容': '挺好的，干净卫生，就是电视看不了，老是说信号异常！', '短评打分': 4}
{'短评内容': '还不错的，可以入住哈', '短评打分': 5}
{'短评内容': '酒店极其一般，不推荐，', '短评打分': 3}
{'短评内容': '公寓改装，旁边是写字楼，不像酒店。卫生还行，交通方便', '短评打分': 2}
{'短评内容': '不错，性价比高', '短评打分': 5}
{'短评内容': '地理位置很好，床过软，房间布局不太好，淋雨的四周玻璃都是脏的', '短评打分': 4}
{'短评内容': '位置不错', '短评打分': 4}
{'短评内容': '条件还可以，出门很方便，但是味道很大，服务不好。', '短评打分': 1}
{'短评内容': '环境不错，值得入住!', '短评打分': 3}
{'短评内容': '酒店还不错，价格也很实惠', '短评打分': 3}
