{'短评内容': '整体还不错，不过就是房间隔音效果不是太好，酒店菜品种类也不是太多，不过味道还是不错的，酒店设施比较老一点吧！', '短评打分': 5}
{'短评内容': '早餐还可以吧，不能加床！', '短评打分': 5}
{'短评内容': '不错 每次回老家都住这里 干净卫生 ', '短评打分': 5}
{'短评内容': '干净舒适', '短评打分': 5}
{'短评内容': '干净舒适', '短评打分': 5}
{'短评内容': '这个价钱也就这样的服务了', '短评打分': 5}
{'短评内容': '总体来说，还可以，装修年代有点不', '短评打分': 5}
{'短评内容': '还可以，老五星级酒店标准了，现在看还可以。', '短评打分': 5}
{'短评内容': '98年建设的酒店，老五星级酒店的标准，在当时是非常上档次了，现在县级市里的水平看也可以。', '短评打分': 5}
{'短评内容': '很棒！下回还去', '短评打分': 5}
{'短评内容': '周围环境有了点改善  服务态度需要改善', '短评打分': 3}
{'短评内容': '出差入住的哦，环境很不错的呢！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '环境还好，卫生干净毕竟是四星级的', '短评打分': 5}
{'短评内容': '好地方，易居!客人住在那里环境优雅，价格实惠!', '短评打分': 5}
{'短评内容': '房间设施太陈旧', '短评打分': 3}
{'短评内容': '服务哈还可以，环境也可以，就是现在外面施工，晚上不好睡觉', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '很好的酒店，应该是在当地最好的酒店了。房间时扇形的，有巨大的椭圆形玻璃，采光很好！对面是一个很大的花园。\n\n地理位置距离市中心也不远，尤其适合于自驾游的客人！', '短评打分': 5}
{'短评内容': '好!', '短评打分': 3}
{'短评内容': '前台服务不错.卫生条件较好.如果能带免费早歺就好了.总体不错，明还定该酒店。', '短评打分': 3}
{'短评内容': '当地最好的酒店。床有点小。不含早餐，另外加收25元。', '短评打分': 5}
{'短评内容': '好像是灵宝最好的酒店了，被子不爽，太薄，床有些硬。\n水龙头设置的不大合理，开大开小很难控制，不方便。\n', '短评打分': 5}
{'短评内容': ' 服务不错，价格合理。', '短评打分': 3}
