{'短评内容': '环境不好', '短评打分': 2}
{'短评内容': '还不错，要比想像中好多了，质量不过还可以，好评的。很不错，朋友很满意，客服服务态度非常好，非常满意。朋友说很喜欢 又帮朋友买了两件 质量好 服务好。卖家好摸着很舒服穿着很合适，卖家发货速度也很快，态度也很好！', '短评打分': 5}
{'短评内容': '地址位置不错。周围环境挺好的。', '短评打分': 5}
{'短评内容': '设备相当差，床小，隔音贼蛮', '短评打分': 2}
{'短评内容': '没有早餐的', '短评打分': 5}
{'短评内容': '好，给旅行者一个温馨的家，谢谢', '短评打分': 5}
{'短评内容': '不错，可以打白条', '短评打分': 5}
{'短评内容': '价格实惠，不错。', '短评打分': 5}
{'短评内容': '还可以，一人居住足够了。', '短评打分': 5}
{'短评内容': '还算可以！', '短评打分': 5}
{'短评内容': '酒店位置不错就在新街口地铁站附近，直走再拐个弯就到了，附近美食很多，酒店内很舒服，沐浴设备都很齐全，服务态度良好', '短评打分': 5}
{'短评内容': '房间挺大的！', '短评打分': 4}
{'短评内容': '酒店环境还不错，位置也挺好，去新街口逛街很方便  就是在一个院子里不太好找  另外就是隔音很不好', '短评打分': 5}
{'短评内容': '价格合理，环境不错，内部条件也很好，地理位置更好', '短评打分': 5}
{'短评内容': '位置很偏，去的时候楼下还在装修，说实话感觉蛮失望的，没有照片上好看', '短评打分': 1}
{'短评内容': '位置还可以 去哪里都很方便 就是隔壁在装修 比较吵', '短评打分': 5}
{'短评内容': '蛮楠找的\n不过服务员态度蛮好的\n也蛮卫生的', '短评打分': 5}
{'短评内容': '服务好，环境好，价格实惠！连锁酒店的特色', '短评打分': 5}
{'短评内容': '周围环境感觉较为杂乱，一楼有一家外包的餐厅，所住房间窗户竟然对着一台变压器', '短评打分': 1}
{'短评内容': '我是4月16日住的,当时定的是208元的房,柜台那位脸胖胖的女士说帮我升级到229的房,并免费赠送一张会员卡，我很高兴.但第二天，形势就变了！\n\n1、该服务员业务太差，流程严重不熟悉，入住时刷卡都忘了，当我已经出去办事时，才一个电话接一个电话的催我回去刷卡\n2、说是免费升级到229的房，结果结帐时死不认帐，我已经通过ELONG和其经理沟通并取得同意了，仍然坚持说升到高级大床，是要收费的\n3、本来说', '短评打分': 1}
{'短评内容': '整体不错，装修很新，热水量足，安静交通方便，就是感觉房间内有点闷', '短评打分': 3}
{'短评内容': '环境很好，干净，设备齐全，出门也方便', '短评打分': 3}
