{'短评内容': '非常超值', '短评打分': 5}
{'短评内容': '很好很满意', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '哈哈哈', '短评打分': 5}
{'短评内容': '一直挺不错的', '短评打分': 5}
{'短评内容': '服务态度非常好，性价比超高，以后还会选择这个酒店，支持一下，出门还得选携程，方便快捷，还能省RMB.哈哈～', '短评打分': 5}
{'短评内容': '服务态度非常好，性价比超高，以后还会选择这个酒店，支持一下，出门还得选携程，方便快捷，还能省RMB.哈哈～', '短评打分': 5}
{'短评内容': '房间设备老旧  电梯楼层不全  服务差   说好有吹风机   房间没有，费了很大劲才争取一个来  下次不来了', '短评打分': 3}
{'短评内容': '总体来说还可以', '短评打分': 4}
{'短评内容': '家里来的客人住，很方便的', '短评打分': 5}
{'短评内容': '长江北街，交通便利，位置不错。房间设施比较齐备，面积不小。服务也很不错。  房间干净整洁。物美价廉，宾至如归，性价比不错。  免费提供的早餐值得推荐。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '适合出差', '短评打分': 3}
{'短评内容': '出差住宿，不错。', '短评打分': 3}
{'短评内容': '还是不错的，每次来都在这边住', '短评打分': 5}
{'短评内容': '网上订的148，到店里发现原来店里的标间只要120，无语。房间的环境很一般，最让人无法忍受的事毛巾居然是脏的（后来给换了）淋雨龙头滴滴答答的漏水！~毛巾和浴巾都是用竹竿做的架子直接戳在哪的。洗漱的杯子里边有水渍没敢用，总之很一般！~', '短评打分': 1}
{'短评内容': '觉得非常好~~酒店很干净，热水很热，服务也很到位，周围好多水果摊，买了好多便宜的大樱桃~~离我考试的地方很近  就是晚上有点吵 不过还好 声音不大', '短评打分': 5}
{'短评内容': '不错。非常好。房间很干净，比如家大很多。服务态度超好。里面的沙发不错。有个建议床头的花不是很好。滴水观音不适合摆在床头。', '短评打分': 3}
{'短评内容': '没有拖鞋，插座也很少，十分不方便。白天没有热水。', '短评打分': 1}
{'短评内容': '＋房间宽敞，安静，干静卫生，服务周到。', '短评打分': 3}
