{'短评内容': '店家服务态度很好', '短评打分': 4}
{'短评内容': '', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '周边方便，住着舒心。', '短评打分': 5}
{'短评内容': '环境好，位置方便', '短评打分': 5}
{'短评内容': '客栈位置不错，老板服务态度很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '交通便捷，位置很不错的，周边环境优美，特别喜欢这里的风景和环境，客装潢的很高大上，特别简单大方，房间也设备齐全，卫生做的特别干净，真是舒服，主要还有特别好客的老板，很热情，亲切…，必须好评！！', '短评打分': 5}
{'短评内容': '周围环境优美，四周的景色也很不错。房间干净整洁，设施一应俱全，特别是那张舒服的大床，真的很有家的感觉！老板人也特好，待人热情，给我们介绍了好玩好吃的地方，推荐入住哦！', '短评打分': 5}
{'短评内容': '环境不错的，位置也很好，老板人也很好，下雨外出时会帮我们收衣服，还能帮我们寄存行李。陆陆续续住了3晚，每次都是中转站，有时一大早出门，还得麻烦老板 真挺不好意思呢', '短评打分': 5}
{'短评内容': '好评！感谢老板的热情招待，吃的好，住的舒心，推荐给大家，下次还来这里住，好评！', '短评打分': 5}
{'短评内容': '很满意的一次出行，吃的好玩的好，老板挺好，对我们热情，好评！', '短评打分': 5}
{'短评内容': '客栈的地理位置好，房间很不错，有自己的特色，让我深深体验了客栈文化，好评！', '短评打分': 5}
{'短评内容': '老板服务好，十分热情，房间不错，挺洋气的，好评！', '短评打分': 5}
{'短评内容': '好评！很满意的一次出行！', '短评打分': 5}
