{'短评内容': '除了靠近路的噪音让人大的睡不着，其余的还是挺好的', '短评打分': 4}
{'短评内容': '酒店不错，挺干净，就是早饭去吃的时候都几乎没有了。', '短评打分': 3}
{'短评内容': '很好的，干净早餐也不错，服务也不错，交通便利，', '短评打分': 3}
{'短评内容': '环境卫生服务态度等都挺好 下次会继续支持', '短评打分': 3}
{'短评内容': '酒店房间大小还可以，附近吃饭停车方便，性价比高', '短评打分': 3}
{'短评内容': '空调的声音较响，宾馆总体陈旧，早餐挺好', '短评打分': 3}
{'短评内容': '停车那是非常方便；周边也算是繁华之地。早餐自助，还算不错。', '短评打分': 5}
{'短评内容': '酒店交通方便，网速很快，设施虽然旧点但还干净，就是客房服务员服务差点，要个网线还要自己去前台拿，爬上爬下的不容易啊', '短评打分': 5}
{'短评内容': '环境挺好，离车站近，服务也不错，这个价位上的好宾馆', '短评打分': 5}
{'短评内容': '比较满意，这个价位相当不错，位置好，房间虽然旧些但很干净，还铺有地毯，性价比很高。', '短评打分': 5}
{'短评内容': '地方还是挺方便的，但是设施有点老了，走廊的隔音不好，网速很快~', '短评打分': 5}
{'短评内容': '128返现的价位在同等宾馆里边算是最便宜的了，别的都还不错，设施有点旧了，看起来不是很那啥', '短评打分': 5}
{'短评内容': '免费早餐还是可以的，可能与我是穷孩子出身要求不高有关，我入住的也是最便宜的房间', '短评打分': 5}
{'短评内容': '遗憾的是这次来赶上pos机故障不能刷卡，不得不去附近的银行取款。另外下面的小超市很方便', '短评打分': 5}
{'短评内容': '挺好的，房间宽敞，还可以使用消费券然后返现给手机充值', '短评打分': 5}
{'短评内容': '地理位置很优越，安静，对面有个茶叶市场，附近有双珠公园，只是没有电梯，旋转楼梯走的不习惯！', '短评打分': 5}
{'短评内容': '交通比较方便，早餐比较可口，只是房间的设施比较陈旧！', '短评打分': 5}
{'短评内容': '宾馆很干净，早餐也很丰盛，离车站也近，服务态度很好，满意', '短评打分': 3}
{'短评内容': '一般吧，性价比太低，晚上有蚊子，早餐更雷人，地摊油条', '短评打分': 1}
{'短评内容': '位置不错，就在客运站旁边，出租车、公交车很多，交通方便。\n房间空间大。\n价格一般，算是合理吧。', '短评打分': 5}
{'短评内容': '\n很好，环境真不错，关键是有我喜爱的人在，嘿嘿', '短评打分': 3}
