{'descr': '性价比不错', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '性价比高', 'star': 5}
{'descr': '性价比高', 'star': 5}
{'descr': '性价比高', 'star': 5}
{'descr': '房间里面整体还是比较干净的，服务人员清洁也很勤快，短期旅行住宿的话是个不错的地方。', 'star': 5}
{'descr': '挺好的，价格便宜，服务态度好，', 'star': 5}
{'descr': '还好，价格便宜，周围吃饭很方便', 'star': 5}
{'descr': '还不错 蛮干净的', 'star': 5}
{'descr': '一点都不好，比门店价格还要贵，房间也特别差，这钱花的真心不值', 'star': 1}
{'descr': '晚上有老鼠的声音，卫生不怎么样，阿姨态度也不好，隔音效果不好，浴巾床单什么的都不太干净 而且没有浴帽没有吹风机', 'star': 2}
{'descr': '大半夜跳闸，早上等了半天也没来电，很不方便，希望以后不要这样了。', 'star': 3}
{'descr': '朋友帮忙订的，前台服务很周到非常热情，态度很友善！环境也不错！离地铁口非常近非常快捷方便！房间空间大小也适中看起来很温馨，居家旅行必备。卫生很好，性比价很高，很高兴在上海能住到这样性比价很高的地方！并且距离国际游轮码头只有十多分钟的路程，不管是去崇明岛横沙岛长兴岛普陀山坐船游玩都很方便！！！！！总体来说这家店可以这么形容词， 安全，舒适，干净，便利，方便，快捷。。。。。。 ', 'star': 5}
{'descr': '房间小很温馨，服务也不错，干净，这次还配上了水壶跟浴巾，不错', 'star': 5}
{'descr': '房间小很温馨，服务也不错，干净，这次还配上了水壶跟浴巾，不错！！！', 'star': 5}
{'descr': '房间小很温馨，服务也不错，干净，这次还配上了水壶跟浴巾，不错', 'star': 5}
{'descr': '小归小，打扫还是蛮干净的。浴巾需要另外付费。', 'star': 3}
{'descr': '因为距离公务员面试地方比较近 才选择这个的 房间虽小 五脏俱全 也还算比较安静 前台态度也很好 只是周边吃的地方不是很多 而且酒店位于宝山区 出门就是外环高架桥 让人感觉有点压抑 总的来说 还是好评！', 'star': 5}
{'descr': '交通方便，附近有3号地铁，还比较干净。基本可以入住，总体感觉还可以.....', 'star': 5}
