{'短评内容': '周边有美食，但是也有路边摊的地沟油味道', '短评打分': 3}
{'短评内容': '适合居住 整体不错，但是洗漱用品自带，宾馆配的5块一份，住房价格合理', '短评打分': 4}
{'短评内容': '安静，卫生，去橘子洲和岳麓山、地铁等很方便，就是房间小，wifi没有外网。', '短评打分': 4}
{'短评内容': '马桶盖立不稳', '短评打分': 4}
{'短评内容': '好坑。。。', '短评打分': 2}
{'短评内容': '地理位置优越', '短评打分': 3}
{'短评内容': '还比错，交', '短评打分': 5}
{'短评内容': '其实卫生差点洗漱用具收费就还好毕竟价格也实惠，但是有好多虫子啊在地上在床上爬，好怕睡着爬嘴里一直不敢睡', '短评打分': 4}
{'短评内容': '停车场便利，大，还有监控，位置比较安静，步行十几分钟到达岳麓山东门（索道乘坐点），离橘子洲头也不远，周边小吃多。', '短评打分': 5}
{'短评内容': '位置不错。在主路旁边的胡同中，比较安静。周围不远就有许多餐馆，吃饭方便。但是三人间的房间布局不好，第三张床在门口内的“走廊”里，空间狭小，无窗子，通风不好。床铺挺整洁，而且每天更换，但是，地毯太脏。与岳麓书社为邻居，书社的书店很晚才关门，喜欢看书的可以考虑入住。', '短评打分': 4}
{'短评内容': '住两天，还可以。。。', '短评打分': 3}
{'短评内容': '还可以吧  地理位置很好  在河西 不拥挤  离王府井打车很近很方便。但是酒店房间有点脏，浴室没有门', '短评打分': 5}
{'短评内容': '离橘子洲挺近，隔湖相望，步行有断距离，还有就是酒店前台服务要认真一些。', '短评打分': 3}
{'短评内容': '酒店位置不错，在河西，离橘子洲和岳麓山都很近，而且去王府井也很近，一站地铁就到了，打车费也便宜。还有停车场，很方便。就是洗手间干湿分离的中间没有门有点不方便。', '短评打分': 5}
{'短评内容': '在没有任何提醒下，到店告知已经没有房间了，晚上9.10点带着行李，一路找住的地方，又过敏，又大姨妈，那个悲惨呀。', '短评打分': 3}
