{'短评内容': '服务员刘燕、李金兰服务周到，下次继续入住。', '短评打分': 5}
{'短评内容': '刘燕服务热情周到', '短评打分': 5}
{'短评内容': '停车场很大很多，卫生环境都很不错，早餐品种很多，味道很好，惊喜的是服务员送来了蛋糕，原来是我身份证生日^_^', '短评打分': 5}
{'短评内容': '定了没含早餐的大床房，服务不错', '短评打分': 5}
{'短评内容': '酒店位置不错', '短评打分': 5}
{'短评内容': '??????', '短评打分': 5}
{'短评内容': '还不错，就是马桶坏了', '短评打分': 5}
{'短评内容': '差差差差差差差差差差差差差差', '短评打分': 1}
{'短评内容': '服务员刘燕，吴荣娣服务热情周到，房间卫生干净', '短评打分': 5}
{'短评内容': '服务员刘燕，崔红服务热情，下次还会入住', '短评打分': 5}
{'短评内容': '比想象中差太多', '短评打分': 2}
{'短评内容': '服务很好！', '短评打分': 5}
{'短评内容': '服务员胡德美，万金红，服务非常热情，周到，卫生很干净，赞一个哦，下次还来这酒店。', '短评打分': 5}
{'短评内容': '刘燕陈超两位服务员特地上门送了饮料和礼品，服务不错。因为住的是最便宜的标间，所以硬件差了点。', '短评打分': 4}
{'短评内容': '环境以及舒适度都很好', '短评打分': 5}
{'短评内容': '不错，交通方便，很安全', '短评打分': 5}
{'短评内容': '酒店卫生实在太差，卫浴器具都非常老旧，真心觉得名不副实，金玉其外', '短评打分': 3}
{'短评内容': '携程最新开发APP的人是怎么想的，把APP的输入订单号查找功能给取消了，现在在手机上查个订单真不容易，就连返现的 订单都查不到，联系客服 客人也不管，，', '短评打分': 3}
{'短评内容': '经常来芜湖出差，住过几次了，条件还不错，就是很多设备旧了，部分坏的和不灵的。', '短评打分': 5}
{'短评内容': '硬件条件好像达不到4星的标准', '短评打分': 4}
{'短评内容': 'ddddddddddddddddddddddddddddddddd', '短评打分': 5}
{'短评内容': '酒店不错，早餐也满意。酒店不错，早餐也满意。酒店不错，早餐也满意。酒店不错，早餐也满意。', '短评打分': 5}
{'短评内容': '条件职能说一般般吧，但是在芜湖也职能这样了', '短评打分': 5}
{'短评内容': '酒店很气派，干净，服务好。就是网速有点慢\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '在市区，交通非常方便，只是现在在装修，会比较吵', '短评打分': 5}
{'短评内容': '装修比较旧了，看在返现50的份上也就算了，下次还会来', '短评打分': 1}
{'短评内容': '芜湖最早的星级酒店.还行.适合入住.各方面都方便.', '短评打分': 5}
{'短评内容': '真的不错，装修还不错，也比较卫生，难忘的一夜！', '短评打分': 5}
{'短评内容': '酒店软件和硬件都不行，达不到四星级酒店标准，查很多。', '短评打分': 3}
{'短评内容': '在芜湖比较好的酒店，就是房间稍微陈旧了点，前台服务态度有点差，在办理入住时，问她有空吗？她直接回答我，没空！！！', '短评打分': 5}
{'短评内容': '还可以，房间有点挤，早餐还行，只是少了粗粮。', '短评打分': 5}
{'短评内容': '酒店整体服务不错，早餐也很好，就是用餐客人用自己筷子取食品的较多，服务员制止不够。', '短评打分': 5}
{'短评内容': '在芜湖算是很不错的酒店了，交通还算可以，房间环境也不错，就是早餐一般般，不过性价比算是很高了。', '短评打分': 5}
