{'短评内容': '凑合', '短评打分': 4}
{'短评内容': '原乡最棒的酒店', '短评打分': 5}
{'短评内容': '给同事订的，很好。。', '短评打分': 5}
{'短评内容': '服务不热情，问前台，态度很一般……', '短评打分': 3}
{'短评内容': '好。不错', '短评打分': 5}
{'短评内容': '房间大。设施好。早餐不错', '短评打分': 5}
{'短评内容': '帮朋友订的，据说不错，推荐', '短评打分': 5}
{'短评内容': '住了几天，一直比较喜欢在这住。', '短评打分': 5}
{'短评内容': '我发现还是比较安逸的酒店了。', '短评打分': 5}
{'短评内容': '环境不错，朋友入住非常满意', '短评打分': 5}
{'短评内容': '有阴影', '短评打分': 4}
{'短评内容': '房间豪华，早餐丰富五星级酒店水准 推荐', '短评打分': 5}
{'短评内容': '房间豪华 ，早餐丰富 五星级酒店水准', '短评打分': 5}
{'短评内容': '交通方便，住宿条件好。赞。', '短评打分': 5}
{'短评内容': '交通方便，住宿条件好。赞。', '短评打分': 5}
{'短评内容': '✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '酒店设施很不错，房间很漂亮，遗憾的是餐厅允许抽烟', '短评打分': 5}
{'短评内容': '好可以，效果不错', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '可以的，非常不错', '短评打分': 4}
{'短评内容': '很好的酒店，干净卫生，房间大气，服务很棒', '短评打分': 5}
{'短评内容': '很不错，按5星建，因为早出晚归，所以只体会了早餐和房间！但是住客打扫一般，晚上回来，早上使用过的茶叶杯还在那！还得自己洗杯子！ 5星级酒店有一个弊病就是，没有直饮水，只有赠送的2瓶矿泉水，再要就收费，可是2瓶水怎么够和呢？所以这是星级酒店的通病！ 酒店地处繁华区域，交通比较方便，家庭旅游、商住都很理想，设施比较齐全、卫生整洁、服务周到，酒店周围购物、小吃都很方便。 ', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '好，以后还会再来', '短评打分': 5}
{'短评内容': '酒店环境不错！设施也相当好！价格也不菲！如果再便宜一点就好了', '短评打分': 5}
{'短评内容': '环境很好很舒服', '短评打分': 5}
{'短评内容': '离机场近，第二天一早飞机很方便。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '有点吵，飞机声音', '短评打分': 4}
