{'短评内容': '帮朋友订的，房间还不错，最主要是离新华医院近。', '短评打分': 3}
{'短评内容': '不是在主干道上要弯进去的，不过酒店的绿化不错，喜欢的。我最主要是去那边的一个医院很方便', '短评打分': 5}
{'短评内容': '很不错额，预定的特价房，但是房子和服务一点也没打折扣，房间里面卫生良好，卫浴东东品质绝佳，床和枕头很舒服，冰箱、电视、网线一应俱全，绝对有实力，强烈推荐。另外还发现有人在这家酒店定的婚房，很好啊！下次还来，期待折扣更高些，最好能送早餐，嘿嘿。还要表扬下7月22号下午，23号早上前台的接待，服务热情，工作高效，谢谢哈。', '短评打分': 5}
{'短评内容': '性价不错！就是离徐家汇的距离也还可以接受。二层小楼，花园环境也还好。', '短评打分': 3}
{'短评内容': '中心城区竟然有这样田园风格的酒店，小桥、花园、流水，别具一格，值得一住', '短评打分': 5}
{'短评内容': '酒店不错，安静，整洁，绿化好，象个小公园，还有游泳池。服务人员态度好。', '短评打分': 3}
{'短评内容': '来这里好几次了，地理位置不错，出行购物很方便，但房间较小。', '短评打分': 5}
{'短评内容': '设施较沉旧了点，房间也不是很大。比较好的是酒店内的花园环境', '短评打分': 5}
{'短评内容': '游泳池要另外收费，又多外人和训练班，不像为住店客人而设，更像是店旁一个公众泳池，那乾脆不要放酒店介绍。', '短评打分': 1}
{'短评内容': '替老外订的，但附近吃的选择太少了，结果两晚都去了同一个地方吃饭', '短评打分': 1}
{'短评内容': '已经点评过多次了，每次去总是住那里。推荐。', '短评打分': 5}
{'短评内容': '酒店外部环境还不错， 安静。\n不过早餐质量太差，可选择太少！', '短评打分': 5}
{'短评内容': '房间偏小。', '短评打分': 3}
{'短评内容': ' 酒店不错，非常清爽，很安静。', '短评打分': 3}
{'短评内容': '游泳、健身还要另外向客人收费，从来没有遇见这样的酒店，房间床上有蜘蛛，晚上会有奇怪的噪声。太差！', '短评打分': 1}
{'短评内容': '环境优雅，服务也不错！', '短评打分': 3}
{'短评内容': '别墅式酒店，总体感觉还不错。气氛温馨、浪漫，值得入住！', '短评打分': 5}
{'短评内容': '酒店环境好，好评', '短评打分': 3}
{'短评内容': '价格比以前下来了好多，性价比还不错，小别墅空气也好，但是小孩早餐收费19元很不合理哦', '短评打分': 3}
{'短评内容': '这个酒店住了多次，一如既往的好，尤其早餐完美', '短评打分': 5}
{'短评内容': '环境优雅，象度假山庄！', '短评打分': 3}
{'短评内容': '环境不错的酒店..离外滩也不远~酒店服务也挺到位..', '短评打分': 5}
{'短评内容': '四星级的环境，三星的价格，物超所值，而且早餐很好', '短评打分': 5}
{'短评内容': '酒店整体环境很好，花园式的，早餐也不错，房间设施很好', '短评打分': 5}
{'短评内容': '服务很好，特别是餐厅。设施齐全，套房很好而且价格不贵。缺点是装修略微有点陈旧了。', '短评打分': 5}
{'短评内容': '酒店环境不错，优雅。房间也很大，套房这个价格比较合理', '短评打分': 5}
{'短评内容': '环境不错，就是床太软。', '短评打分': 3}
{'短评内容': '环境很好，安静的小楼，在上海难找这样的宾馆，就是标间的床太小，性价比还是不错的', '短评打分': 5}
{'短评内容': '环境很好,服务也不错,值得', '短评打分': 3}
{'短评内容': '早就知道这家酒店，但没住过。这次是给朋友定的，听说不错。这家酒店外面看还是挺挺气派的，周围环境也不错。', '短评打分': 5}
{'短评内容': '房间挺干净就是小了些，周围环境不错。早餐太差。', '短评打分': 5}
{'短评内容': '.条件尚可', '短评打分': 3}
{'短评内容': '条件可以。谢谢！\r\n\r\n \r\n \r\n\r\n\r\n ', '短评打分': 3}
{'短评内容': '服务好，我会介绍给我的朋友，希望贵酒店更上一层楼，但愿多种经营', '短评打分': 5}
{'短评内容': '新凤城迎宾馆环境一流，雨中漫步庭园，很诗意的感觉，房间也很干净，下次还会入住。', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '停车比较方便，对常旅客的服务也比较好，但结账速度太慢，急需改进。', '短评打分': 5}
{'短评内容': '该酒店环境非常优美，宛如仙境，而且安静，安全，卫生，服务态度好，要是隔音效果好点就更好了。', '短评打分': 5}
{'短评内容': '环境还不错，细节不到位，打车不方便，吃的还行。', '短评打分': 5}
{'短评内容': '游泳馆不错，但价格偏高，建议对入住客人的游泳门票折扣再多些。', '短评打分': 5}
{'短评内容': '有游泳馆，不错，房间内部也不错，唯一的不足卫生间有点冷。', '短评打分': 5}
{'短评内容': '不太适合商务人士，偏贵，适合一家人出来度假，有完备的健身设施尤其是有游泳池很不错。都是别墅式房间，天冷的时候不太方便。\n大床房很少。', '短评打分': 1}
{'短评内容': '环境和服务很好 ,设施齐全 ,出入也方便 ,不错 !', '短评打分': 3}
{'短评内容': '别墅形式的，环境很安静，房间宽敞舒适，服务也很周到，离地铁也挺近，整体感觉很棒。', '短评打分': 5}
{'短评内容': '卫生设施还行但是价格还是贵了比我原来去的时候贵了很多不知道是因为什么原因，酒店的出行还可以，服务和价格比还是有差别。', '短评打分': 1}
{'短评内容': '房间的卫生设施都还可以，价格的还是稍微贵了一些，出行还是比较方便。服务态度还是挺一般的。', '短评打分': 1}
{'短评内容': '酒店的卫生服务都还不错，配置硬件也很达标，性价比也比较合理，位置相对比较没有什么太大优势，综合看还是可以推荐入住的酒店。', '短评打分': 5}
{'短评内容': '因为要拜访的客人住在边上，否则才不会花488住这样的酒店，连早餐也没有', '短评打分': 1}
{'短评内容': '环境不错，绿化不错，就是房间好小。', '短评打分': 1}
{'短评内容': '环境不错，距离要办事的地方也近。', '短评打分': 5}
{'短评内容': '住在旁边的2层里, 还可以, 只是一层稍感觉不安全\r\n周边绿化很好', '短评打分': 3}
{'短评内容': '闹市中的别墅式酒店，性价比优越。', '短评打分': 5}
{'短评内容': '酒店的服务环境很好，地理位置也不错，交通很方便，而且价格也非常的实惠', '短评打分': 5}
{'短评内容': '大,乾淨, 電視台選擇多.衛浴設施齊全. 環境也漂亮. 但是, 床墊非常硬, 枕頭太軟沒支撐力,睡兩晚, 失眠兩夜.', '短评打分': 3}
