{'短评内容': '太差劲了', '短评打分': 1}
{'短评内容': '老房子，老装修，', '短评打分': 4}
{'短评内容': '挺好的，位置也不错，老板人不错', '短评打分': 5}
{'短评内容': '价格还可以', '短评打分': 4}
{'短评内容': '价格还可以', '短评打分': 4}
{'短评内容': '酒店超级陈旧，卫生也不行，不建议居住', '短评打分': 1}
{'短评内容': '床垫舒适度', '短评打分': 5}
{'短评内容': '位置便利', '短评打分': 5}
{'短评内容': '设施陈旧', '短评打分': 2}
{'短评内容': '便宜实惠，不追求高大上星级之类就无所谓，交通也便利，满意', '短评打分': 3}
{'短评内容': '可以，便宜合理，该有的都有', '短评打分': 4}
{'短评内容': '差，非常差', '短评打分': 1}
{'短评内容': '窗子外面有个抽风，噪音比较大，别的还好', '短评打分': 3}
{'短评内容': '服务很好', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '经济酒店，还可以，价格也合适，住的人还挺多的，离火车站、钟楼都很近，交通挺便利', '短评打分': 5}
{'短评内容': '那电脑台操蛋了..........十几年前的东西还在用........，环境很差，东西非常久.......建议不要去', '短评打分': 1}
{'短评内容': '干净，整洁，真不错。', '短评打分': 3}
{'短评内容': '房间环境好,卫生好,地理位置也很不错,服务人员的态度很热情.继续加油!', '短评打分': 5}
{'短评内容': '西安之行大多住在该处，也说是对美宝宾馆的肯定吧。设施是希望能改善些，可不要大幅涨价哟。', '短评打分': 5}
{'短评内容': ' 服务态度很好,设施是陈旧些,但打扫很勤快,可以说价廉物美。  \n', '短评打分': 5}
{'短评内容': '态度很好。虽然设施有缺憾，但看到他们的客气、认真、诚恳，有不如意也都烟消云散了。当然，这些不足，最好也都能一一改善。', '短评打分': 5}
{'短评内容': '距离办事地点近，还好吧。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '这几天一回来都有热水洗澡，不错。\n可见，像这类性价比不错的旅店，只要能保证旅客能有基本的生活方便，还是受大众欢迎的。', '短评打分': 5}
{'短评内容': '设施不算很好，性价比还算过得去。第一天因为住客多要晚上十点多才有热水洗澡，虽然店家态度很诚恳，但总是遗憾', '短评打分': 1}
{'短评内容': '设备比较陈旧，地板也是比较早的，五一刚去，住的时候188，第二天出来的，然后去钟楼附近228换了一家住，只多掏了四十块钱，感觉就是天上地下的差别。空间是这边的两倍，设备都是很新。', '短评打分': 1}
{'短评内容': '地理位置优越,闹中取静,热水尤其好!', '短评打分': 3}
{'短评内容': '配套设施较为齐全,可洗澡,感觉还行', '短评打分': 3}
{'短评内容': '整体环境还可以，相对于这个价格来说性价比还是不错的，交通比较方便到省农行步行10分钟左右，到火车站也就四五站。', '短评打分': 5}
{'短评内容': '整体环境还不错.', '短评打分': 3}
{'短评内容': '服务很好 也很干净 就是设施有些旧 不过还可以', '短评打分': 3}
{'短评内容': '服务不错。', '短评打分': 3}
{'短评内容': '物美价廉，服务挺好的，离市里近，周围比较安全', '短评打分': 5}
{'短评内容': '环境还可以 设备太简陋了', '短评打分': 3}
{'短评内容': '价格还算便宜，但房间环境一般，设备有点旧。服务还算热情。', '短评打分': 5}
{'短评内容': '床铺还可以，就是卫生间不怎么样，自来水千万别喝，很咸的！', '短评打分': 5}
{'短评内容': '太破了 就根本没入住 那个条件真的不想说啥了 果断换如家', '短评打分': 1}
{'短评内容': '这个价钱在这个时段已经很不错了，前台服务员服务态度很好。', '短评打分': 5}
{'短评内容': '是便宜，但是卫生太差了，好处是洗澡水可以。', '短评打分': 1}
{'短评内容': '环境不错，服务态度好！', '短评打分': 3}
{'短评内容': '感觉服务挺好的，而且地段也是很不错，交通便利，并且附近名声景点也是很多。觉得挺物超所值的！', '短评打分': 5}
{'短评内容': '服务态度不错，也挺干净，地理位置不错，热水差了点。', '短评打分': 3}
{'短评内容': ' 环境不错， 挺干净的， 交通便利，物有所值，', '短评打分': 3}
{'短评内容': '房间真的很小 是老宾馆改的 房间有些潮 貌似没有电梯  而且隔音效果不是很好 本来订了两晚 结果第二天一早赶快就搬了', '短评打分': 1}
{'短评内容': '服务态度好，环境不错，交通方便', '短评打分': 3}
{'短评内容': '很不错，四周交通非常便利，卫生条件比较好，', '短评打分': 5}
{'短评内容': '本酒店性价比很高的啊 ！毗邻李家村万达广场，地理位置也相对优越！90元入住单人间很给力！HOLD住！', '短评打分': 5}
{'短评内容': '硬件还行，价钱也很还不错！就是地方不太好找，找了好一会才找到', '短评打分': 5}
{'短评内容': ' 还不错，服务较好', '短评打分': 3}
{'短评内容': '地理位置便利，旁边戏剧研究院还可以听秦腔。房间虽小但还干净，洗澡热水够热。就是没有停车的地方。', '短评打分': 5}
{'短评内容': '交通方便，房间虽小但很干净。餐饮购物便利，服务质量很好。', '短评打分': 5}
{'短评内容': '房间老旧。里面的设备也都不是很好！没有网上介绍的那么好！', '短评打分': 1}
{'短评内容': '美宝宾馆交通便利房间干净服务也好价格不贵', '短评打分': 3}
{'短评内容': '这家店硬件还过得去，每层都有两部监控器，而且有不少保安驻扎，安全应该没问题，就是交通不太便利，坐公交要倒车，打车乱要价，几十个人排队挤公交估计都见过，几百人排队“打的”的估计见过的人不多吧！？几公里就要50-60元，这是西安的特色，不怪店家，还有店家没有电梯，住3楼有点高不适合老人，其他都不错。', '短评打分': 5}
{'短评内容': '该店地理位置好，睡觉时感觉挺安静的，酒店工作人员的态度非常好，价位合理，经济实惠！', '短评打分': 5}
{'短评内容': '房间很舒服！出行非常方便！服务非常周到！下了火车后一直耐心的打电话告诉我路线怎么走！', '短评打分': 3}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '服务蛮好的，如果对住宿条件要求不高的话，这里的确值得推荐', '短评打分': 5}
{'短评内容': '住了2个房间210.205，210竟然没得热水。排水也排不出去。设备真的很旧。价格也不便宜 国庆涨到快300了。让星级酒店情何以堪。', '短评打分': 1}
{'短评内容': '设备陈旧、屋子又小又暗，小东西不好用，比如排插都不管用，还是个老头给送到房间的，优点就是便宜，前台服务态度还是蛮好，不过还是不推荐。', '短评打分': 1}
{'短评内容': '位置还好，是以前的老房子，一般。', '短评打分': 3}
{'短评内容': '房子很小卫生也不是太好，被子上还有污渍，总之不会再去', '短评打分': 1}
{'短评内容': '地理位置不错，房间有点儿小，设施有点儿老化', '短评打分': 3}
{'短评内容': '还不赖，地方有点远，其他还都可以。我绝对以后可能会去', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '空间太小，卫生尚可，服务尚可', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 3}
{'短评内容': '＋房间舒适，服务温馨，价格合理，正合我意。', '短评打分': 3}
{'短评内容': '性价比高，服务态度好。我去第一个房间，我感觉不太好，就打电话给前台，立即给我换了个房间。我定的单间，没有了，自动给我升级了个套间，按照单间收费。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '酒店设施马马虎虎，基本满足商旅需求。这个价位估计也就这样了。', '短评打分': 5}
{'短评内容': '是原来电力饭店，整个看起来还是不错，停车不太方便，单纯住下还是没啥问题的。', '短评打分': 5}
{'短评内容': '太小，环境太差，像九十年代的旅社，唯一好处是安静', '短评打分': 1}
{'短评内容': '设施老旧，对不住这个价钱,不说了，下次一定要先看房间再入住', '短评打分': 1}
{'短评内容': '设施比较陈旧了 其他的还行 毕竟价位在那', '短评打分': 5}
{'短评内容': '安全、安静', '短评打分': 3}
{'短评内容': '地理位置不错，但没有停车的地方，各种设施都太陈旧，而且还要求顾客在12点退房。', '短评打分': 5}
{'短评内容': '这家店服务态度很好，很热情，交通也方便。适合旅游的朋友居住', '短评打分': 5}
{'短评内容': '还不错 干劲 整洁 值得一住 下次还去 交通很方便', '短评打分': 1}
{'短评内容': '实惠，服务态度很好，上网免费，周边小吃很多', '短评打分': 5}
{'短评内容': '总的来说还不错 经济实惠  附近吃饭的地方不是很多  服务员服务态度很好  而且比较安全 感觉陌生的面孔都会问是哪个房间的  就是房间小了点  房间里没垃圾桶', '短评打分': 5}
{'短评内容': ' 这个饭店周边交通和就餐方便,内部设施应更新.', '短评打分': 3}
{'短评内容': '还不错，安全方便。还不错，安全方便。还不错，安全方便。还不错，安全方便。', '短评打分': 5}
{'短评内容': '环境再好一些就好了', '短评打分': 3}
{'短评内容': '是很有历史的宾馆了，半夜下雨，居然掉墙皮，甚至漏雨，但基本上算是比较实惠吧，地理位置也还可以，经济条件一般的朋友还是可以选择性的入住的~', '短评打分': 5}
{'短评内容': '住宿环境不错，逛街出行都比较方便，主要是服务态度很好…', '短评打分': 3}
{'短评内容': '设施比较陈旧，但价格便宜，刷卡不能预授权。', '短评打分': 5}
{'短评内容': '环境太差了，房子还小。凑合了一晚就去附近的长城大厦了。', '短评打分': 1}
{'短评内容': '服务非常热情周到，虽然设施陈旧了一点儿，不过性价比挺高了', '短评打分': 5}
{'短评内容': '一般还算可以，没涨价的话，还不错，涨价的话有点不值', '短评打分': 5}
{'短评内容': 'it is a nice hotel .i would like to introduce that to my friend \nso that they will have my idea about that hotel.\n', '短评打分': 5}
{'短评内容': '服务一流,不亚于星级酒店,只是房间小了点,装修和设备稍微旧了点', '短评打分': 5}
{'短评内容': '还不错，挺热情的，服务周到，交通挺方便的！', '短评打分': 5}
{'短评内容': '还可以。离机场大巴很近。去机场比较方便', '短评打分': 3}
{'短评内容': '酒店的服务是没话说，就是设施还有待提高！', '短评打分': 5}
{'短评内容': '5价钱很便宜,就是有点冷', '短评打分': 3}
{'短评内容': '地理位置的话，比较适合喜欢安静的人群，内部人员服务不错，但是设备有点陈旧，空调的声音有点大，不是整天供应热水，而且洗手间的门锁子是坏的~~~~整体的话，相对于低廉的价格是物有所值~', '短评打分': 5}
{'短评内容': '被子太薄，太脏。对于怕冷喜干净的朋友，还是多花点钱另找别家。主要优点是便宜。', '短评打分': 5}
{'短评内容': '设施有点旧，没有24小时热水啊，总体来说非常一般 \n', '短评打分': 5}
{'短评内容': '空调不太暖和啊，半夜都冻醒了，油漆味有点重，坐车很方便，服务超好！！', '短评打分': 5}
{'短评内容': '很方便，周围小吃很多~~~~离 火车站很近 ~！', '短评打分': 5}
{'短评内容': '价格挺便宜的.这个价格 房间设置 也是还可以的\n唯一点不特别好的..可能是因为 房屋新装修的  装修的油漆味道比较严重..刺鼻', '短评打分': 5}
{'短评内容': '2楼标间设施确实有点陈旧，3楼大床间就比较好了！但是这个价钱很不错！另外本店服务员是我见过最热情的服务员~很好！', '短评打分': 5}
{'短评内容': '          性价比很高，位置很好，就在文昌门南边一点，服务员态度也好，就是空调不暖，冬天住有点冷', '短评打分': 5}
{'短评内容': '环境不错 交通也挺方便的 就是有点不太好找 值得一住 ', '短评打分': 5}
{'短评内容': '前台服务员态度很好，环境嘛，总是跟着价格走的，可以接受', '短评打分': 5}
{'短评内容': '地段还不错，离火车站不太远，作为出差的中转站很好。房间挺干净，略微有点小，房间还能上网，对于89的特价房来说超值！', '短评打分': 5}
{'短评内容': '比较安静，交通便利，除了设施陈旧一点但是感觉还算干净。值得一提的是棉被完全没有异味，连洗涤剂的味道都没有，这点我很满意！', '短评打分': 5}
{'短评内容': '还不错啦，价格比较实在，就是宾馆周围比较荒凉，吃饭的地方较少，而且价格也不低。', '短评打分': 5}
{'短评内容': '房间旧了点点老空调动力十足！服务很好！！！地理位置不错！70分', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '隔音比较差，网速实在太慢，其他都不错,服务员比较热情', '短评打分': 3}
{'短评内容': '设施有点旧，没有24小时热水啊，总体来说非常一般', '短评打分': 5}
{'短评内容': '设备真的很需要更新~不过性价比很高，位置也不错~', '短评打分': 3}
{'短评内容': '设施有点旧，位置不错。更新设备则会更有竞争力。', '短评打分': 5}
{'短评内容': '酒店还是比较实惠的，就是设备比较老，属于西安元老级的酒店（说电力饭店，司机基本都知道）', '短评打分': 3}
{'短评内容': '宾馆老旧很一个般', '短评打分': 5}
{'短评内容': '酒店位置不错，交通也方便，离碑林博物馆很近，到历史博物馆也就10分钟的公交车程。309室设施太旧，马桶漏水，响了一晚，不过105元还能要求什么，也算值了!', '短评打分': 5}
{'短评内容': '房间小而且很破旧。设施陈旧。尤其是洗澡水，忽凉忽热……挺无奈的', '短评打分': 1}
{'短评内容': '服务不错,就是双人间不大', '短评打分': 5}
{'短评内容': '感觉还可以', '短评打分': 5}
{'短评内容': '位置不是非常好找，服务人员很热情周到，房间里的网速很慢，但是整体来说性价比还是不错的', '短评打分': 5}
{'短评内容': '性价比还好，地段还不错，只是有点老旧但对得起这个价格', '短评打分': 5}
{'短评内容': '总体来说 过的去   吃饭很方便  打车也很方便 就是一条 房间灯光不好', '短评打分': 5}
{'短评内容': '+还不错啦', '短评打分': 5}
{'短评内容': '环境一般，服务挺好', '短评打分': 5}
{'短评内容': '老化了些，屋顶有一个很大的洞，其他都不错。', '短评打分': 5}
{'短评内容': '前几天才住，一楼潮气很重，有霉味，床单和被子黑糊糊的，感觉环境差，105元，也没什么好说的了。这种小旅馆实在是不能推荐', '短评打分': 1}
{'短评内容': '实在是不敢恭维啊&#183;&#183;&#183;有点小失望呢&#183;', '短评打分': 1}
{'短评内容': '太老的宾馆了，屋内很旧，要省钱来住住还行', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '挺不错的，很安静', '短评打分': 5}
{'短评内容': '不推荐', '短评打分': 3}
