{'短评内容': '地理位置很好，交通便利，服务态度也很好，推荐大家来住哦！', '短评打分': 5}
{'短评内容': '酒店服务态度不太好，吃饭价格贵，位置还可以。。。。', '短评打分': 1}
{'短评内容': '卫生一般般，早餐样式少，唯一地段不错，附近吃喝方便！', '短评打分': 5}
{'短评内容': '设施有点陈旧，毛巾等不够卫生干净', '短评打分': 3}
{'短评内容': '还可以，卫生需要加强，早餐原来越简单了，希望丰富些吧', '短评打分': 5}
{'短评内容': '我入住了，怎么没显示呢？400元多，房间条件确实对不起价格，', '短评打分': 1}
{'短评内容': '房间环境还不错，卫生状况不是很好，杯子脏，早餐不理想。', '短评打分': 1}
{'短评内容': '設備老舊 早餐太差 先前看過其他點評已知 實因國慶假期其他地方已滿 沒有選擇', '短评打分': 1}
{'短评内容': '环境还可以，就是远了点', '短评打分': 3}
{'短评内容': '酒店卫生一般般，早餐不好，样式太少了，不过价格还算可以吧！', '短评打分': 5}
{'短评内容': '酒店偏老，性价比可以，地毯需要多清理。说实话客房部已经尽可能的清理了。不过床头柜摆放了多余的东西，不舒服。', '短评打分': 5}
{'短评内容': '这个酒店，位置不错，房间也大，住 起来很舒服', '短评打分': 5}
{'短评内容': '我们已入住', '短评打分': 3}
{'短评内容': '因为路过定海，所以住了一夜。这个酒店的房间还算可以，就是有点旧。地毯上都是斑斑点点。马桶有点不通。床夜蛮硬朗的。因为住得这间是临街的，早上车来车往，很热闹的。这个价位的房间估计也就是这样了。', '短评打分': 5}
{'短评内容': '经济实惠！住的地方比较干净！位置也比较中心！酒店很安静！早饭也有。', '短评打分': 5}
{'短评内容': '酒店实际上是没宽带网络的，而网上说是有的。客人发现后却不给退房，存在欺骗客人的现象。', '短评打分': 1}
{'短评内容': '一般般。。离汽车站还蛮近的。交通还算可以。还是值得推荐的', '短评打分': 5}
{'短评内容': '酒店距离市区开车40分钟左右，房间卫生条件挺好的，服务不错，总体感觉比较一般', '短评打分': 3}
{'短评内容': ' 酒店很干净 可以的', '短评打分': 3}
{'短评内容': '条件一般，没网络', '短评打分': 3}
{'短评内容': '酒店还是一般设施也比较旧，位置还可以，价格还行。也就一般酒店。', '短评打分': 3}
{'短评内容': '酒店提供早餐比较丰富.而且位于繁华地段出行还可以就是停车不方便.性价比还是蛮高的.', '短评打分': 5}
{'短评内容': '酒店餐饮不错，价格便宜，口味也还行，客房住宿也不错，硬件设施齐全，卫生条件不错，前台服务态度很好蛮热情的，住宿环境还可以', '短评打分': 3}
