{'短评内容': '   卫生差', '短评打分': 2}
{'短评内容': '卫生很好 床单很干净 下次还会住这里', '短评打分': 5}
{'短评内容': '位置可以', '短评打分': 4}
{'短评内容': '房间不大，淋浴房通水太慢，可能有点堵，须修理，总体感觉不错', '短评打分': 4}
{'短评内容': '环境很好，不错', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '我一般都会习惯性好评，但这次住格林豪泰，没办法给好评，房间潮湿阴暗闷不说，还有虫子，我带着不到两岁大的宝宝入住，结果宝宝夜里面一直不停的挠身体，我当是蚊子，想着即使是大冬天，可能酒店温度高，有个别蚊子也属正常，但是第二天发现宝宝脸上手上都是红红的硬疙瘩，几天过去了，有个别疙瘩露白头，明显是化脓，显然是被什么恶毒的虫子给咬了，酒店卫生条件实在是让人想想都觉得后怕，以后不可能会住了，差评', '短评打分': 3}
{'短评内容': '很不错  赞赞赞', '短评打分': 5}
{'短评内容': '代朋友订的，还可以吧', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '挺好的，不错。', '短评打分': 4}
{'短评内容': '逛街还可以，重点是离步行街近方便，设施和服务都可以。只要干净对我来说都可以', '短评打分': 4}
{'短评内容': '太吵，有刚装修的味道', '短评打分': 2}
{'短评内容': '连锁酒店，干净卫生，交通方便', '短评打分': 4}
{'短评内容': '连锁酒店，干净卫生，交通方便', '短评打分': 4}
{'短评内容': '连锁酒店，干净卫生，交通方便。', '短评打分': 4}
{'短评内容': '满意100分，价格很便宜，环境还可以', '短评打分': 5}
{'短评内容': '满意100分，价格很便宜，环境还可以', '短评打分': 5}
{'短评内容': '很好不错，方便，价格便宜', '短评打分': 5}
{'短评内容': '还可以，态度不错。就是一进房间发现床上有头发。可能客人走了没换床单。心里一直不舒服。', '短评打分': 5}
{'短评内容': '特价的房间太小了, 而且是一张一米二的床, 和描述完全不符, 而且装修的气味太浓了, 对身体估计伤害极大, 价位不便宜. 但是位置还行,交通方便. 下次应该不会住了!!', '短评打分': 1}
{'短评内容': '入住很愉快，服务很贴心周到，谢谢。\n不过好象是新装修不久的哦，，，有少少气味，通风一会儿就好多了。建议放点炭包什么的吸附剂消除新屋气味儿', '短评打分': 5}
{'短评内容': '真是好的不得了啊！实惠划算而且根本闻不到垃圾站的味道，上街也很方便，走走就到了。强烈推荐，绝不是托，吼吼~', '短评打分': 5}
{'短评内容': '位置还是不错的，不过订的经济型房间网上介绍是18平，但是实际10平都不到，住的可真憋屈~这个算是欺骗吧，要不是图方便，也就一个人住就真的要退的', '短评打分': 5}
{'短评内容': '挺不错的。服务也好。', '短评打分': 3}
{'短评内容': '不知酒店装修的原因还是什么的....入住的房间有股味道。', '短评打分': 5}
{'短评内容': '房间有点小，床太软了', '短评打分': 3}
{'短评内容': '酒店真的不行，住的快捷酒店中遇到的最差的一家，', '短评打分': 3}
{'短评内容': '我想问下店家，我订119的特惠房，为什么给我1米2的小床，而且房间那么小。跟订的时候上面写的不一样？这有欺骗的嫌疑吧？', '短评打分': 1}
{'短评内容': '总体还行，靠近小区，早晚稍微有点点吵~~', '短评打分': 5}
{'短评内容': '离步行街很近，附近是学校，各方便条件挺不错。', '短评打分': 5}
{'短评内容': '物美价廉，订的特价房，但质量一样的好,以后还要住。', '短评打分': 5}
{'短评内容': '物美价廉，订的特价房，但质量一样的好，以后还要住的。', '短评打分': 5}
{'短评内容': '干净、便捷、服务热情！新开的一家店，总之这个价位上各方面都无可挑剔，绝对高于同价位快捷酒店水准，下次来还会住！', '短评打分': 5}
{'短评内容': '靠近市中心，价格很不错，服务也不错，，，还会继续住的哦', '短评打分': 5}
{'短评内容': '我也是第一次住这家酒店，蛮不错的，比长江路上的哪家划算多了，有明窗，挺好的，赞一个。', '短评打分': 5}
