{'短评内容': '价格还可以，但是酒店环境较差；总体一般；', '短评打分': 1}
{'短评内容': '经济实惠，但环境一般。', '短评打分': 3}
{'短评内容': '酒店卫生、卧具等情况一般，总体感觉酒店设施陈旧，不如7天等快捷酒店', '短评打分': 1}
{'短评内容': '很一般  不值这个价钱  是别人推荐的  本来订的袁家岭店 临时改了这个店  但是不如另外两个店', '短评打分': 1}
{'短评内容': '总体而言还算不错，只是房间卫生清理要人喊，挂清理牌服务员不看', '短评打分': 5}
{'短评内容': '方便，网络稍慢点，但还能接受，性价比不错', '短评打分': 5}
{'短评内容': '值得一住，性价比不错,周边设施不错也方便', '短评打分': 5}
{'短评内容': '值得一住，值啊，值得一住，值啊值得一住，值啊', '短评打分': 5}
{'短评内容': '性价比不错，只是里面设施有点旧，但还是很方便客人使用', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '很好很好~很好很好~很好很好~很好很好~很好很好~很好很好~', '短评打分': 3}
{'短评内容': '不错，有特色~不错，有特色~不错，有特色~不错，有特色~不错，有特色~不错，有特色~不错，有特色~', '短评打分': 3}
{'短评内容': '环境好~很有特色~值得去！环境好~很有特色~值得去！环境好~很有特色~值得去！环境好~很有特色~值得去！', '短评打分': 5}
{'短评内容': '很好！热水貌似不要钱~~\r\n地方也不错~ \r\n只是服务一般般\r\n', '短评打分': 5}
{'短评内容': '住的双人房，还算干净，房间挺大，没有大灯，显得有点暗。', '短评打分': 1}
{'短评内容': '酒店位置还行，因与其它装饰装修公司在同一幢楼，上上下下不是很方便，晚上睡觉时走廊上有人走来走去，并有人敲错门。硬件有点过时，需更新。服务人员态度不错，能及时解决问题。', '短评打分': 5}
{'短评内容': '感觉就是红灯区，不是很适合旅行人士居住。千万要小心，会后悔的。', '短评打分': 1}
{'短评内容': '服务员态度很不错，随叫随到，房间打扫的很干净，住着很舒服，性价比高，隔音效果很好。', '短评打分': 5}
{'短评内容': '单人间的房间面积比较大，很宽敞，床单是白色的，卫生条件很好，蛮干净的，地理位置不错，出行还是很方便的', '短评打分': 5}
{'短评内容': '服务员办事效率快，房间装修的布局很合理，价格合理，比较经济实惠', '短评打分': 5}
{'短评内容': '地方不错，就是网络上不去，再换房间也一样，电话也不好用，其它的都还可以', '短评打分': 1}
{'短评内容': '还行  性价比不高', '短评打分': 5}
{'短评内容': '还不错，洗手间在阳台上，有点冷', '短评打分': 5}
{'短评内容': '房间还可以，就是酒店不大好找。', '短评打分': 3}
{'短评内容': '酒店标牌太小，不明显，不大好找。', '短评打分': 1}
{'短评内容': '还好，就是不独立。', '短评打分': 1}
{'短评内容': '一般化的酒店，位置虽然在路边，但是招牌很小不好找。最大的优势是有个底下停车场而且是免费的。其他没有什么好处了。', '短评打分': 1}
