{'短评内容': '酒店设施比较老，环境可以，性价比还行', '短评打分': 5}
{'短评内容': '该重新装修了。', '短评打分': 4}
{'短评内容': '位置环境不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错，给公司客户定的', '短评打分': 5}
{'短评内容': '很好！酒店性价比处处体现在细节上，愉快的入住体验。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店高端大气，服务一流，尤其是早餐十分丰盛可口，令人印象深刻。', '短评打分': 4}
{'短评内容': '酒店相对比较老旧 ', '短评打分': 3}
{'短评内容': '感慨一下这个酒店吧。刚进去感觉还不错。下午到的，进屋以后睡了一觉。说真的，空调开了一下午还是不暖和，找前台换了一间还是不暖和。我现在怀疑你们每间都不暖和', '短评打分': 3}
{'短评内容': '各种设施都不错！环境好，服务好……', '短评打分': 5}
{'短评内容': '总的来说，不错。。。？', '短评打分': 5}
{'短评内容': '大家把门关好，因为服务员有可能突然冲进来。然后说对不起。t', '短评打分': 5}
{'短评内容': '离出差的地方近', '短评打分': 4}
{'短评内容': '还是不错的！总体来说！周边配套都有', '短评打分': 4}
{'短评内容': '每次出差都住在这', '短评打分': 5}
{'短评内容': '经常住这个酒店，这是离郑州比较近的酒店，条件也好，比较干净。', '短评打分': 3}
{'短评内容': ' 不错，干净卫生。设施完善。服务很周到。', '短评打分': 3}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '很安静，很舒服', '短评打分': 3}
{'短评内容': '海龙大酒店的印象很好，服务很热情。体贴周到，环境也好。', '短评打分': 5}
{'短评内容': '很舒适的一家星级酒店，设施配置各方面都很不错。', '短评打分': 5}
{'短评内容': '没有暖气，室内有些冷，其它配置设施还是挺齐全的，使用起来比较方便.', '短评打分': 5}
{'短评内容': '海龙酒店很不错，设施配置很全，环境也很好。', '短评打分': 5}
{'短评内容': '这家酒店开业不久，设施配置都比较新，环境挺好的。', '短评打分': 5}
{'短评内容': '酒店环境还不错，房间布置的干净舒适。', '短评打分': 5}
{'短评内容': '酒店那边的环境很好，空气很新鲜，车流量少。', '短评打分': 3}
{'短评内容': '酒店不错。', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '不错的酒店,很安静舒适.', '短评打分': 5}
{'短评内容': '酒店不错，值得一住', '短评打分': 5}
