{'短评内容': '帮朋友订的。', '短评打分': 4}
{'短评内容': '原来定一天看看，住进去后觉得不错，又住了三天', '短评打分': 5}
{'短评内容': '网上订的没有早餐，不能加床，酒店还行，挺干净的，离医院近，看病方便，有地下停车场，不过要收费，一天30，', '短评打分': 5}
{'短评内容': '离协和较近', '短评打分': 5}
{'短评内容': '很好，比较不吵', '短评打分': 5}
{'短评内容': '服务很好非常好喜欢，但在马路边，有点嘈，路上在修路，不太好，其他还行！', '短评打分': 5}
{'短评内容': '还不错，房间有点小，而且没有准备水等食品', '短评打分': 5}
{'短评内容': '干净整洁，安全卫生，还不贵', '短评打分': 5}
{'短评内容': '不好，进门一股臭味。不好，进门一股臭味。不好，进门一股臭味。', '短评打分': 2}
{'短评内容': '外面地铁修建很吵，不过房间很安静，被地铁围着，不太好找', '短评打分': 5}
{'短评内容': '隔音效果差，其他都还行？', '短评打分': 5}
{'短评内容': '电视比较差，房间空间比较小，干净还可以，在修地铁有点不太方便', '短评打分': 4}
{'短评内容': '不错～嘿嘿', '短评打分': 5}
{'短评内容': '酒店位置比较好，去三坊七巷也很近，因为马路在施工，有些不好找，特别是出租司机都问了多人，住宿感觉还不错！ 住在楼里外面还好，不怎么吵了，第一次入住扫了微信，得到一份自助早餐券，蛮好玩地！', '短评打分': 5}
{'短评内容': '位置比较难早！服务一般！', '短评打分': 5}
{'短评内容': '位置不错，就是太陈旧噢了！人很多！', '短评打分': 2}
{'短评内容': '服务态度好！', '短评打分': 5}
{'短评内容': '环境好，交通便利，离市中心近', '短评打分': 5}
{'短评内容': '环境好，交通便利，离市中心很近', '短评打分': 5}
{'短评内容': '不错,挺好的,帮别人订的', '短评打分': 5}
{'短评内容': '房间不错，地理位置优越，每次来福州出差都会入住这里，早餐一般，不过卫生条件还好，下次来还会入住这里！', '短评打分': 5}
{'短评内容': '房间不错，地理位置优越，每次来福州出差都会入住这里，早餐一般，不过卫生条件还好，下次来还会入住这里！', '短评打分': 5}
{'短评内容': '距离协和医院就是一个天桥的距离。来往方便。冠亚广场大概10分钟脚程。这次住特惠双人房，有点小。但是其他都不错。最不好就是电视问题1129房间。电视断断续续没法看。早餐没什么东西吃。连酸奶都没有。', '短评打分': 5}
{'短评内容': '很好的！推荐入住！价格不贵，性价比还好！也比较干净！', '短评打分': 5}
{'短评内容': '太吵了，房间基本都是发霉的，根本没有住的欲望', '短评打分': 1}
{'短评内容': '屋子里全是漏水发霉的，水很小，非常吵，不值', '短评打分': 1}
{'短评内容': '交通便利，楼层但七拐八弯，怕万一有事怎么逃。淋浴出水很小，洗漱用具越来越差', '短评打分': 1}
{'短评内容': ' 办理入住很快，地理位置不错。', '短评打分': 3}
{'短评内容': '刚开始给的房间很差，后来要求换了才给比较好。网络经常掉线', '短评打分': 1}
{'短评内容': '房间很干净，就是没窗户分不清白天晚上的，不过在福州这个价格住这种房间应该是差不多了。', '短评打分': 5}
{'短评内容': '不错~ 离公交站较近 交通很便利~ 前台态度很好~', '短评打分': 5}
{'短评内容': '酒店在装修，不适合早上睡懒觉的朋友。早餐的补给不够快，炒饭吃完了就没有了。', '短评打分': 5}
{'短评内容': '很干净也很温馨，就是不好找。地点有点不符。', '短评打分': 5}
{'短评内容': '同事没反映不好，那应该就是还好吧。以后可能还会订这家。', '短评打分': 5}
{'短评内容': '虽然本人没住，不过应该还好吧，同事们说晚上活动比较方便，因为在市中心。', '短评打分': 5}
{'短评内容': '同事们回总部开会代订的，他们没反映有啥缺点，那应该还好吧。', '短评打分': 5}
{'短评内容': '本来是打算找另一家离公司近点的酒店，结果房间不够才找到这家。住完之后发现其实也不错，位置也挺好，同事们晚上活动吃饭啥的也方便。', '短评打分': 5}
{'短评内容': '干净安静', '短评打分': 3}
{'短评内容': '酒店地理位置非常好！位于市中心，旁边就是五一广场。 店员的服务很周到热心', '短评打分': 5}
{'短评内容': '挺好的 乘车方便  卫生也不错  服务也很好  还会来的', '短评打分': 5}
{'短评内容': '电梯坏了，10楼爬的很累。房卡上未写号码，到楼上还要打电话问。需要改进。其它还好', '短评打分': 3}
{'短评内容': '舒适便捷~~服务很好~~干净~~~下次还会来', '短评打分': 5}
{'短评内容': '交通很方便，房间也比三坊七巷的大，卫生条件也一如既往滴好，就是隔音效果太差了，隔壁房间开门总以为是开自己的门，没有安全感啊，还有，去的时候电梯坏了，要走的时候又坏了，11楼啊，走路下来的。。。。', '短评打分': 5}
{'短评内容': '酒店交通挺方便的，服务和设施不错，每次出行基本上都会选择如家，我觉得房子间不需要大，重要的是方便和干净。', '短评打分': 3}
{'短评内容': '在福州市中心，去三坊七巷只需要步行10分钟，非常方便，就算是去鼓山或者马尾船政博物馆都有直达的公交车，十分便捷。房间很干净，隔音不是很好，但是整体值得推荐。', '短评打分': 5}
{'短评内容': '我一直对如家有好印象，可是这家实在是太差，房间霉迹斑斑，房间很小，走廊地毯很脏，本来是预计做几天，实在忍受不了这么肮脏，只好搬酒店。。。。。。。', '短评打分': 1}
{'短评内容': '位置稍微有些偏，吃饭神马的都不方便。最好住在三坊七巷附近，吃晚饭还能转一转。', '短评打分': 1}
{'短评内容': '往东离五一广场和于山公园很近。往西是乌塔公园和林则徐纪念馆及三坊七巷。乌塔公园北面是特色小吃积聚地，非常方便。不用打车。我选的特惠房，房间有点小。服务可以。', '短评打分': 5}
{'短评内容': '酒店位置很好，离五一广场，香格里拉都很近，交通也很方便。沿街的房间比较吵，窗户的隔音效果有待改善。', '短评打分': 5}
{'短评内容': '位置很好 就在五一广场边上 离三坊七巷也近 房间还不错 就是被子有味儿', '短评打分': 5}
{'短评内容': '房间小，其他还不错。离协和比较近，这是优势。', '短评打分': 5}
{'短评内容': '优点：酒店价格不高，交通便利，房间色彩搭配很温馨。\n缺点：设施不齐全，没有吹风机，卫生间下水较慢', '短评打分': 1}
{'短评内容': '我觉得还还不错   。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。 ', '短评打分': 5}
{'短评内容': '酒店地理位置不错，设施全而且比较新，值得推荐！', '短评打分': 5}
{'短评内容': '房间小了一点', '短评打分': 3}
{'短评内容': '酒店条件不错，比想象中的好。', '短评打分': 3}
{'短评内容': '环境还可以！', '短评打分': 3}
{'短评内容': '条件还不错，蛮好。', '短评打分': 3}
{'短评内容': '交通十分便利，性价比高\n房间偏小，较压抑，由于通风问题房间有味道，舒适度很一般\n服务态度好', '短评打分': 1}
{'短评内容': '优点：酒店地理位置佳，出行方便，入住顶楼的双人房，景观不错，看得见五一广场。\n缺点：淋浴房太小，转身困难；整个房间没有抽屉可以放东西，只有都堆在桌上。', '短评打分': 5}
{'短评内容': '位置挺好，方便逛街。价格也适中，不错，推荐。', '短评打分': 5}
{'短评内容': '装修比较温馨，总体还行，交通比较便捷，服务还算可以', '短评打分': 5}
{'短评内容': '总体感觉不错，保持了如家一贯的高质量服务。', '短评打分': 5}
{'短评内容': ',房间有点小', '短评打分': 3}
{'短评内容': '房间没有窗户，卫生间里有个很小的窗口，就算有窗户了，简直是台牵强了，房间是在原有复杂结构中拼凑出来的，很拥挤，不舒服。', '短评打分': 1}
{'短评内容': '舒适干净设施不旧', '短评打分': 3}
{'短评内容': '整体还不错，服务也挺周到的。美中不足就是隔音效果差了点。经常半夜会被外面的人的声音吵到。', '短评打分': 5}
{'短评内容': '设施有点旧', '短评打分': 3}
{'短评内容': '服务态度很好，员工很敬业，房间很整洁。而且，房间内矿泉水居然是免费的，让我很惊讶，也很暖心！', '短评打分': 5}
{'短评内容': '已经入住', '短评打分': 3}
{'短评内容': '还不错，外出很方便，房间卫生做得挺干净的', '短评打分': 3}
{'短评内容': '酒店距离林则徐纪念馆很近溜达一会就到。', '短评打分': 3}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '交通方便，环境和服务都不错，还有赠送一份免费早餐！', '短评打分': 5}
{'短评内容': '房间里卫生状况非常不理想，毛巾浴巾，包括床单等，而且一大早就在施工消防管道，吵得无法睡觉，而且房间的床睡着感觉也不是很舒服。\n虽然是经济型的连锁酒店，但是感觉硬件也好，软件也好，都是没有跟上。', '短评打分': 1}
{'短评内容': '酒店位置还好，就是店招不醒目，车从路边经过居然没发现；房间异味较重；晚上11:30以后打电话找前台定第二天响早，打了4通电话居然没人接。', '短评打分': 1}
{'短评内容': '交通与购物都比较方便。只是入住时刚好在装修，白天比较吵，楼道里也很脏，希望能尽快装修好。早餐比较简单，炒饭、粥、油条，还有菜油饭。', '短评打分': 5}
{'短评内容': '房间太小， 床上有很多头发，赶紧不干净的样子， 卫生不是太好。下次不会去了。', '短评打分': 1}
{'短评内容': '地段和环境都还不错，对面就是福建电视台，去周边也方便', '短评打分': 5}
{'短评内容': '比较干净，出行也很方便，服务态度很和蔼，性价比还可以。', '短评打分': 5}
{'短评内容': '其他还可以，就是被子有点不舒服，感觉有小虫，第二天起床会有些小疙瘩，不会是我对被子过敏吧', '短评打分': 1}
{'短评内容': '价位还不错，位于五一广场，交通挺方便的。就是倡导绿色环保，房间里的配备基本上是最简单化了。', '短评打分': 5}
{'短评内容': '很不错，住了几次了。', '短评打分': 3}
{'短评内容': '在市中心，就是酒店比较旧了，网速很慢，其他的还好', '短评打分': 5}
{'短评内容': '服务不错，卫生条件很好\n干净整洁，总的说来很舒适', '短评打分': 5}
{'短评内容': '不太好找，也不是太方便，住的楼层进入住宿的地方拖着行李很麻烦，太不方便了', '短评打分': 1}
{'短评内容': '还可以，房间有点小，还有就是价格方面能不能便宜一些。服务很到位', '短评打分': 5}
{'短评内容': '酒店位置很好', '短评打分': 3}
{'短评内容': '地方还蛮靠近市中心，就是招牌不显著。房间还是比较干净的', '短评打分': 3}
{'短评内容': '我忘了钱包 最后也被服务员找到 拿回来了 很不错的哦！', '短评打分': 5}
{'短评内容': '住宿的环境很好！也和安静！！服务态度也很好！1', '短评打分': 5}
{'短评内容': '收费比当初在网上预订的要高。。房间设施一般，服务态度不是很好', '短评打分': 1}
{'短评内容': '除了房间小点,其他都不错,挺方便的.靠马路,如果是周末就比较安静,旁边小学校一早就是唧唧喳喳的', '短评打分': 5}
{'短评内容': '服务很满意', '短评打分': 3}
{'短评内容': '我的房间是怎么等也打不出热水，不知道其他房间怎么样。', '短评打分': 5}
{'短评内容': '刚装修过，设备都比较新，房间不错，干净，感觉上去挺温馨的', '短评打分': 5}
{'短评内容': '交通方便\n早上早点起可以看到日出。感觉挺温暖的。', '短评打分': 5}
{'短评内容': '方便服务员热情，到步行街三坊七巷很近，路上还好多吃的', '短评打分': 3}
{'短评内容': '温馨如家，就是一次性拖鞋不好穿。价格有点偏贵', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '比较失望。地段是不错，生意好像很好，可能就是因为这样，相对的服务就差了。\n电吹风很早就借不到了。烧水壶坏了叫人来也没人来。\n隔音很不好，隔壁间说话都能听得到。\n同样是快捷酒店，汉庭和锦江之星还是比较优的。', '短评打分': 1}
{'短评内容': '酒店位置很好,去三坊七巷和817商业街步行即可，出门就有公交车站，去所有地方都很方便,赞!', '短评打分': 5}
{'短评内容': '位置不错，房间很小，设施感觉不太干净，毛巾什么的都旧了。', '短评打分': 1}
{'短评内容': '隔音基本为零，马路上的噪音不说，7点多就可以听到走廊外其他人的说话声，好几个同事都没睡好', '短评打分': 1}
{'短评内容': '酒店的门脸太不显眼了。门口的交通倒是比较方便。不远1公里左右就是三坊七巷，还不错。热水很好。很大。房间内有漏水起皮的现象。早餐还是比较丰富的。还有的吃。', '短评打分': 5}
{'短评内容': '清洁安全', '短评打分': 3}
{'短评内容': '总体还不错，不过建议不要住内窗房，空气比较不好。不过只是暂时停留，看在价格的份上，还是可以的', '短评打分': 5}
{'短评内容': '只是在福州转车，所以只住了一夜，总的来说还是不错的，和其它的如家都是差不多的！', '短评打分': 5}
{'短评内容': '干净，卫生，很好，感觉性价比不错，关键是靠近我要去的地方，如果有早餐就更好了', '短评打分': 5}
{'短评内容': '酒店房间虽小，但是很干净。晚上也很安静，休息的很好。酒店位置不错，离著名的三坊七巷不远。比较满意！', '短评打分': 5}
{'短评内容': '有点吵，其他感觉还行。', '短评打分': 3}
{'短评内容': ' 房间加个抽纸，弄点净化空气的吧...在配点电脑房更好点...', '短评打分': 3}
{'短评内容': '房间放个抽纸（面巾纸）最好~~  然后房间 最好能有个处理空气的东西  有点臭臭的~~~', '短评打分': 5}
{'短评内容': '装修温馨，卫生。', '短评打分': 5}
{'短评内容': '环境很干净，房间不大，但感觉很舒适，很温馨，不粗，下次还会住，值得推荐！', '短评打分': 5}
{'短评内容': '十一期间去的 位置非常好 性价比不错 服务很好 手机掉在酒店里 服务员打了几通电话确定如何把手机寄回给我 下次来福州一定还住这里 非常感谢!', '短评打分': 5}
{'短评内容': '位置蛮好的，打车很方便，附近有很多饭店，离五一广场很近，很热闹', '短评打分': 3}
{'短评内容': '位置很好，周围餐馆较多，交通蛮方便的', '短评打分': 5}
{'短评内容': '周边就有公车站，附近有非常多商场百货，离福州商业中心很近，走过去10分钟左右。大洋百货，东百，正大广场，冠亚广场什么的都在那，对面是协和医院。吃饭的地方也附近广场里面也不少，或者远点东街口哪里麦当劳，肯德基，必胜客，味千什么的都有。我们从三坊七巷散布过来觉得很方便的。虽然在马路边上，但是我住的方向不吵。房间稍微小一点，但是挺舒服。挺好的。', '短评打分': 5}
{'短评内容': ' 确实不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错,在市中心,出门很方便.就是在门口停车还要收10元钱的停车费,感觉有点不爽.', '短评打分': 3}
{'短评内容': '确实不错,性价比高,房间也比较大.简单而不失实用!', '短评打分': 5}
{'短评内容': ' 还不错。就是房间比较小，和其他地方的如家也都差不多', '短评打分': 5}
{'短评内容': '地段优越 交通便捷 房间略小 性价比高 总体满意', '短评打分': 5}
{'短评内容': '地理位置非常好，周围又有玩的地方，不错。', '短评打分': 5}
{'短评内容': '地理位置不错，服务态度好，美中不足的是房间稍小', '短评打分': 5}
{'短评内容': '1）酒店位置挺好，交通方便（火车站、汽车站有公车直达）；2）外观、设施、内饰有些老旧；3）临街一侧夜间有些小吵（KTV/车辆/机器嗡嗡声）；4）酒店工作人员服务态度挺好；5）房间还是有些异味，通风不足所致。', '短评打分': 5}
{'短评内容': '靠近市中心，购物方便，服务态度好，房间干净整洁，下次还住这', '短评打分': 5}
{'短评内容': '该店所处的位置不错，只是房间没有窗户，气味不太好，服务也有待改进。', '短评打分': 1}
{'短评内容': '房间很闷，床很硬。潮气很重。不过交通很好，位置也很好。', '短评打分': 1}
{'短评内容': '如家的服务还是一直不错的，只是附近吃东西的地方稍微少了点', '短评打分': 3}
{'短评内容': '房间宽敞，干净。比较值得信赖的一家酒店。', '短评打分': 5}
{'短评内容': '房间有比较小，有味道。\r\n外面比较破。\r\n不过住一晚，凑合着吧。', '短评打分': 1}
{'短评内容': '住宿满意,早餐不错,特别是鱼丸做的很地道，和三坊七巷中有的一拼。而且服务人员服务水准一流.下次还会再选入住.', '短评打分': 5}
{'短评内容': '酒店很整洁，视野开阔，特别是有窗标间，很舒服，但无窗的比较不好一点，有时杂音稍大一些。有热水器 很方便 ', '短评打分': 3}
{'短评内容': '房间很干净 给人很温馨的感觉 服务比较周到 注意一些细节 还有免费矿泉水 很体贴 ', '短评打分': 5}
{'短评内容': '地理位置不错。不过房间绕来绕去容易转向，房间还算干净，当然面积小了点。', '短评打分': 5}
{'短评内容': '干净，出行方便，而且管理比较好，服务态度也很好。', '短评打分': 5}
{'短评内容': '还行，房间小了一点', '短评打分': 3}
{'短评内容': '房间的气味较浓，有点刺鼻', '短评打分': 5}
{'短评内容': '地理位置不错，因为交通方便。不过房间的空间小了点，深圳的如家空间都比这里大挺多的。', '短评打分': 3}
{'短评内容': '服务态度还不错。但是隔音效果不是很好，外边一点声音都听得到，有人聊天到晚上12点，也听得清楚。', '短评打分': 5}
{'短评内容': '主要是地理位置优越，去哪里都很方便。没特别满意也没特别不满意，中规中矩的连锁酒店。', '短评打分': 1}
{'短评内容': '从外面的门面上看，很一般，处在一顿很老的楼的9-11层，但是房间的设施看起来还不错，美中不足是房间的确太小了，我定的是标准大床房，房间有点挤。  位置不错，距离东街口商业区很近，可以步行过去。\n总体来看，如果非常偏好位置的话，值得推荐。', '短评打分': 5}
{'短评内容': '位置不错，茶餐厅价格偏贵', '短评打分': 3}
{'短评内容': '酒店地理位置好，服务也好，设施也好，就是房间偏小', '短评打分': 5}
{'短评内容': '隔音不好,其他不错.呵呵,洗澡水大很舒服,这点太好了.', '短评打分': 5}
{'短评内容': '朋友每次来都安排住这里，在中心的位置，出门办事很方便。性价比不错。只是这次安排的是刚好在餐厅对面的一间，虽然房间比较大，但是沿街很吵，而且对面是餐厅，味道也不太好。想叫酒店换房可是说全部都忙了，有点郁闷。但还是比较推荐的', '短评打分': 5}
{'短评内容': '酒店的服务不错的，位置还是很好的，卫生间的水很好，很强大。但是设施陈旧。', '短评打分': 5}
{'短评内容': '还不错，位置很好。卫生也可以。房间还是一如既往的小啊。', '短评打分': 5}
{'短评内容': '总体来说还不错~', '短评打分': 5}
{'短评内容': '交通便利。早餐简单', '短评打分': 5}
{'短评内容': '虽然预订并入住了无窗房，不临街，晚上睡觉好安静，很后悔没把电脑带上哈。', '短评打分': 5}
{'短评内容': '福州最老的如家 设施陈旧 也没体现服务上的优势', '短评打分': 1}
{'短评内容': '设备有点旧了', '短评打分': 5}
{'短评内容': '旧，而且有点吵人环境', '短评打分': 3}
{'短评内容': '设备旧，地板都脱落了', '短评打分': 3}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '房间偏小，但是标准间床不算小，可以同时睡两个成年人，一家三口足够了，附近交通也很便利', '短评打分': 5}
{'短评内容': '性价比还好。。。就是房间稍微小了一点点，不过房间布置的很温馨。下次要住的话会选择房间大一点儿的了。。。不错，值得推荐。。。', '短评打分': 5}
{'短评内容': '不错 就是餐厅的菜不怎么好吃', '短评打分': 5}
{'短评内容': '装修得分格很不错', '短评打分': 5}
{'短评内容': '环境还不错,地理位置优越,值得推荐', '短评打分': 3}
{'短评内容': '位置很好，在市中心，交通方便；房间小了点，但很卫生，服务态度也还好，总之下次去还会隹那。', '短评打分': 5}
{'短评内容': '总体来说很不错，位置、服务、舒适、价格，值得推荐', '短评打分': 5}
{'短评内容': '位置很好，酒店服务也很好，早餐也不错。', '短评打分': 5}
{'短评内容': '房间内布置温馨舒适，很喜欢那协调的色调。面积够用，功能齐全，很舒服，好评！', '短评打分': 5}
{'短评内容': '不错的酒店，还有暖气很舒服，推荐一下，位置也不错，离百货商场很接近，可惜周围吃的不够多，早餐一般，有待改善', '短评打分': 5}
{'短评内容': '位置不错，交通方便', '短评打分': 5}
{'短评内容': '虽然地处中心，但停车一天还要另付20元，有点贵了。一般。', '短评打分': 1}
{'短评内容': '地段还不错,卫生也可以,不过房间太小', '短评打分': 5}
{'短评内容': '刚好在旁边办事，所以住这是比较方便的。但是房间很小，而且边上靠近厨房，噪音很大', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '总体来说还不错 就是浴室里那块绿色垫子 洗澡时踩在脚下真是不舒服 搁脚 下水道慢的出奇 ', '短评打分': 5}
{'短评内容': '  楼太旧了, 地点不错，服务一般, 隔音太差, 总之比起别的如家来说，是差很多', '短评打分': 1}
{'短评内容': '位置还是不错的,出行都很方便,卫生服务做的也不错,但就是房间没有窗户,太压抑了.', '短评打分': 3}
{'短评内容': '酒店的服务非常好，毕竟是连锁酒店，条件也一样，很不错，交通方便，价格适中，经济实惠。', '短评打分': 3}
{'短评内容': '地点很方便，旁边就是五一广场。酒店设施不错，床很宽。', '短评打分': 5}
{'短评内容': '离五一广场非常近的一家酒店，上半年刚在重新装修，现在应该没有味道了，有的房间没有窗户，通风非常差，价格也没有优势。', '短评打分': 3}
{'短评内容': '位置很好，离我去的于山很近。', '短评打分': 5}
{'短评内容': '位置在市中心，离五一广场/安泰楼（小吃）/三坊七巷/东街口商业圈很近。步行几分钟即可。', '短评打分': 3}
